Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8119.25024404461,7974.86040830433,-3966.36584081976,0.517244830080353,2.89794839183742,1.80916693228279,0.218055555555556,0.218055555555556,0.281944444444444,0.281944444444444,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+I,20,8121.46192671439,7983.94220855413,-3971.91260030716,0.550751246986784,n/a,1.68221162585595,0.218055555555556,0.218055555555556,0.281944444444444,0.281944444444444,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,8123.17717946091,7958.18035552757,-3955.0065540704,0.502942870495313,2.32228403110054,1.9405272055331,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.04,0.12,0.04,0.25,0.05,0.04,0.21,0.05,0.09,0.04,0.04
TN93+I,23,8129.55406241603,7971.42567355478,-3962.63591370047,0.545569658768664,n/a,1.71778748792291,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.05,0.13,0.04,0.22,0.06,0.04,0.19,0.06,0.09,0.04,0.05
T92+G,20,8134.44539109157,7996.92567293131,-3978.40433249575,n/a,0.30642538559107,1.89211706691262,0.218055555555556,0.218055555555556,0.281944444444444,0.281944444444444,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,8135.25483718558,7949.65607680546,-3947.72262847523,0.491443824286164,1.93057597508724,1.97505695731154,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.03,0.05,0.12,0.03,0.25,0.02,0.04,0.21,0.08,0.09,0.02,0.06
TN93+G,23,8136.70272759116,7978.57433872991,-3966.21024628803,n/a,0.298603597633232,2.09805219731752,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.03,0.04,0.12,0.03,0.26,0.05,0.03,0.22,0.05,0.08,0.03,0.04
GTR+G,26,8145.02755516643,7966.29554523883,-3957.04990561816,n/a,0.296662384862323,2.09196035891165,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.02,0.05,0.12,0.02,0.26,0.02,0.04,0.22,0.08,0.08,0.01,0.06
GTR+I,26,8145.20651352826,7966.47450360066,-3957.13938479908,0.544902349717457,n/a,1.73251555139981,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.03,0.05,0.13,0.03,0.22,0.04,0.04,0.19,0.08,0.1,0.03,0.06
K2+G+I,20,8148.14784849723,8010.62813033698,-3985.25556119858,0.516159842831702,3.06331196853179,1.73524695035813,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+G+I,23,8148.61789195714,7990.48950309589,-3972.16782847102,0.514598429267658,2.72860172366134,1.83084993340137,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.04,0.2,0.04,0.16,0.05,0.04,0.14,0.05,0.14,0.04,0.04
K2+I,19,8149.50857068502,8018.85953047212,-3990.37684044497,0.54963072464099,n/a,1.62998424861578,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,8151.81975863604,8000.56036591731,-3978.20967996297,0.550359285269179,n/a,1.68791146614714,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.05,0.2,0.04,0.16,0.06,0.04,0.14,0.06,0.14,0.04,0.05
K2+G,19,8161.78565695159,8031.13661673869,-3996.51538357826,n/a,0.313256904942617,1.81132602172172,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,8162.92294293955,8011.66355022082,-3983.76127211473,n/a,0.305498746075707,1.91907588553714,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.04,0.2,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.04
JC+I,18,8320.57893565796,8196.80113352564,-4080.35294108394,0.545953254254869,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,8324.78415929818,8194.13511908527,-4078.01463475155,0.526483059867734,5.41482977877996,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8342.6663253448,8218.88852321248,-4091.39663592737,n/a,0.340276543288584,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,8615.28872144271,8484.63968122981,-4223.26691582382,n/a,n/a,1.38522154369524,0.218055555555556,0.218055555555556,0.281944444444444,0.281944444444444,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93,22,8618.29200978777,8467.03261706904,-4211.44580553884,n/a,n/a,1.39233362590583,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.04,0.05,0.13,0.05,0.2,0.06,0.05,0.17,0.06,0.09,0.04,0.05
GTR,25,8623.53885207182,8451.67415437145,-4200.74647222336,n/a,n/a,1.38871522158735,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.03,0.06,0.13,0.03,0.2,0.04,0.05,0.17,0.09,0.09,0.03,0.07
K2,18,8628.1126679386,8504.33486580627,-4234.11980722426,n/a,n/a,1.37837946453131,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,8644.42137664398,8500.03154090371,-4228.95140711945,n/a,n/a,1.38197933838703,0.22,0.216111111111111,0.253333333333333,0.310555555555556,0.05,0.05,0.18,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.05
JC,17,8777.69849792452,8660.79249377203,-4313.35364036973,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
