Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,7676.47364672144,7542.82627433848,-3751.34217923716,n/a,0.34622291215818,1.761734067042,0.196548821548822,0.196548821548822,0.303451178451178,0.303451178451178,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
T92+G+I,21,7677.75339027932,7537.43077144883,-3747.63731880992,0.386752067001478,1.19339464010529,1.72564517196958,0.196548821548822,0.196548821548822,0.303451178451178,0.303451178451178,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
HKY+G,22,7697.3193307451,7550.32214629114,-3753.07555683663,n/a,0.346950359114137,1.76893466229833,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.03,0.05,0.21,0.04,0.19,0.06,0.04,0.12,0.06,0.13,0.03,0.05
HKY+G+I,23,7698.72128658276,7545.05021767462,-3749.43180254928,0.385601902552888,1.18765870226647,1.73121772463154,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.03,0.05,0.21,0.04,0.19,0.06,0.04,0.12,0.06,0.13,0.03,0.05
TN93+G+I,24,7701.19268697531,7540.84841512778,-3746.32277053938,0.393874655983364,1.27670897914687,1.73562027222821,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.03,0.05,0.17,0.04,0.23,0.06,0.04,0.15,0.06,0.1,0.03,0.05
TN93+G,23,7702.16394169492,7548.49287278678,-3751.15313010536,n/a,0.3503506873682,1.77051751616781,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.03,0.05,0.17,0.04,0.22,0.06,0.04,0.15,0.06,0.11,0.03,0.05
T92+I,20,7711.75648623425,7578.10911385128,-3768.98359899356,0.483862613356454,n/a,1.49102725705867,0.196548821548822,0.196548821548822,0.303451178451178,0.303451178451178,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G,26,7716.34186768617,7542.65323588727,-3745.20789648245,n/a,0.353455603458687,1.75379229789562,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.02,0.08,0.18,0.02,0.22,0.04,0.05,0.15,0.06,0.11,0.02,0.05
GTR+G+I,27,7716.84240640622,7536.48261828748,-3741.1134336363,0.382579775859554,1.1907751749266,1.73457038219431,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.02,0.08,0.17,0.02,0.23,0.04,0.05,0.15,0.06,0.11,0.03,0.05
TN93+I,23,7731.44686591669,7577.77579700855,-3765.79459221624,0.482347582227158,n/a,1.5037756661658,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.04,0.06,0.16,0.04,0.21,0.06,0.04,0.14,0.06,0.1,0.04,0.06
HKY+I,22,7733.19409373962,7586.19690928565,-3771.01293833388,0.483642570928605,n/a,1.48931560732013,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.04,0.06,0.19,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2+G,19,7738.94035515634,7611.96890969994,-3786.92026566078,n/a,0.368059712376714,1.57286248161824,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,7741.66832400262,7608.02095161965,-3783.93951787774,0.380888017784889,1.26359239896674,1.54347972585214,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,7750.33937383702,7576.65074203812,-3762.20664955787,0.481986843930843,n/a,1.5233814199908,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.02,0.08,0.16,0.02,0.22,0.06,0.05,0.14,0.06,0.1,0.03,0.06
K2+I,19,7772.72765404327,7645.75620858688,-3803.81391510425,0.482751777356248,n/a,1.38647470797232,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G,18,7868.52091145822,7748.22607306265,-3856.0552760179,n/a,0.391069276257602,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7870.16334201686,7743.19189656046,-3852.53175909104,0.389862967849799,1.48841951373207,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7894.21468988719,7773.91985149163,-3868.90216523239,0.480650362827996,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,8176.88784617758,8049.91640072118,-4005.8940111714,n/a,n/a,1.21735130464918,0.196548821548822,0.196548821548822,0.303451178451178,0.303451178451178,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93,22,8196.32037135674,8049.32318690278,-4002.57607714245,n/a,n/a,1.21784671084035,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.04,0.06,0.15,0.04,0.19,0.07,0.04,0.13,0.07,0.1,0.04,0.06
HKY,21,8196.57779998628,8056.25518115579,-4007.04952366339,n/a,n/a,1.21620880524919,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.04,0.06,0.18,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.04,0.06
GTR,25,8205.34543973854,8038.32864681211,-3994.05441471481,n/a,n/a,1.22070868072359,0.201515151515152,0.191582491582492,0.288215488215488,0.318686868686869,0.03,0.09,0.15,0.03,0.19,0.05,0.06,0.13,0.08,0.1,0.03,0.07
K2,18,8210.83972670917,8090.54488831361,-4027.21468364338,n/a,n/a,1.1973427467376,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,8317.69454143169,8204.07698988667,-4084.98682321081,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
