Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,5589.03866728732,5456.51995022729,-2707.14696141501,0.392197274394098,1.10400081763825,2.23672943106633,0.208880778588808,0.208880778588808,0.291119221411192,0.291119221411192,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,5592.68735289548,5466.46921594597,-2713.13189337284,n/a,0.298744030790801,2.53321819560158,0.208880778588808,0.208880778588808,0.291119221411192,0.291119221411192,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+G+I,24,5604.00903455321,5452.59451282338,-2702.15037758672,0.383863651772058,1.07549183882179,2.33155075481172,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.04,0.14,0.03,0.28,0.04,0.03,0.2,0.04,0.1,0.03,0.04
TN93+G,23,5606.39315850213,5461.27624832559,-2707.50302871493,n/a,0.294837289794457,2.70201138405339,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.04,0.13,0.03,0.3,0.04,0.03,0.22,0.04,0.09,0.03,0.04
HKY+G+I,23,5609.69781189945,5464.58090172291,-2709.15535541359,0.390800264697858,1.08842634532096,2.26394908048771,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.04,0.21,0.03,0.2,0.05,0.03,0.14,0.05,0.15,0.03,0.04
T92+I,20,5612.53015877538,5486.31202182587,-2723.05329631279,0.475090413788719,n/a,1.77337303993471,0.208880778588808,0.208880778588808,0.291119221411192,0.291119221411192,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G,22,5613.26266937329,5474.44436099559,-2715.09837330425,n/a,0.298114271813406,2.56397674072001,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.04,0.22,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
K2+G+I,20,5620.05581325163,5493.83767630212,-2726.81612355091,0.398925014808683,1.35500504774009,1.93191010859455,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,5624.58382808512,5504.66725931371,-2733.2407201214,n/a,0.348114477064756,2.05565852639336,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G+I,27,5626.95158401674,5456.6501763779,-2701.13988485725,0.376430174442687,1.02869280703133,2.3264281340167,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.05,0.14,0.03,0.27,0.03,0.04,0.2,0.05,0.1,0.02,0.04
TN93+I,23,5627.31311393479,5482.19620375826,-2717.96300643126,0.471554981002555,n/a,1.79638411850435,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.04,0.05,0.14,0.04,0.24,0.05,0.04,0.17,0.05,0.1,0.04,0.05
GTR+G,26,5628.33093277906,5464.3241615896,-2705.99014839216,n/a,0.291909537344153,2.71674852659353,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.02,0.05,0.13,0.02,0.3,0.03,0.04,0.21,0.04,0.1,0.02,0.04
HKY+I,22,5633.66753474345,5494.84922636575,-2725.30080598933,0.47505338286735,n/a,1.78422445069687,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.04,0.05,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
K2+I,19,5639.81086171388,5519.89429294247,-2740.85423693578,0.473225725112369,n/a,1.64767029100749,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,5649.90362585665,5485.8968546672,-2716.77649493095,0.471284754196546,n/a,1.80550886882876,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.05,0.04,0.14,0.05,0.24,0.04,0.03,0.17,0.06,0.1,0.03,0.05
JC+G+I,19,5752.17623606398,5632.25966729257,-2797.03692411083,0.419523949986441,2.12853160335147,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,5759.18126640261,5645.56725315231,-2804.70002843389,n/a,0.399326923208989,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5763.10701121833,5649.49299796803,-2806.66290084175,0.470833971600449,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,5983.09157710878,5863.17500833737,-2912.49459463323,n/a,n/a,1.39174742205826,0.208880778588808,0.208880778588808,0.291119221411192,0.291119221411192,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2,18,5986.19949179382,5872.58547854352,-2918.2091411295,n/a,n/a,1.3785865307425,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93,22,5989.87413389029,5851.05582551258,-2903.40410556275,n/a,n/a,1.40453592422121,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.04,0.06,0.13,0.04,0.21,0.06,0.04,0.16,0.06,0.09,0.04,0.06
GTR,25,6002.25733238155,5844.54619007137,-2897.11393734715,n/a,n/a,1.41029618511375,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.03,0.06,0.13,0.04,0.22,0.04,0.05,0.16,0.08,0.09,0.02,0.07
HKY,21,6003.91726353995,5871.39854647992,-2914.58625954133,n/a,n/a,1.39074739866965,0.215328467153285,0.202433090024331,0.280048661800487,0.302189781021898,0.04,0.06,0.18,0.04,0.16,0.06,0.04,0.12,0.06,0.13,0.04,0.06
JC,17,6094.93621208173,5987.6257409717,-2976.7380904272,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
