Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,10380.2264451484,10209.3627414565,-5080.61583277085,0.354374407949922,0.891410682399157,2.38756760225996,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.03,0.04,0.1,0.03,0.31,0.04,0.03,0.23,0.04,0.07,0.03,0.04
TN93+G,23,10380.6637929441,10216.914372492,-5085.39689791048,n/a,0.341343388711782,2.361132623522,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.03,0.04,0.1,0.03,0.31,0.04,0.03,0.23,0.04,0.07,0.03,0.04
GTR+G+I,27,10402.5885894177,10210.3846721503,-5078.10973118004,0.36142437388955,0.948316423760905,2.36541451482887,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.02,0.04,0.1,0.02,0.31,0.04,0.03,0.23,0.05,0.07,0.03,0.05
GTR+G,26,10402.9177408996,10217.826788656,-5082.83669816283,n/a,0.34695043876036,2.33647792798872,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.02,0.04,0.1,0.02,0.31,0.04,0.03,0.23,0.05,0.07,0.03,0.05
T92+G,20,10420.6350360037,10278.2310994005,-5119.06969316569,n/a,0.326121665689948,2.17990457134207,0.210403050108932,0.210403050108932,0.289596949891068,0.289596949891068,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,10425.852178964,10262.1027585119,-5107.99109092042,0.502395607972116,n/a,1.93337748468471,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.04,0.05,0.1,0.03,0.28,0.05,0.03,0.21,0.05,0.07,0.04,0.05
T92+G+I,21,10427.9916583121,10278.4721215482,-5118.1856130781,0.323115774274007,0.739207222334659,2.19029282998721,0.210403050108932,0.210403050108932,0.289596949891068,0.289596949891068,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G,22,10430.0530448806,10273.4183467858,-5114.65391512055,n/a,0.326630527854071,2.16129523563296,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.03,0.05,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.14,0.03,0.05
HKY+G+I,23,10437.4944446394,10273.7450241873,-5113.81222375811,0.318088350077511,0.725814473947367,2.17293892339824,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.03,0.05,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.14,0.03,0.05
GTR+I,26,10443.8939991019,10258.8030468583,-5103.32482726395,0.50266271493862,n/a,1.93705921293666,0.202723311546841,0.218082788671024,0.290631808278867,0.288562091503268,0.03,0.04,0.1,0.03,0.28,0.05,0.03,0.21,0.06,0.07,0.04,0.06
