Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,10920.1844170764,10781.7961911549,-5371.86284511361,n/a,0.254941807629157,2.28429362696415,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,10923.6340016604,10777.9659027051,-5368.94398669908,0.459453170879979,0.905623974985874,2.31592370389305,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,10926.7654243581,10781.0973254029,-5370.50969804794,n/a,0.25327080763266,2.31136406564501,0.236990740740741,0.236990740740741,0.263009259259259,0.263009259259259,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,10929.1495761329,10776.2019766486,-5367.05812322875,0.471076495111211,0.959396163644379,2.34386715728878,0.236990740740741,0.236990740740741,0.263009259259259,0.263009259259259,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+G+I,24,10941.7176691678,10766.9338041626,-5359.41121762656,0.464815236699213,0.961969922596979,2.39242905415419,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.13,0.04,0.26,0.04,0.04,0.2,0.04,0.13,0.03,0.04
TN93+G,23,10941.9064646488,10774.4009820359,-5364.14926607362,n/a,0.260328051189571,2.35350680641102,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.13,0.04,0.25,0.04,0.04,0.2,0.04,0.13,0.03,0.04
GTR+G+I,27,10952.7906786154,10756.1739043678,-5351.01677023068,0.495435156086616,1.20948093186852,2.30803222809543,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.04,0.02,0.12,0.05,0.25,0.06,0.02,0.2,0.03,0.13,0.05,0.03
GTR+G,26,10955.5860469926,10766.2465360663,-5357.05810512586,n/a,0.260491452142414,2.31150394778536,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.04,0.03,0.13,0.05,0.25,0.06,0.03,0.2,0.03,0.13,0.05,0.03
HKY+G,22,10956.1375062265,10795.9107788218,-5375.90843756903,n/a,0.25223561853788,2.35719676869293,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.18,0.04,0.19,0.04,0.04,0.15,0.04,0.18,0.03,0.04
HKY+G+I,23,10957.7527153942,10790.2472327812,-5372.07239144629,0.48144477802228,1.02175507823614,2.38795667629782,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.18,0.04,0.19,0.04,0.04,0.15,0.04,0.19,0.03,0.04
K2+I,19,10967.5743355394,10829.186109618,-5395.55780434516,0.59488450938776,n/a,2.04493335592119,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,10970.1957535308,10824.5276545755,-5392.22486263425,0.595892455525602,n/a,2.07626801659482,0.236990740740741,0.236990740740741,0.263009259259259,0.263009259259259,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,10982.4793855685,10814.9739029556,-5384.43572653346,0.591249474797066,n/a,2.08228178879344,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.13,0.04,0.23,0.04,0.04,0.18,0.04,0.13,0.03,0.04
GTR+I,26,10984.1162459989,10794.7767350726,-5371.32320462901,0.591448361908853,n/a,2.0258282780755,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.05,0.03,0.13,0.06,0.23,0.06,0.03,0.18,0.03,0.13,0.05,0.03
HKY+I,22,10996.1377003742,10835.9109729695,-5395.90853464286,0.596387442884781,n/a,2.11694163034951,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.03,0.04,0.18,0.04,0.18,0.04,0.04,0.14,0.04,0.18,0.03,0.04
JC+G,18,11267.023557133,11135.9155766464,-5549.92606584848,n/a,0.280973648951634,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,11271.5361682298,11133.1479423083,-5547.53872069032,0.485673603655384,1.32001514037442,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11298.2848538056,11167.1768733191,-5565.55671418481,0.589748410884798,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,11632.6194447316,11501.511464245,-5732.72400964777,n/a,n/a,1.7040797192512,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93,22,11637.2621233919,11477.0353959872,-5716.47074615171,n/a,n/a,1.71844284766194,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.04,0.05,0.12,0.05,0.22,0.05,0.05,0.18,0.05,0.12,0.04,0.05
T92,19,11645.7094074128,11507.3211814913,-5734.62534028182,n/a,n/a,1.706527290521,0.236990740740741,0.236990740740741,0.263009259259259,0.263009259259259,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR,25,11653.1347906146,11471.072916137,-5710.47612764339,n/a,n/a,1.71350892412935,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.04,0.04,0.12,0.05,0.22,0.06,0.04,0.18,0.05,0.12,0.05,0.05
HKY,21,11677.7795322488,11524.8319327646,-5741.37310128674,n/a,n/a,1.70555644835039,0.263055555555556,0.210925925925926,0.265555555555556,0.260462962962963,0.04,0.05,0.16,0.05,0.17,0.05,0.05,0.13,0.05,0.17,0.04,0.05
