Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3482.18522700927,3366.4850571247,-1664.12667490382,n/a,0.362061869834078,1.99294139722676,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,3487.73418117143,3372.03401128686,-1666.9011519849,0.528935979461288,n/a,1.843381758002,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,3490.28795414453,3368.51057485875,-1664.12719959772,0,0.362059945680412,1.9930143730564,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,3490.64331279178,3368.865933506,-1664.30487892134,n/a,0.364990008028215,1.98178612419222,0.26,0.26,0.24,0.24,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,3496.39555503795,3374.61817575217,-1667.18100004443,0.527806299999314,n/a,1.832924290588,0.26,0.26,0.24,0.24,0.05,0.04,0.16,0.05,0.16,0.04,0.05,0.17,0.04,0.17,0.05,0.04
T92+G+I,21,3498.74508957412,3370.8917360722,-1664.30492843878,0.00001,0.364993765869709,1.98187321834358,0.26,0.26,0.24,0.24,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,3503.62882134993,3369.70072994773,-1662.69595545296,n/a,0.363476053316401,2.03345806200915,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.17,0.05,0.15,0.04,0.05,0.15,0.04,0.2,0.04,0.04
TN93+G,23,3508.60764443892,3368.60605258446,-1661.13452812373,n/a,0.374643135959393,1.98446719890962,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.14,0.05,0.19,0.04,0.05,0.18,0.04,0.16,0.04,0.04
HKY+I,22,3509.39066198885,3375.46257058666,-1665.57687577243,0.527814723371292,n/a,1.86786992996359,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.16,0.05,0.15,0.04,0.05,0.14,0.04,0.19,0.04,0.04
HKY+G+I,23,3511.73152296097,3371.72993110651,-1662.69646738476,0,0.363472337304295,2.03356656964613,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.17,0.05,0.15,0.04,0.05,0.15,0.04,0.2,0.04,0.04
TN93+I,23,3513.77131070261,3373.76971884815,-1663.71636125558,0.523846785578422,n/a,1.83872688587212,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.14,0.05,0.18,0.04,0.05,0.17,0.04,0.16,0.04,0.04
TN93+G+I,24,3516.5396493521,3370.46579562693,-1661.04969170659,0.41840747494927,1.59560998032693,1.94898735179246,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.14,0.05,0.18,0.04,0.05,0.18,0.04,0.16,0.04,0.04
GTR+G,26,3528.69427661252,3370.47961943168,-1659.02532758935,n/a,0.372936165139663,1.97080825119428,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.05,0.14,0.05,0.19,0.02,0.06,0.18,0.05,0.16,0.02,0.04
GTR+I,26,3534.67859449524,3376.4639373144,-1662.01748653071,0.523881914633966,n/a,1.8314769049056,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.05,0.14,0.05,0.18,0.03,0.06,0.17,0.05,0.16,0.02,0.04
GTR+G+I,27,3536.79602268795,3372.51282619616,-1659.02536175334,0,0.372936036597146,1.970873786367,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.05,0.14,0.05,0.19,0.02,0.06,0.18,0.05,0.16,0.02,0.04
JC+G,18,3569.06564765019,3459.44392122252,-1711.617724098,n/a,0.394769074725928,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,3570.95515407113,3461.33342764346,-1712.56247730847,0.522882563188527,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,3577.16734758707,3461.4671777025,-1711.61773519272,0,0.394764256100526,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,3617.54165783312,3507.91993140545,-1735.85572918947,n/a,n/a,1.59796841810013,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,3624.71030321693,3509.01013333237,-1735.38921300765,n/a,n/a,1.59746318149336,0.26,0.26,0.24,0.24,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93,22,3638.00155849158,3504.07346708939,-1729.88232402379,n/a,n/a,1.60192098538918,0.296666666666667,0.223333333333333,0.228181818181818,0.251818181818182,0.04,0.04,0.12,0.06,0.18,0.05,0.06,0.17,0.05,0.14,0.04,0.04
