Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,17228.6234194252,17049.1129267007,-8500.51071420812,0.36847824544515,1.42293490903124,1.84092929911835,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.04,0.05,0.11,0.04,0.26,0.05,0.04,0.2,0.05,0.08,0.04,0.05
GTR+G+I,27,17229.2860178026,17027.3490921335,-8486.61688895876,0.37155984723067,1.52491062692405,1.79881057408802,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.03,0.05,0.11,0.03,0.26,0.03,0.04,0.2,0.08,0.08,0.02,0.07
TN93+G,23,17246.886131189,17074.8517284758,-8514.38377823607,n/a,0.386019890655705,2.01932969652219,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.03,0.04,0.1,0.04,0.28,0.05,0.04,0.22,0.05,0.07,0.03,0.04
GTR+G,26,17249.0650039525,17054.60324968,-8501.24809017974,n/a,0.402513266663135,1.92395961019781,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.02,0.05,0.11,0.03,0.27,0.03,0.04,0.21,0.07,0.08,0.02,0.07
T92+G+I,21,17266.2846406465,17109.2033360804,-8533.56644925685,0.388290007658195,1.66167474840909,1.68088199137094,0.213926940639269,0.213926940639269,0.286073059360731,0.286073059360731,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,17287.023673041,17137.4193764708,-8548.67767360012,n/a,0.404089369192128,1.75372972246771,0.213926940639269,0.213926940639269,0.286073059360731,0.286073059360731,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,17289.0325785267,17094.5708242542,-8521.23187746683,0.453975571300494,n/a,1.54208620641267,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.03,0.05,0.12,0.03,0.23,0.04,0.04,0.18,0.08,0.09,0.03,0.07
TN93+I,23,17293.872036247,17121.8376335338,-8537.87673076505,0.454354185138081,n/a,1.52647643000158,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.04,0.05,0.12,0.04,0.23,0.06,0.04,0.18,0.06,0.09,0.04,0.05
HKY+G+I,23,17304.6716422599,17132.6372395467,-8543.27653377152,0.386952193987015,1.64425040948202,1.69284444368177,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.14,0.04,0.05
T92+I,20,17322.7188806086,17173.1145840384,-8566.52527738392,0.461095922206061,n/a,1.49770493245361,0.213926940639269,0.213926940639269,0.286073059360731,0.286073059360731,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G,22,17325.0396480258,17160.4816413887,-8558.20224480046,n/a,0.404640457277508,1.76704766125576,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+I,22,17362.1739556128,17197.6159489757,-8576.76939859396,0.460811042479204,n/a,1.50188847526693,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.04,0.05,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G+I,20,17363.8267338654,17214.2224372952,-8587.07920401232,0.397655285591032,1.98397222049745,1.58555640441543,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,17388.240423521,17246.1134408016,-8604.02775698615,n/a,0.424534673766414,1.64482143599566,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,17406.8823850015,17264.7554022821,-8613.3487377264,0.46050423642387,n/a,1.45627549100965,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,17710.7499755787,17568.6229928592,-8765.28253301499,0.409966264373361,2.77402138691029,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,17736.8124038508,17602.1630407671,-8783.05545529703,0.457904666746602,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,17742.2389805981,17607.5896175144,-8785.76874367069,n/a,0.463565542669153,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,18161.0396040675,17974.0533274666,-8961.97709838328,n/a,n/a,1.29724902575967,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.03,0.06,0.12,0.03,0.21,0.04,0.05,0.17,0.09,0.08,0.03,0.08
TN93,22,18192.6807956945,18028.1227890574,-8992.02281863482,n/a,n/a,1.29543947996062,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.05,0.06,0.11,0.05,0.21,0.06,0.05,0.16,0.06,0.08,0.05,0.06
T92,19,18245.3817067523,18103.2547240328,-9032.59839860176,n/a,n/a,1.28084256345721,0.213926940639269,0.213926940639269,0.286073059360731,0.286073059360731,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY,21,18281.2347269908,18124.1534224247,-9041.04149242899,n/a,n/a,1.27950393547094,0.216818873668189,0.21103500761035,0.271613394216134,0.300532724505327,0.05,0.06,0.17,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.06
K2,18,18302.1577440051,18167.5083809214,-9065.72812537421,n/a,n/a,1.27307521449073,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,18598.1014527465,18470.9300150136,-9218.44168789091,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
