Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9239.37133868253,9104.53901969915,-4532.20262021747,n/a,0.340305461898089,1.60519110310445,0.196904761904762,0.196904761904762,0.303095238095238,0.303095238095238,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G+I,21,9239.45955036468,9097.89232783548,-4527.87257360235,0.283864055303383,0.794851990846322,1.51357540353411,0.196904761904762,0.196904761904762,0.303095238095238,0.303095238095238,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G,23,9255.81498594269,9100.77988117975,-4527.30198647898,n/a,0.335188335791218,1.65087085818542,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.05,0.15,0.04,0.24,0.06,0.04,0.15,0.06,0.1,0.03,0.05
TN93+G+I,24,9256.54332372575,9094.7752408884,-4523.29200291432,0.274117800549592,0.745731923113669,1.56306847085808,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.05,0.15,0.04,0.23,0.06,0.04,0.15,0.06,0.1,0.03,0.05
HKY+G,22,9259.6833335425,9111.38184898457,-4533.61031273508,n/a,0.33652021942926,1.61465019283288,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.05,0.2,0.04,0.18,0.06,0.04,0.11,0.06,0.13,0.03,0.05
HKY+G+I,23,9260.15200524775,9105.11690048482,-4529.47049613151,0.27850389891544,0.766596120899762,1.52267954249864,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.06,0.2,0.04,0.17,0.06,0.04,0.11,0.06,0.13,0.04,0.06
GTR+G,26,9275.6112563183,9100.37914495224,-4524.07766429821,n/a,0.330100794224867,1.66004263259659,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.06,0.15,0.03,0.24,0.03,0.05,0.16,0.07,0.1,0.02,0.06
GTR+G+I,27,9278.49616374599,9096.53300254031,-4521.14596555587,0.244232674794336,0.645001324188104,1.5888469410295,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.06,0.15,0.04,0.24,0.04,0.05,0.15,0.07,0.1,0.02,0.06
T92+I,20,9311.93920268378,9177.1068837004,-4568.4865522181,0.419955116891322,n/a,1.20912052077403,0.196904761904762,0.196904761904762,0.303095238095238,0.303095238095238,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93+I,23,9333.3612537007,9178.32614893777,-4566.07512035799,0.419003107471234,n/a,1.21910774129682,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.06,0.15,0.05,0.19,0.07,0.05,0.12,0.07,0.1,0.04,0.06
HKY+I,22,9333.86486589982,9185.56338134188,-4570.70107891373,0.419883127241369,n/a,1.20857916235551,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.06,0.18,0.05,0.16,0.07,0.05,0.1,0.07,0.12,0.04,0.06
K2+G+I,20,9334.83881581376,9200.00649683038,-4579.93635878308,0.297324767528608,0.966753241322116,1.3014784321192,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,9336.80769122461,9208.71091699768,-4585.2949489447,n/a,0.38235736386322,1.36800314616697,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,9358.64462368553,9183.41251231947,-4565.59434798183,0.419262618915655,n/a,1.22223718065671,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.06,0.15,0.05,0.19,0.07,0.04,0.12,0.08,0.1,0.04,0.07
K2+I,19,9394.0615379515,9265.96476372457,-4613.92187230814,0.418306645787702,n/a,1.10898697494424,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,9431.8369609885,9303.74018676157,-4632.80958382664,0.326038870303905,1.30635403634561,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9437.20692071604,9315.84633214992,-4639.8687161466,n/a,0.426674272833775,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9478.82195610677,9357.46136754064,-4660.67623384197,0.417336482625117,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9861.77182323706,9733.67504901013,-4847.77701495093,n/a,n/a,1.00026351020643,0.196904761904762,0.196904761904762,0.303095238095238,0.303095238095238,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.1,0.05,0.07
HKY,21,9882.16028971166,9740.59306718246,-4849.22294327584,n/a,n/a,0.996132460395466,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.07,0.16,0.05,0.14,0.08,0.05,0.09,0.08,0.11,0.04,0.07
TN93,22,9882.80851612439,9734.50703156645,-4845.17290402602,n/a,n/a,0.99842145037638,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.04,0.07,0.14,0.05,0.17,0.08,0.05,0.11,0.08,0.09,0.04,0.07
GTR,25,9893.08542395378,9724.58500547965,-4837.18890057215,n/a,n/a,1.00203985872646,0.211746031746032,0.182063492063492,0.284444444444444,0.321746031746032,0.03,0.08,0.14,0.04,0.17,0.06,0.06,0.11,0.1,0.09,0.03,0.09
K2,18,9901.99813435411,9780.63754578799,-4872.26432296564,n/a,n/a,0.983311545042995,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC,17,9977.06839497023,9862.44463266322,-4914.17360572989,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
