Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,27964.7716830345,27772.3466742934,-13862.1466051351,0.399523959021067,1.23481266397284,1.94229985835585,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.05,0.14,0.03,0.25,0.05,0.03,0.19,0.05,0.09,0.03,0.05
GTR+G+I,27,27969.84161256,27753.3707043745,-13849.6516653501,0.389898968030557,1.17779543136635,1.93765764004109,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.05,0.14,0.03,0.25,0.03,0.04,0.19,0.07,0.09,0.02,0.06
T92+G+I,21,27985.8750512015,27817.4975493289,-13887.7281937664,0.398901294281443,1.20635686470565,1.86626439863567,0.206786826880285,0.206786826880285,0.293213173119715,0.293213173119715,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,28002.1866964268,27793.7309094136,-13870.8341754661,n/a,0.339789617014405,1.98923326490496,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.05,0.14,0.02,0.25,0.03,0.04,0.19,0.07,0.09,0.02,0.06
TN93+G,23,28003.4116548246,27819.0023031354,-13886.4765592127,n/a,0.333978873135105,2.01589583755214,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.04,0.14,0.03,0.25,0.05,0.03,0.19,0.05,0.09,0.03,0.04
HKY+G+I,23,28020.1715457334,27835.7621940443,-13894.8565046672,0.394800177002195,1.17043518873021,1.87455846803279,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.04,0.05,0.2,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,28021.5659562242,27861.2046470685,-13910.5836144603,n/a,0.334069985916716,1.93207782707241,0.206786826880285,0.206786826880285,0.293213173119715,0.293213173119715,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G,22,28054.1061562258,27877.7126401674,-13916.8337780959,n/a,0.334162888842873,1.94023511602151,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.05,0.21,0.03,0.18,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+I,26,28108.8893402441,27900.433553231,-13924.1854973747,0.484164243510298,n/a,1.64867918674809,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.05,0.15,0.03,0.23,0.05,0.04,0.17,0.07,0.1,0.03,0.07
TN93+I,23,28119.6215954667,27935.2122437776,-13944.5815295338,0.484391797141228,n/a,1.3860381990631,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.04,0.06,0.15,0.04,0.2,0.06,0.04,0.15,0.06,0.1,0.04,0.06
T92+I,20,28122.7806324975,27962.4193233417,-13961.190952597,0.48722371043557,n/a,1.59643812781543,0.206786826880285,0.206786826880285,0.293213173119715,0.293213173119715,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+I,22,28161.9332366393,27985.539720581,-13970.7473183027,0.48679022052159,n/a,1.59257493484405,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G+I,20,28225.0615126635,28064.7002035077,-14012.3313926799,0.401605655949034,1.41641785633911,1.66079547062319,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,28259.8405665311,28107.4956285994,-14034.7308877963,n/a,0.36477949569107,1.70875114215712,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,28337.2966919872,28184.9517540554,-14073.4589505244,0.484617807697308,n/a,1.48669789464647,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,28799.6360077015,28647.2910697697,-14304.6286083815,0.413448211670428,1.8628363439637,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,28840.9076312426,28696.5792430184,-14330.2743883347,n/a,0.399753592638884,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,28879.9992887144,28735.6709004901,-14349.8202170706,0.481569797437576,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,29730.9077615325,29530.4672743421,-14740.2046762015,n/a,n/a,1.29316722310095,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.03,0.06,0.14,0.03,0.2,0.05,0.05,0.15,0.09,0.09,0.03,0.08
TN93,22,29788.5748192942,29612.1813032358,-14784.0681096301,n/a,n/a,1.28847799095734,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.04,0.06,0.14,0.04,0.19,0.07,0.04,0.15,0.07,0.09,0.04,0.06
T92,19,29814.3935215086,29662.0485835768,-14812.0073652851,n/a,n/a,1.28198998592674,0.206786826880285,0.206786826880285,0.293213173119715,0.293213173119715,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY,21,29843.8048670433,29675.4273651707,-14816.6931016873,n/a,n/a,1.28152228916798,0.205696484201157,0.207877169559413,0.276813529149978,0.309612817089453,0.04,0.06,0.18,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.06
K2,18,29909.797625894,29765.4692376697,-14864.7193856604,n/a,n/a,1.26709907782631,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,30383.1305211414,30246.8188610841,-15106.3958014667,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
