Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10138.4928130849,9991.95683353923,-4974.92028893872,0.372846767480183,1.19481599787621,1.79370563265745,0.210978670012547,0.210978670012547,0.289021329987453,0.289021329987453,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,10141.3645699749,10001.8014482089,-4980.84788726961,n/a,0.369335246076716,1.83992064914786,0.210978670012547,0.210978670012547,0.289021329987453,0.289021329987453,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10147.335702907,9979.88418677309,-4965.86657419208,0.358463518181272,1.12644813544064,1.84593029038952,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.05,0.14,0.04,0.24,0.05,0.04,0.19,0.05,0.09,0.04,0.05
TN93+G,23,10150.46879833,9989.98862140929,-4971.92484178947,n/a,0.373696391623641,1.90424255984027,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.03,0.04,0.13,0.04,0.25,0.05,0.04,0.19,0.05,0.09,0.03,0.04
HKY+G+I,23,10166.7037839658,10006.2236070451,-4980.04233460738,0.373140024416158,1.20524309240643,1.81125154448882,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.13,0.06,0.14,0.04,0.05
GTR+G+I,27,10169.1173505287,9980.75485694737,-4963.28223834526,0.357572093672494,1.14626461322991,1.84017732618669,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.03,0.05,0.14,0.03,0.24,0.04,0.04,0.19,0.07,0.09,0.03,0.06
HKY+G,22,10169.6949322667,10016.1866009391,-4986.02962864371,n/a,0.370859578811817,1.85953802517165,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.05,0.21,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,10171.7811963976,9990.38852174205,-4969.10588116562,n/a,0.379722425278017,1.89116166715641,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.03,0.05,0.14,0.03,0.24,0.04,0.04,0.19,0.07,0.09,0.03,0.05
T92+I,20,10182.4510985591,10042.8879767931,-5001.39115156171,0.478607006121892,n/a,1.57817707249902,0.210978670012547,0.210978670012547,0.289021329987453,0.289021329987453,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+I,23,10193.849157583,10033.3689806624,-4993.615021416,0.473392938019996,n/a,1.57975660680826,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.05,0.14,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.05
K2+G+I,20,10194.5802182071,10055.0170964411,-5007.45571138571,0.378706398911496,1.36039312905436,1.66209882348207,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,10198.3496598832,10065.7599017036,-5013.83215210965,n/a,0.392684921171624,1.69957570769938,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,10210.2361150287,10056.7277837012,-5006.30022002473,0.478030436590356,n/a,1.58826076652777,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+I,26,10213.8857065571,10032.4930319015,-4990.15813624536,0.472954105422492,n/a,1.59581663822958,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.03,0.05,0.15,0.03,0.21,0.05,0.04,0.17,0.07,0.1,0.03,0.06
K2+I,19,10230.9923805122,10098.4026223326,-5030.15351242417,0.476710770444664,n/a,1.5056441174852,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10401.547435581,10268.9576774013,-5115.43103995853,0.392397784235701,1.75766489867673,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10407.3478411948,10281.7319522176,-5122.82296265136,n/a,0.428149702914646,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10427.4746863127,10301.8587973354,-5132.8863852103,0.473479630991643,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,10722.6865048324,10569.1781735048,-5262.52541492656,n/a,n/a,1.32093855873494,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.06,0.13,0.05,0.2,0.07,0.05,0.16,0.07,0.09,0.04,0.06
GTR,25,10725.4782073464,10551.0558585704,-5250.44610652591,n/a,n/a,1.32104210659285,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.03,0.06,0.13,0.03,0.2,0.05,0.05,0.16,0.09,0.09,0.03,0.07
T92,19,10730.5636152192,10597.9738570396,-5279.93912977764,n/a,n/a,1.31420799118367,0.210978670012547,0.210978670012547,0.289021329987453,0.289021329987453,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2,18,10749.8629999114,10624.2471109341,-5294.08054200963,n/a,n/a,1.30181571242277,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,10754.6567519014,10608.1207723557,-5283.00225834697,n/a,n/a,1.31206230033308,0.214554579673777,0.207402760351317,0.262986198243413,0.315056461731493,0.04,0.06,0.18,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.04,0.06
JC,17,10923.5616864785,10804.9201721288,-5385.42160517908,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
