Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,20002.0664549845,19854.2666209086,-9907.09827834151,n/a,0.573582746713385,1.23000832664123,0.194462947543714,0.194462947543714,0.305537052456286,0.305537052456286,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
T92+G+I,21,20009.5403885851,19854.3540724456,-9906.13849768427,0.0892332730126041,0.752173329182863,1.22093153811683,0.194462947543714,0.194462947543714,0.305537052456286,0.305537052456286,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
HKY+G,22,20028.9271021485,19866.3546388104,-9911.13510700841,n/a,0.576363445397266,1.22466600823862,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.04,0.07,0.18,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
GTR+G,26,20029.4701489326,19837.3564471258,-9892.61964057033,n/a,0.597487889757385,1.19746245623865,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.03,0.09,0.17,0.03,0.18,0.04,0.06,0.12,0.08,0.1,0.03,0.08
TN93+G,23,20036.3728362816,19866.4145606936,-9910.16122661743,n/a,0.575982289842101,1.22829922045178,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.04,0.07,0.16,0.04,0.18,0.07,0.04,0.12,0.07,0.1,0.04,0.07
HKY+G+I,23,20036.5118660705,19866.5535904825,-9910.23074151188,0.0868766505861295,0.750013572196899,1.21580688408413,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.04,0.07,0.18,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
GTR+G+I,27,20037.7248741932,19838.2267007701,-9892.05025574309,0.0716326730502004,0.740338128615904,1.19220959904336,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.03,0.09,0.17,0.03,0.18,0.04,0.06,0.12,0.08,0.1,0.03,0.08
TN93+G+I,24,20043.8824852022,19866.5387323969,-9909.21930362023,0.0881975300146815,0.753096517269247,1.21931795212583,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.04,0.07,0.16,0.04,0.18,0.07,0.04,0.12,0.07,0.1,0.04,0.07
T92+I,20,20211.3967000312,20063.5968659552,-10011.7634008649,0.266968465975964,n/a,0.998776527665325,0.194462947543714,0.194462947543714,0.305537052456286,0.305537052456286,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.1,0.05,0.07
GTR+I,26,20228.8589626234,20036.7452608166,-9992.31404741575,0.265176475674287,n/a,1.00518453640071,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.03,0.09,0.16,0.03,0.16,0.06,0.06,0.11,0.1,0.09,0.04,0.09
HKY+I,22,20238.0680144868,20075.4955511487,-10015.7055631776,0.266590813082376,n/a,0.995921335192857,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.05,0.07,0.16,0.05,0.15,0.08,0.05,0.1,0.08,0.1,0.05,0.07
TN93+I,23,20245.6941567306,20075.7358811426,-10014.8218868419,0.266446234658666,n/a,0.997014287395701,0.19067443796836,0.198251457119067,0.298251457119067,0.312822647793505,0.05,0.07,0.15,0.05,0.16,0.08,0.05,0.11,0.08,0.09,0.05,0.07
K2+G,19,20276.5104550651,20136.0974378338,-10049.0170258393,n/a,0.664956960492749,1.0667376623507,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+G+I,20,20281.6727124417,20133.8728783657,-10046.9014070701,0.120660737931384,1.00718229922129,1.05531434488591,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G,18,20416.5301786256,20283.5043129363,-10123.7236350771,n/a,0.718274368900694,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,20419.9916564025,20279.5786391712,-10120.757626508,0.135318898002413,1.18761051827714,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
