Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3045.86125432654,2937.80672184954,-1449.73063365204,n/a,0.421113214161421,2.18185728224498,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,3046.98721205086,2933.263954368,-1446.44098127677,0.383457378724094,1.9025918409656,2.0642739488356,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,3047.7581153492,2939.7035828722,-1450.67906416337,0.442451115834383,n/a,1.8309558464372,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G,23,3050.73415019648,2920.01584551499,-1436.75655663728,n/a,0.455271741936934,2.4681216169927,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.03,0.07,0.04,0.3,0.03,0.04,0.28,0.03,0.08,0.03,0.03
T92+G,20,3053.49673456803,2939.77347688517,-1449.69574253535,n/a,0.425127650488256,2.15646954681169,0.261261261261261,0.261261261261261,0.238738738738739,0.238738738738739,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.18,0.04,0.18,0.04,0.04
TN93+G+I,24,3053.84894880139,2917.46934644332,-1434.4613247023,0.32452288975702,1.47445001340588,2.24838966692898,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.04,0.07,0.04,0.28,0.04,0.04,0.26,0.04,0.09,0.03,0.04
T92+G+I,21,3054.83351132754,2935.44338152095,-1446.51149967767,0.380088261880651,1.87048089962614,2.04219202813984,0.261261261261261,0.261261261261261,0.238738738738739,0.238738738738739,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,3055.77856175435,2942.05530407148,-1450.83665612851,0.441343325452062,n/a,1.81073048211226,0.261261261261261,0.261261261261261,0.238738738738739,0.238738738738739,0.05,0.04,0.15,0.05,0.15,0.04,0.05,0.17,0.04,0.17,0.05,0.04
TN93+I,23,3057.92601163889,2927.2077069574,-1440.35248735848,0.417908389349424,n/a,1.83525761896322,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.04,0.08,0.05,0.24,0.04,0.05,0.23,0.04,0.1,0.04,0.04
GTR+G,26,3073.78459626332,2926.08799079504,-1436.7238859584,n/a,0.454560225415626,2.47322631399542,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.03,0.07,0.04,0.3,0.03,0.04,0.28,0.04,0.08,0.03,0.03
HKY+G,22,3074.41159334225,2949.35644702446,-1452.4479094476,n/a,0.416673324057447,2.30465012916843,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.04,0.17,0.05,0.17,0.04,0.05,0.15,0.04,0.21,0.03,0.04
HKY+G+I,23,3076.1702458893,2945.45194120781,-1449.47460448369,0.372803299346402,1.67124696535279,2.17889405306031,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.04,0.16,0.05,0.16,0.04,0.05,0.15,0.04,0.21,0.03,0.04
GTR+G+I,27,3076.92935614192,2923.57705034243,-1434.44363466027,0.324176090209836,1.46829410159551,2.24962600306418,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.03,0.03,0.07,0.05,0.28,0.04,0.04,0.26,0.04,0.09,0.03,0.04
HKY+I,22,3078.60440264066,2953.54925632287,-1454.5443140968,0.441002535840836,n/a,1.87714365650399,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.04,0.16,0.05,0.15,0.04,0.05,0.14,0.04,0.2,0.04,0.04
GTR+I,26,3080.97044112689,2933.27383565861,-1440.31680839018,0.418346386194558,n/a,1.83284315593071,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.04,0.08,0.05,0.24,0.04,0.05,0.23,0.04,0.1,0.04,0.04
JC+I,18,3122.69951224836,3020.31555553357,-1492.00239385038,0.43843839304994,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,3126.54621178072,3018.49167930371,-1490.07311237913,0.403784033013497,3.64101222134038,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,3128.00650230492,3025.62254559012,-1494.65588887866,n/a,0.495503041317164,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,3174.09978388176,3049.04463756397,-1502.29200471735,n/a,n/a,1.60529399170696,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.04,0.07,0.06,0.24,0.04,0.06,0.22,0.04,0.09,0.04,0.04
K2,18,3189.68934214881,3087.30538543402,-1525.49730880061,n/a,n/a,1.53017003079363,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,3195.41433236828,3087.35979989127,-1524.50717267291,n/a,n/a,1.53012310796768,0.261261261261261,0.261261261261261,0.238738738738739,0.238738738738739,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR,25,3196.87563121034,3054.83659440705,-1502.12203466934,n/a,n/a,1.60566698392365,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.05,0.07,0.05,0.24,0.04,0.06,0.22,0.05,0.09,0.04,0.05
HKY,21,3218.36581185277,3098.97568204618,-1528.27764994029,n/a,n/a,1.52741198965146,0.300900900900901,0.221621621621622,0.237837837837838,0.23963963963964,0.04,0.05,0.14,0.06,0.14,0.05,0.06,0.13,0.05,0.18,0.04,0.05
JC,17,3256.40159517482,3159.6900622574,-1562.70606655105,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
