Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,11661.6709018684,11516.5883150606,-5737.23187659203,0.256670046705242,1.39826402675892,1.40851553172606,0.211021505376344,0.211021505376344,0.288978494623656,0.288978494623656,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,11666.4606865861,11528.2813868359,-5744.08408201479,n/a,0.533430844927059,1.47143147601357,0.211021505376344,0.211021505376344,0.288978494623656,0.288978494623656,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G+I,23,11682.0044985887,11523.1169649626,-5738.48404882434,0.255697755269095,1.38965619045566,1.4046064078886,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.06,0.18,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.04,0.06
TN93+G+I,24,11685.1992431112,11519.4100501634,-5735.62410802168,0.260333457233458,1.42314784834965,1.4181684698247,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.06,0.15,0.04,0.19,0.06,0.04,0.14,0.06,0.11,0.04,0.06
HKY+G,22,11686.6115053307,11534.6261738245,-5745.24486525927,n/a,0.533632162825847,1.46830004862978,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
TN93+G,23,11690.7932977088,11531.9057640826,-5742.87844838436,n/a,0.527530364616184,1.4844659778384,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.05,0.16,0.04,0.19,0.06,0.04,0.14,0.06,0.11,0.04,0.05
GTR+G+I,27,11695.6897659484,11509.1988540211,-5727.49743024854,0.244949518963361,1.31767503781093,1.40269166507061,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.03,0.07,0.15,0.03,0.19,0.04,0.05,0.14,0.08,0.11,0.03,0.07
GTR+G,26,11698.4459562071,11518.8550738888,-5733.33283844178,n/a,0.543140548135568,1.44268690379146,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.03,0.07,0.16,0.03,0.19,0.04,0.05,0.14,0.08,0.12,0.03,0.07
T92+I,20,11718.0913942533,11579.9120945031,-5769.89943584837,0.34706154903192,n/a,1.23174952423939,0.211021505376344,0.211021505376344,0.288978494623656,0.288978494623656,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY+I,22,11738.7650007338,11586.7796692276,-5771.32161296082,0.34696857920249,n/a,1.22483172799518,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.06,0.17,0.05,0.15,0.07,0.05,0.11,0.07,0.12,0.04,0.06
TN93+I,23,11740.0254446994,11581.1379110733,-5767.49452187969,0.346877059957941,n/a,1.23673121398875,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.04,0.06,0.15,0.05,0.18,0.07,0.05,0.13,0.07,0.11,0.04,0.06
K2+G+I,20,11740.3232693968,11602.1439696466,-5781.01537342013,0.26181891250176,1.61377444932887,1.29893835645015,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,11746.6879068829,11615.4124363302,-5788.6550052271,n/a,0.579020374781569,1.34783969745421,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,11752.9532500605,11573.3623677422,-5760.58648536849,0.346281464598305,n/a,1.24689339682738,0.219489247311828,0.20255376344086,0.276209677419355,0.301747311827957,0.03,0.06,0.15,0.03,0.18,0.06,0.05,0.13,0.08,0.11,0.04,0.08
K2+I,19,11786.6474649106,11655.3719943579,-5808.63478424097,0.345094108425015,n/a,1.17523900530527,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,11886.5331499615,11755.2576794087,-5858.57762676637,0.270827935747531,1.93201602481765,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
