Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,15466.7629628842,15264.0129676624,-7604.95053356479,0.396274392592498,0.781902036201667,2.66395581259738,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.01,0.05,0.11,0.01,0.3,0.02,0.04,0.23,0.06,0.09,0.01,0.06
GTR+G,26,15471.3389755873,15276.0943833274,-7611.99524168958,n/a,0.272648595132104,2.65032900819555,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.01,0.05,0.11,0.01,0.3,0.02,0.04,0.23,0.06,0.09,0.01,0.07
TN93+G+I,24,15482.3510200694,15302.1181251873,-7627.01466747713,0.413741937718801,0.824676387789322,2.71957153720223,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.03,0.04,0.11,0.03,0.3,0.04,0.03,0.23,0.04,0.09,0.03,0.04
TN93+G,23,15491.6273785491,15318.9007779511,-7636.40954849018,n/a,0.263555789172717,2.80134331136423,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.03,0.04,0.11,0.03,0.31,0.04,0.03,0.24,0.04,0.09,0.03,0.04
T92+G+I,21,15520.1516981576,15362.4385769885,-7660.18511184091,0.433467581459964,0.933511747780492,2.43093418576892,0.221196454948301,0.221196454948301,0.278803545051699,0.278803545051699,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,15525.7838066896,15375.5778705336,-7667.75786788014,n/a,0.270218903311113,2.42477416278372,0.221196454948301,0.221196454948301,0.278803545051699,0.278803545051699,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G+I,23,15538.6467510894,15365.9201504914,-7659.91923476034,0.434552752945054,0.937154239775124,2.43979464969428,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
HKY+G,22,15544.6005327176,15379.3805233792,-7667.65282734765,n/a,0.269832181108716,2.4334635826364,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
GTR+I,26,15565.4803643939,15370.235772134,-7659.06593609288,0.538740329797386,n/a,2.11533161472782,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.02,0.05,0.13,0.02,0.26,0.03,0.04,0.2,0.07,0.11,0.02,0.07
TN93+I,23,15574.8477784112,15402.1211778131,-7678.01974842122,0.540251926533697,n/a,2.05561109545693,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.03,0.05,0.13,0.04,0.25,0.04,0.04,0.19,0.04,0.1,0.03,0.05
K2+G+I,20,15595.8628616876,15445.6569255315,-7702.79739537912,0.426306257742474,0.963535382195559,2.25967886058703,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,15597.2160685746,15454.5176142095,-7708.23070059588,n/a,0.281106637388125,2.26183165814387,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,15604.8583193236,15454.6523831676,-7707.29512419716,0.545005554012416,n/a,2.00992514380592,0.221196454948301,0.221196454948301,0.278803545051699,0.278803545051699,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,15622.7960927289,15457.5760833905,-7706.7506073533,0.54515895929241,n/a,2.01613573742878,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.04,0.05,0.18,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+I,19,15676.7593704278,15534.0609160627,-7748.00235152246,0.542920348816187,n/a,1.91483578673533,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,16080.9299967448,15938.2315423797,-7950.08766468096,0.455268882372412,1.48652235753184,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,16082.3037614286,15947.1130855665,-7955.5312487961,n/a,0.31441299722191,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16129.7733098007,15994.5826339386,-7979.26602298217,0.539035649230346,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,16615.3720295188,16427.633137394,-8188.76847042856,n/a,n/a,1.38219308547006,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.04,0.06,0.12,0.04,0.21,0.03,0.04,0.16,0.08,0.1,0.03,0.09
TN93,22,16641.0810056499,16475.8609963115,-8215.8930638138,n/a,n/a,1.59180528063309,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.04,0.05,0.12,0.04,0.23,0.05,0.04,0.17,0.05,0.1,0.04,0.05
T92,19,16685.5451855601,16542.846731195,-8252.39525908862,n/a,n/a,1.57609254077787,0.221196454948301,0.221196454948301,0.278803545051699,0.278803545051699,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY,21,16706.2131522694,16548.5000311003,-8253.21583889681,n/a,n/a,1.57597246488378,0.226218611521418,0.216174298375185,0.282127031019202,0.275480059084195,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
K2,18,16707.1862413089,16571.9955654468,-8267.97248873625,n/a,n/a,1.57085900201,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC,17,17103.3006946429,16975.61809393,-8470.78641717648,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
