Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12025.8495742521,11857.071753906,-5904.46440583922,0.325815577066417,1.69942121695596,1.93651189150662,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.19,0.05,0.1,0.04,0.05
T92+G+I,21,12031.2332495719,11883.5376085167,-5920.71379115997,0.330933283351266,1.76964956208475,1.84680771109891,0.223099762470309,0.223099762470309,0.276900237529691,0.276900237529691,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G+I,27,12034.141073304,11844.2853870006,-5895.05260770431,0.296648722757284,1.35611353943654,1.98483193950925,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.02,0.06,0.12,0.02,0.25,0.03,0.05,0.2,0.06,0.1,0.03,0.06
TN93+G,23,12039.8756964332,11878.124790153,-5915.99664948336,n/a,0.477547494554272,2.05117042888606,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.05,0.12,0.04,0.25,0.04,0.04,0.2,0.04,0.1,0.04,0.05
HKY+G+I,23,12043.9572839583,11882.2063776781,-5918.03744324593,0.331967561626713,1.78501834926911,1.84539572543013,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,12044.665864493,11903.9985742545,-5931.94928117414,n/a,0.484723090863736,1.93217982369478,0.223099762470309,0.223099762470309,0.276900237529691,0.276900237529691,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G,22,12057.6966436507,11902.9731305246,-5929.42630564576,n/a,0.484297382466138,1.93066222957518,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.05,0.18,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G,26,12059.1013730734,11876.2711625442,-5912.05194014261,n/a,0.504788190089928,1.76211884730884,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.06,0.13,0.04,0.22,0.03,0.05,0.18,0.06,0.11,0.02,0.06
TN93+I,23,12064.9027917058,11903.1518854256,-5928.51019711968,0.396129230324255,n/a,1.6832887185816,0.223159144893112,0.223040380047506,0.282779097387173,0.271021377672209,0.04,0.05,0.13,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
T92+I,20,12068.5264904289,11927.8592001903,-5943.87959414208,0.398813236249484,n/a,1.65397098299649,0.223099762470309,0.223099762470309,0.276900237529691,0.276900237529691,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
