Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,9421.39659487186,9283.01289639783,-4620.42086094437,0.234863747704172,1.88311153867169,0.938708009189365,0.23090405904059,0.23090405904059,0.26909594095941,0.26909594095941,0.06,0.07,0.13,0.06,0.13,0.07,0.06,0.11,0.07,0.11,0.06,0.07
T92+G,20,9427.50943434718,9295.70799682598,-4627.77620622925,n/a,0.627552490522824,0.977004204937837,0.23090405904059,0.23090405904059,0.26909594095941,0.26909594095941,0.06,0.07,0.13,0.06,0.13,0.07,0.06,0.11,0.07,0.11,0.06,0.07
K2+G+I,20,9436.74194053184,9304.94050301064,-4632.39245932158,0.235410899321699,1.9576185194741,0.920057210676564,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
HKY+G+I,23,9440.91592119761,9289.36994202267,-4621.58267301282,0.23396655229405,1.86586823260568,0.938767515142888,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.13,0.06,0.13,0.07,0.06,0.11,0.07,0.11,0.06,0.07
K2+G,19,9443.42488099999,9318.20645094649,-4640.03285510288,n/a,0.642951187324653,0.956279355589022,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
HKY+G,22,9446.77732627923,9301.8121137822,-4628.81230110085,n/a,0.627500280269351,0.976745641340634,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.14,0.06,0.13,0.07,0.06,0.12,0.07,0.11,0.06,0.07
TN93+G+I,24,9448.82954588297,9290.7035477908,-4621.24055980828,0.234709951093937,1.88561272301054,0.938983173965611,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.13,0.06,0.14,0.07,0.06,0.12,0.07,0.1,0.06,0.07
GTR+G+I,27,9454.03379050551,9276.17222638606,-4610.9459054779,0.216781205232265,1.63992978434403,0.933140818305577,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.04,0.1,0.13,0.04,0.14,0.05,0.08,0.12,0.08,0.11,0.04,0.08
TN93+G,23,9454.95990743804,9303.4139282631,-4628.60466613303,n/a,0.628513620942643,0.977103827678513,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.13,0.06,0.14,0.07,0.06,0.12,0.07,0.11,0.06,0.07
GTR+G,26,9455.73523160232,9284.45144062155,-4616.09555157352,n/a,0.630167678622005,0.958280074724775,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.04,0.1,0.13,0.04,0.14,0.04,0.09,0.12,0.08,0.11,0.04,0.08
T92+I,20,9457.03830060418,9325.23686308299,-4642.54063935776,0.295083853485601,n/a,0.859716859481267,0.23090405904059,0.23090405904059,0.26909594095941,0.26909594095941,0.06,0.07,0.12,0.06,0.12,0.07,0.06,0.11,0.07,0.11,0.06,0.07
K2+I,19,9470.50116745254,9345.28273739905,-4653.57099832915,0.294510251908526,n/a,0.849268135052449,0.25,0.25,0.25,0.25,0.07,0.07,0.11,0.07,0.11,0.07,0.07,0.11,0.07,0.11,0.07,0.07
JC+G+I,19,9474.78422115358,9349.56579110008,-4655.71252517967,0.239042148264478,2.17936654631336,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+I,22,9477.02645022202,9332.06123772498,-4643.93686307224,0.294966823047083,n/a,0.859020699392898,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.13,0.06,0.12,0.07,0.06,0.11,0.07,0.11,0.06,0.07
JC+G,18,9483.19186766201,9364.55719117642,-4664.2152739811,n/a,0.670626208490653,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+I,23,9484.48105986965,9332.93508069471,-4643.36524234884,0.294895214385142,n/a,0.859864633414869,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.06,0.07,0.12,0.06,0.13,0.07,0.06,0.12,0.07,0.1,0.06,0.07
GTR+I,26,9494.69305496926,9323.40926398849,-4635.57446325699,0.292760114542548,n/a,0.862150728044204,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.04,0.09,0.12,0.04,0.13,0.06,0.08,0.12,0.09,0.1,0.05,0.08
JC+I,18,9503.41499474276,9384.78031825718,-4674.32683752148,0.293712111227375,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9786.32657721517,9661.10814716167,-4811.48370321047,n/a,n/a,0.785351766812258,0.23090405904059,0.23090405904059,0.26909594095941,0.26909594095941,0.06,0.08,0.12,0.06,0.12,0.08,0.06,0.1,0.08,0.1,0.06,0.08
K2,18,9793.2653048049,9674.63062831931,-4819.25199255255,n/a,n/a,0.783967175520933,0.25,0.25,0.25,0.25,0.07,0.07,0.11,0.07,0.11,0.07,0.07,0.11,0.07,0.11,0.07,0.07
GTR,25,9803.67550192804,9638.97023309519,-4794.3646122836,n/a,n/a,0.780502459203484,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.04,0.1,0.11,0.04,0.12,0.06,0.08,0.11,0.1,0.1,0.05,0.09
HKY,21,9805.38227854843,9666.9985800744,-4812.41370278266,n/a,n/a,0.785864703037045,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.07,0.07,0.12,0.06,0.12,0.08,0.06,0.1,0.08,0.1,0.07,0.07
TN93,22,9813.3413263547,9668.37611385766,-4812.09430113858,n/a,n/a,0.785775885099441,0.228782287822878,0.233025830258303,0.264391143911439,0.27380073800738,0.07,0.07,0.12,0.06,0.12,0.08,0.06,0.11,0.08,0.1,0.07,0.07
JC,17,9820.5317914935,9708.48161426169,-4837.18416144406,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
