Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+I,20,5609.81469773927,5488.97999947871,-2724.35577155144,0.232757906359976,n/a,0.945333552155467,0.211904761904762,0.211904761904762,0.288095238095238,0.288095238095238,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.1,0.07,0.1,0.05,0.07
T92+G+I,21,5611.87278579265,5485.00986984387,-2721.35723671222,0.207566460591135,4.71577361462742,0.980443074520809,0.211904761904762,0.211904761904762,0.288095238095238,0.288095238095238,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
T92+G,20,5620.4330181558,5499.59831989525,-2729.6649317597,n/a,0.993433254782639,1.0159631073983,0.211904761904762,0.211904761904762,0.288095238095238,0.288095238095238,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+I,22,5629.01502054007,5496.125183315,-2725.90077522002,0.23232242181519,n/a,0.951986835541001,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.1,0.06,0.07
HKY+G+I,23,5630.71683685398,5491.80137600869,-2722.72410451107,0.206118226133181,4.58486788865897,0.987284291061993,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.14,0.05,0.15,0.07,0.05,0.11,0.07,0.1,0.06,0.07
K2+I,19,5633.68848630164,5518.88330089867,-2740.32024469853,0.229029056854352,n/a,0.89521107167506,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
TN93+I,23,5634.96158271009,5496.0461218648,-2724.84647743912,0.234031440793291,n/a,0.972183174214441,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.13,0.05,0.16,0.07,0.05,0.12,0.07,0.09,0.06,0.07
K2+G+I,20,5635.09573514619,5514.26103688563,-2736.9962902549,0.198983729865095,4.47067680481664,0.924969423015065,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
TN93+G+I,24,5637.11790108764,5492.17811552397,-2721.89705776199,0.210608702356846,4.84560041201367,1.00671221085537,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.13,0.05,0.16,0.07,0.05,0.13,0.07,0.09,0.06,0.07
HKY+G,22,5638.85850268822,5505.96866546315,-2730.82251629409,n/a,0.998359185760503,1.01958939447591,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.1,0.06,0.07
K2+G,19,5641.33681843935,5526.53163303637,-2744.14441076739,n/a,1.07475176067616,0.953551455441978,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
TN93+G,23,5646.61686922399,5507.7014083787,-2730.67412069607,n/a,0.990073454128643,1.02597563673159,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.06,0.07,0.14,0.05,0.16,0.07,0.05,0.12,0.07,0.1,0.06,0.07
GTR+G+I,27,5647.67359406754,5484.66864024115,-2715.09216765421,0.191319698996249,3.28682176629051,1.01120169026018,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.05,0.11,0.13,0.04,0.16,0.04,0.07,0.13,0.07,0.09,0.03,0.08
GTR+I,26,5649.90009788332,5492.91556457935,-2720.232998428,0.230956269258831,n/a,0.973197188047248,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.05,0.1,0.13,0.04,0.16,0.05,0.07,0.12,0.08,0.09,0.04,0.08
GTR+G,26,5650.4300607146,5493.44552741063,-2720.49797984365,n/a,0.967150637961685,1.01834790876698,0.197777777777778,0.226031746031746,0.29015873015873,0.286031746031746,0.05,0.12,0.14,0.04,0.16,0.03,0.08,0.12,0.07,0.1,0.03,0.08
JC+I,18,5656.38983096518,5547.61545234816,-2755.69849589621,0.228126774816136,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5658.80286084617,5543.99767544319,-2752.8774319708,0.200052175030721,4.8933055217996,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
