Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10697.3882845523,10552.3910521455,-5255.1329922341,0.285486729166705,1.14781743084693,1.48859363535699,0.207219973009447,0.207219973009447,0.292780026990553,0.292780026990553,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G,20,10699.2858823852,10561.1878505204,-5260.53708400971,n/a,0.455450825577848,1.53576322961656,0.207219973009447,0.207219973009447,0.292780026990553,0.292780026990553,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,10712.8254423812,10547.1338766791,-5249.48569257112,0.279414891296824,1.10082772812122,1.53109511759117,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.16,0.06,0.1,0.04,0.05
TN93+G,23,10713.870277642,10555.0762780953,-5254.46340306067,n/a,0.451779306767063,1.57986838017737,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.16,0.06,0.09,0.04,0.05
HKY+G+I,23,10718.1266964152,10559.3326968685,-5256.59161244725,0.284093306217464,1.13366467460602,1.49254573373114,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G,22,10719.8998240976,10568.0039357231,-5261.93346914759,n/a,0.453997319815464,1.53979552568888,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G+I,27,10735.183479072,10548.8024872194,-5247.29883233906,0.276158436892468,1.09828447176722,1.52114185918639,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.03,0.06,0.14,0.03,0.22,0.05,0.05,0.16,0.07,0.1,0.04,0.06
GTR+G,26,10735.7917273363,10556.3066652597,-5252.0582493304,n/a,0.458500875478441,1.56206368237421,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.03,0.06,0.14,0.03,0.22,0.05,0.04,0.16,0.07,0.1,0.04,0.06
T92+I,20,10759.2729378112,10621.1749059464,-5290.53061172269,0.40093484260652,n/a,1.30051970200383,0.207219973009447,0.207219973009447,0.292780026990553,0.292780026990553,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2+G+I,20,10765.5269303364,10627.4288984716,-5293.65760798528,0.279057539264026,1.20016661030333,1.37242259178631,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,10766.3123619462,10635.1140749766,-5298.50561664933,n/a,0.487006156800612,1.40513205202096,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,10779.2608117358,10620.4668121891,-5287.15867010755,0.399933421305102,n/a,1.31062158267491,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.06,0.14,0.04,0.19,0.06,0.04,0.14,0.06,0.1,0.04,0.06
HKY+I,22,10780.8377688274,10628.941880453,-5292.40244151252,0.400942847742562,n/a,1.3011426913097,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.04,0.06,0.17,0.04,0.16,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,10800.6828461504,10621.1977840738,-5284.50380873742,0.399821961009419,n/a,1.31983246635455,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.03,0.06,0.15,0.03,0.19,0.06,0.05,0.14,0.07,0.1,0.04,0.07
K2+I,19,10824.1310297215,10692.9327427519,-5327.41495053698,0.398795262909659,n/a,1.22876373618972,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,10912.886022526,10781.6877355564,-5371.79244693922,0.293087449395502,1.44876137556706,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10915.623769929,10791.3257719869,-5377.61661349988,n/a,0.524219750223569,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10960.1352422381,10835.837244296,-5399.87234965445,0.396632562166301,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,11265.3489592547,11134.1506722851,-5548.02391530357,n/a,n/a,1.09854985687628,0.207219973009447,0.207219973009447,0.292780026990553,0.292780026990553,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93,22,11285.436723102,11133.5408347275,-5544.70191864981,n/a,n/a,1.10219045095173,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.05,0.07,0.14,0.05,0.17,0.07,0.05,0.13,0.07,0.09,0.05,0.07
HKY,21,11287.3009775674,11142.3037451606,-5550.08933874165,n/a,n/a,1.0979104000968,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.05,0.07,0.16,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,11292.0927454812,11119.504158862,-5534.66405126197,n/a,n/a,1.10501170670253,0.207422402159244,0.207017543859649,0.282860998650472,0.302699055330634,0.03,0.07,0.14,0.03,0.18,0.07,0.05,0.13,0.09,0.1,0.05,0.08
K2,18,11296.681785824,11172.3837878819,-5568.1456214474,n/a,n/a,1.08651570276821,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,11416.3342378745,11298.9370728714,-5632.4271403318,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
