Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,10517.3788505194,10329.7424859207,-5137.77346748182,0.337524543293293,1.69927781943762,1.75743464529437,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.02,0.06,0.13,0.02,0.23,0.03,0.06,0.18,0.08,0.11,0.02,0.07
T92+G+I,21,10520.9016516481,10374.9295724718,-5166.4050808857,0.365518732282827,2.11109742148089,1.70389693323131,0.220231958762887,0.220231958762887,0.279768041237113,0.279768041237113,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10522.1674724454,10355.3609087078,-5153.60288486459,0.365409837927593,2.24202946021,1.74438593505096,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.03,0.04,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.11,0.03,0.04
T92+G,20,10533.3623227774,10394.3361116691,-5177.11378525694,n/a,0.466681916610198,1.7926990598354,0.220231958762887,0.220231958762887,0.279768041237113,0.279768041237113,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,10537.1264522696,10377.264196577,-5165.56074358324,n/a,0.469159863300079,1.85509343289944,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.03,0.04,0.13,0.04,0.24,0.05,0.04,0.18,0.05,0.11,0.03,0.04
TN93+I,23,10538.3953197607,10378.5330640682,-5166.19517732882,0.419323761409743,n/a,1.57725740104139,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.04,0.05,0.14,0.05,0.21,0.06,0.05,0.16,0.06,0.11,0.04,0.05
GTR+G,26,10538.9503019802,10358.2566835875,-5153.03756201878,n/a,0.494791760965025,1.60363504459515,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.03,0.06,0.14,0.04,0.21,0.02,0.06,0.16,0.08,0.11,0.01,0.07
T92+I,20,10539.0691801951,10400.0429690867,-5179.96721396578,0.423615497294561,n/a,1.55622522229934,0.220231958762887,0.220231958762887,0.279768041237113,0.279768041237113,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+I,26,10542.5648344676,10361.871216075,-5154.84482826249,0.416895011957224,n/a,1.60309834926445,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.02,0.06,0.14,0.03,0.21,0.04,0.06,0.16,0.08,0.11,0.03,0.07
HKY+G+I,23,10546.2614032426,10386.3991475501,-5170.12821906978,0.36754856157301,2.1705221665404,1.73209714360151,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.04,0.05,0.19,0.05,0.16,0.06,0.05,0.12,0.06,0.16,0.04,0.05
HKY+G,22,10559.310498369,10406.3930709308,-5181.13113543957,n/a,0.467738019649237,1.82968741361958,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.03,0.04,0.2,0.04,0.16,0.05,0.04,0.13,0.05,0.16,0.03,0.04
HKY+I,22,10563.4270170213,10410.5095895831,-5183.1893947657,0.423690483949841,n/a,1.57260388706977,0.24639175257732,0.194072164948454,0.251932989690722,0.307603092783505,0.04,0.05,0.19,0.05,0.15,0.06,0.05,0.12,0.06,0.15,0.04,0.05
K2+G+I,20,10564.686474152,10425.6602630436,-5192.77586094423,0.362414815513168,2.23898277243067,1.62000193777361,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,10576.4453424861,10444.3655190502,-5203.13366391785,n/a,0.492305279842022,1.69285198094561,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,10580.6598328239,10448.580009388,-5205.24090908678,0.421127224885924,n/a,1.50038302178836,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10779.2095583812,10647.1297349453,-5304.51577186542,0.373002547826086,3.15640635875854,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10786.463008834,10661.3300924737,-5312.6208658984,0.417980273311181,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10795.6724443721,10670.5395280118,-5317.22558366746,n/a,0.544250817084843,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
