Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,17221.8114426378,17017.7330545423,-8481.81325782357,0.381053069004103,1.07792509475295,1.84683565756912,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.01,0.06,0.13,0.01,0.26,0.04,0.04,0.19,0.08,0.09,0.02,0.07
TN93+G+I,24,17229.9002024333,17048.4870263614,-8500.20124477636,0.393146464848775,1.11422757514482,1.86103278273639,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.03,0.05,0.12,0.04,0.25,0.05,0.04,0.19,0.05,0.09,0.03,0.05
GTR+G,26,17234.086754279,17037.5631539955,-8492.73211599584,n/a,0.347151775707361,1.86394339307112,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.01,0.05,0.13,0.01,0.26,0.03,0.04,0.19,0.08,0.09,0.02,0.07
T92+G+I,21,17239.3627138106,17080.6172946288,-8519.27610752004,0.387476546898987,1.05759352001693,1.757797995768,0.211779184247539,0.211779184247539,0.288220815752461,0.288220815752461,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,17246.047371145,17072.1898313533,-8513.0560314839,n/a,0.336592077331077,1.90479552718274,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.03,0.05,0.12,0.04,0.26,0.05,0.04,0.19,0.05,0.09,0.03,0.05
T92+G,20,17251.4490370228,17100.2601020513,-8530.10047147782,n/a,0.337040654079888,1.78398887423104,0.211779184247539,0.211779184247539,0.288220815752461,0.288220815752461,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,17274.3453787708,17100.4878389791,-8527.20503529681,0.389457736127195,1.07672181876194,1.77005139392397,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
HKY+G,22,17286.4928748917,17120.1912540832,-8538.05998570893,n/a,0.33807103791737,1.79866167431767,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.04,0.05,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
TN93+I,23,17309.1620968973,17135.3045571056,-8544.61339436005,0.498358889448504,n/a,1.54817211560987,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.04,0.05,0.13,0.04,0.22,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+I,20,17320.542259392,17169.3533244205,-8564.64708266242,0.502330427715146,n/a,1.51767796406089,0.211779184247539,0.211779184247539,0.288220815752461,0.288220815752461,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+I,26,17329.5408562552,17133.0172559717,-8540.45916698393,0.498173845796719,n/a,1.38606334726136,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.04,0.05,0.14,0.05,0.2,0.04,0.04,0.15,0.08,0.1,0.03,0.07
HKY+I,22,17354.8380799286,17188.5364591201,-8572.23258822737,0.502240676456911,n/a,1.52413402659192,0.219901547116737,0.20365682137834,0.273839662447257,0.302601969057665,0.04,0.05,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
K2+G+I,20,17366.5010897615,17215.3121547901,-8587.62649784717,0.389441005272424,1.19210450234022,1.60670320279621,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
