Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,7754.35672936673,7613.61099351131,-3785.7289813532,0.417661661708697,1.77667130689469,1.63649042331371,0.211798679867987,0.211798679867987,0.288201320132013,0.288201320132013,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,7762.24770601406,7628.19750030959,-3794.0292022164,n/a,0.363505116237345,1.71996410237433,0.211798679867987,0.211798679867987,0.288201320132013,0.288201320132013,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,7768.24675328289,7587.34185927816,-3766.54559807409,0.346828894955588,1.09600822044178,1.68039442670812,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.02,0.06,0.14,0.02,0.22,0.02,0.05,0.19,0.1,0.09,0.02,0.07
T92+I,20,7770.94295617294,7636.89275046847,-3798.37682729584,0.477049669090225,n/a,1.4712242980809,0.211798679867987,0.211798679867987,0.288201320132013,0.288201320132013,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,7772.94610030788,7612.11777850978,-3781.95946920518,0.38485342015048,1.37173998248676,1.67145243897156,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.19,0.06,0.09,0.04,0.05
TN93+G,23,7774.79823629498,7620.66344206102,-3787.24026973826,n/a,0.365030369242827,1.77367082079021,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.04,0.13,0.04,0.23,0.06,0.04,0.2,0.06,0.09,0.04,0.04
HKY+G+I,23,7781.05965446292,7626.92486022896,-3790.37097882223,0.413796235087694,1.70107626757123,1.66896558792293,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.05,0.2,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.04,0.05
HKY+G,22,7787.93553691734,7640.49493810821,-3798.16365258897,n/a,0.360768434822315,1.75563608156193,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.05,0.21,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.04,0.05
GTR+G,26,7788.83268470684,7614.61931269097,-3781.1932963256,n/a,0.404064629348368,1.32440656030748,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.03,0.06,0.15,0.03,0.18,0.05,0.05,0.15,0.09,0.1,0.03,0.07
TN93+I,23,7796.42136909627,7642.2865748623,-3798.0518361389,0.47195733296672,n/a,1.45629486799025,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.05,0.16,0.04,0.19,0.06,0.04,0.16,0.06,0.1,0.04,0.05
GTR+I,26,7796.49359767102,7622.28022565516,-3785.02375280769,0.468374356529046,n/a,1.49530525401153,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.02,0.06,0.16,0.02,0.19,0.04,0.05,0.16,0.09,0.1,0.03,0.07
HKY+I,22,7798.87545911037,7651.43486030124,-3803.63361368549,0.47608612971342,n/a,1.49185370080218,0.207920792079208,0.215676567656766,0.251980198019802,0.324422442244224,0.04,0.05,0.2,0.04,0.15,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G+I,20,7810.59976198067,7676.54955627621,-3818.2052301997,0.418079411615149,2.07866885289946,1.49274051160567,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,7818.67091965375,7691.31691096611,-3826.59554157577,n/a,0.395721116718398,1.55060003187869,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,7822.59610485291,7695.24209616528,-3828.55813417535,0.473981839960643,n/a,1.38376989952527,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,7936.91304497761,7809.55903628998,-3885.7166042377,0.42485148418841,2.65788503611435,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7943.64075198148,7822.98360684538,-3893.43519027917,0.471669799203988,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,7947.49349665464,7826.83635151854,-3895.36156261575,n/a,0.428329762273109,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
