Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,5598.08748128352,5465.12688175009,-2710.40214026937,n/a,1.00282392358904,1.54244325233102,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.06,0.06,0.15,0.03,0.17,0.05,0.03,0.19,0.05,0.08,0.06,0.06
TN93+G,23,5600.99423815834,5462.0047509233,-2707.82635505349,n/a,1.03584796285007,1.48980302957232,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.06,0.06,0.2,0.03,0.14,0.05,0.03,0.16,0.05,0.1,0.06,0.06
HKY+G+I,23,5605.34745564176,5466.35796840673,-2710.0029637952,0.0732788014085851,1.38146475018874,1.517901015523,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.07,0.06,0.15,0.03,0.17,0.05,0.03,0.19,0.05,0.08,0.07,0.06
GTR+G,26,5608.46340441861,5451.39502722759,-2699.47344722375,n/a,1.12248724898942,1.46090537788352,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.05,0.08,0.19,0.02,0.14,0.03,0.04,0.16,0.08,0.1,0.04,0.08
TN93+G+I,24,5608.67321976601,5463.65613952768,-2707.63668220403,0.0544103860679418,1.30427888436538,1.4729159159586,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.06,0.06,0.19,0.03,0.14,0.05,0.03,0.16,0.05,0.1,0.06,0.06
GTR+G+I,27,5616.07482641329,5452.98274775629,-2699.2499945678,0.0543567125234748,1.42857531791289,1.4455950921332,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.05,0.08,0.19,0.02,0.14,0.03,0.04,0.16,0.08,0.1,0.04,0.08
T92+G,20,5619.48483560536,5498.5858906206,-2729.15914473687,n/a,0.974824385172877,1.51667278495321,0.229272151898734,0.229272151898734,0.270727848101266,0.270727848101266,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+I,22,5626.56538025516,5493.60478072172,-2724.64108975519,0.18964975588803,n/a,1.29129723185556,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.07,0.06,0.14,0.03,0.16,0.06,0.03,0.18,0.06,0.08,0.07,0.06
T92+G+I,21,5626.5813076635,5499.65088929222,-2728.67821711265,0.0807270179752451,1.3909481110804,1.48534562240205,0.229272151898734,0.229272151898734,0.270727848101266,0.270727848101266,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+I,23,5630.87531439223,5491.8858271572,-2722.76689317044,0.186371732139369,n/a,1.26678828217441,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.07,0.06,0.17,0.03,0.14,0.06,0.03,0.16,0.06,0.09,0.07,0.06
K2+G,19,5631.88562984411,5517.01944923563,-2739.38870550954,n/a,1.03685069577336,1.45881494897139,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,5635.79282681995,5478.72444962893,-2713.13815842443,0.1781027993915,n/a,1.26631973530013,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.05,0.07,0.17,0.02,0.14,0.04,0.04,0.16,0.09,0.09,0.05,0.09
K2+G+I,20,5638.6939235312,5517.79497854644,-2738.76368869979,0.0873407994805893,1.55206320276005,1.42676191265943,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,5647.68372978798,5526.78478480323,-2743.25859182818,0.194354330511234,n/a,1.26901357139434,0.229272151898734,0.229272151898734,0.270727848101266,0.270727848101266,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,5655.9328468284,5541.06666621992,-2751.41231400168,0.192113104558762,n/a,1.24609132869259,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
GTR,25,5695.10641242872,5544.06303512476,-2746.8241148821,n/a,n/a,1.1591584871205,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.05,0.08,0.18,0.02,0.12,0.04,0.04,0.14,0.09,0.09,0.05,0.1
TN93,22,5699.17341684768,5566.21281731425,-2760.94510805145,n/a,n/a,1.16194756772986,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.07,0.07,0.18,0.03,0.12,0.06,0.03,0.14,0.06,0.09,0.07,0.07
HKY,21,5701.82741534905,5574.89699697777,-2766.30127095543,n/a,n/a,1.15873063243015,0.138291139240506,0.320253164556962,0.281645569620253,0.259810126582278,0.08,0.07,0.14,0.03,0.15,0.06,0.03,0.17,0.06,0.07,0.08,0.07
JC+G,18,5720.39468319321,5611.56255671774,-2787.67239583738,n/a,1.24919495653267,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5725.03305007065,5610.16686946218,-2785.96241562281,0.117964120927202,2.41937430007047,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,5731.44802150574,5616.58184089726,-2789.16990134035,n/a,n/a,1.1561876716005,0.229272151898734,0.229272151898734,0.270727848101266,0.270727848101266,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
