Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,5467.61183274707,5319.17870390133,-2636.47230360461,n/a,0.254146408297418,3.65046699504401,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.02,0.03,0.08,0.02,0.37,0.03,0.02,0.3,0.03,0.05,0.02,0.03
TN93+G+I,24,5472.19895163263,5317.32244057298,-2634.53396684004,0.365275012921837,0.675188032564728,3.1702284363292,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.03,0.09,0.02,0.34,0.04,0.02,0.28,0.04,0.06,0.03,0.03
GTR+G,26,5481.46361000907,5313.70290665426,-2630.70250361357,n/a,0.266348663299651,3.37884643276075,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.03,0.08,0.03,0.36,0.01,0.02,0.29,0.06,0.05,0,0.05
T92+G+I,21,5484.62036195714,5349.076566946,-2653.44036062433,0.49890227601202,1.72137195410878,2.48795832140962,0.210337552742616,0.210337552742616,0.289662447257384,0.289662447257384,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G+I,27,5485.13671639462,5310.93520405031,-2628.30716059901,0.373088937496994,0.735586219258294,2.99054951131366,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.03,0.09,0.03,0.33,0.01,0.02,0.27,0.06,0.06,0.01,0.05
T92+G,20,5489.91249294308,5360.81464846366,-2660.31832232465,n/a,0.274656662221278,2.59247217560436,0.210337552742616,0.210337552742616,0.289662447257384,0.289662447257384,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+I,20,5493.21282641644,5364.11498193702,-2661.96848906133,0.548260637430471,n/a,2.13324449164111,0.210337552742616,0.210337552742616,0.289662447257384,0.289662447257384,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+I,23,5498.60122840692,5350.16809956119,-2651.96700143454,0.53432192847889,n/a,2.07035302999237,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.04,0.13,0.03,0.25,0.05,0.03,0.21,0.05,0.09,0.03,0.04
K2+G+I,20,5507.76260832527,5378.66476384586,-2669.24338001575,0.512921874375188,2.5626786758338,2.21684822767681,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,5508.74679287061,5360.31366402488,-2657.03978366638,0.499677065630853,1.76837392848937,2.50861826449525,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.04,0.23,0.03,0.19,0.04,0.03,0.16,0.04,0.15,0.03,0.04
GTR+I,26,5509.00603987663,5341.24533652183,-2644.47371854736,0.532347297628251,n/a,2.07997118381485,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.04,0.13,0.03,0.26,0.02,0.03,0.21,0.08,0.09,0.01,0.06
K2+I,19,5509.2972709409,5386.64623201096,-2674.2426075309,0.547465507857628,n/a,2.0328351901393,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,5514.45810077452,5372.46921079319,-2664.12733382568,n/a,0.27624359874842,2.61664907240849,0.204852320675105,0.215822784810127,0.263080168776371,0.316244725738397,0.03,0.04,0.23,0.03,0.19,0.04,0.03,0.16,0.04,0.15,0.03,0.04
K2+G,19,5515.77001263428,5393.11897370434,-2677.47897837759,n/a,0.294621132689716,2.29855048963931,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
