Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,15609.7920143588,15457.7622884883,-7707.83636812475,0.266481302612586,1.44052534161482,1.3397517334695,0.203481624758221,0.203481624758221,0.296518375241779,0.296518375241779,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,15617.915549476,15473.1214497515,-7716.52002325737,n/a,0.529360831190084,1.39195505346746,0.203481624758221,0.203481624758221,0.296518375241779,0.296518375241779,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,15618.9149492593,15423.4796455526,-7684.66651013083,0.225270199089559,1.15221810795315,1.37907943867322,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.03,0.09,0.14,0.03,0.21,0.04,0.07,0.16,0.07,0.08,0.03,0.06
GTR+G,26,15620.3434710498,15432.141456054,-7690.00265860009,n/a,0.536631777082188,1.41450727913664,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.03,0.09,0.14,0.03,0.21,0.04,0.07,0.16,0.07,0.08,0.02,0.06
TN93+G+I,24,15624.0052484437,15450.2709803241,-7701.07732244512,0.253188058311774,1.35763587023327,1.37016700851587,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.04,0.05,0.14,0.04,0.21,0.07,0.04,0.16,0.07,0.08,0.04,0.05
TN93+G,23,15630.5769183326,15464.0771081513,-7708.98504496358,n/a,0.538076960453734,1.42152172422149,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.04,0.05,0.13,0.04,0.21,0.07,0.04,0.17,0.07,0.08,0.04,0.05
HKY+G+I,23,15650.8009653977,15484.3011552164,-7719.09706849615,0.26319110940368,1.43157072049668,1.34199960852029,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.04,0.06,0.19,0.04,0.15,0.07,0.04,0.12,0.07,0.12,0.04,0.06
HKY+G,22,15658.1881118827,15498.9231491555,-7727.41252931267,n/a,0.534695233134032,1.39470579468621,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.04,0.05,0.19,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.05
T92+I,20,15674.2653785726,15529.4712788481,-7744.69493780566,0.356503746415686,n/a,1.18360512535301,0.203481624758221,0.203481624758221,0.296518375241779,0.296518375241779,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93+I,23,15694.9164002476,15528.4165900662,-7741.15478592106,0.351674304793036,n/a,1.18645341054565,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.05,0.06,0.14,0.05,0.18,0.07,0.05,0.14,0.07,0.09,0.05,0.06
GTR+I,26,15700.9028397627,15512.7008247669,-7730.28234295653,0.348927250668745,n/a,1.19697380368305,0.204448742746615,0.202514506769826,0.263346228239845,0.329690522243714,0.03,0.08,0.14,0.03,0.19,0.06,0.06,0.14,0.08,0.09,0.03,0.06
