Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9788.3616627288,9621.9949018438,-4786.91845158023,0.409921429092139,0.910377247531723,2.43185413532044,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.12,0.03,0.3,0.04,0.03,0.22,0.04,0.08,0.03,0.04
TN93+G,23,9793.70668987194,9634.26580160473,-4794.06023097614,n/a,0.263190834660508,2.66601062650534,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.12,0.03,0.31,0.04,0.03,0.23,0.04,0.08,0.03,0.04
T92+G+I,21,9797.8085891718,9652.22103549976,-4805.04971227475,0.421198648249911,0.982527092946485,2.21316053401968,0.203805774278215,0.203805774278215,0.296194225721785,0.296194225721785,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.14,0.04,0.14,0.03,0.04
T92+G,20,9803.47148530422,9664.81139319124,-4812.3504261653,n/a,0.264797840523265,2.41113918273656,0.203805774278215,0.203805774278215,0.296194225721785,0.296194225721785,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,9810.8620915534,9651.4212032862,-4802.63793181687,0.418249430285277,0.958172418181776,2.22631817283902,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.21,0.03,0.2,0.05,0.03,0.15,0.05,0.14,0.03,0.04
GTR+G+I,27,9812.87678436625,9625.73558685925,-4785.76821492594,0.417076427116091,0.971369124171316,2.40527636616283,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.12,0.02,0.3,0.05,0.02,0.22,0.05,0.08,0.03,0.05
HKY+G,22,9816.00638896323,9663.49190317007,-4809.67934634613,n/a,0.264073930986916,2.42156169492628,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.22,0.03,0.21,0.04,0.03,0.15,0.04,0.14,0.03,0.04
GTR+G,26,9819.10590329793,9638.88898758355,-4793.35204021611,n/a,0.265944466934083,2.64372765921925,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.02,0.03,0.12,0.02,0.31,0.04,0.02,0.23,0.05,0.08,0.03,0.04
TN93+I,23,9860.15459213006,9700.71370386285,-4827.2841821052,0.505435273611328,n/a,1.7269329330849,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.04,0.05,0.14,0.04,0.24,0.05,0.04,0.17,0.05,0.09,0.04,0.05
T92+I,20,9862.37581147948,9723.71571936651,-4841.80258925293,0.508156499575301,n/a,1.69815446558464,0.203805774278215,0.203805774278215,0.296194225721785,0.296194225721785,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
K2+G+I,20,9876.3570235842,9737.69693147122,-4848.79319530529,0.433991375394681,1.23083170141567,1.92809700818301,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,9877.42029358002,9724.90580778687,-4840.38629865452,0.508044897828551,n/a,1.69826052874121,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.04,0.05,0.19,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+I,26,9877.93254886456,9697.71563315018,-4822.76536299943,0.506257398939025,n/a,1.7385588376017,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.04,0.14,0.03,0.24,0.06,0.03,0.17,0.06,0.09,0.04,0.06
K2+G,19,9885.92410845125,9754.19200712632,-4858.04600356316,n/a,0.292028759246979,2.04924753911324,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,9924.52760422678,9792.79550290185,-4877.34775145092,0.507731696371718,n/a,1.59856419159841,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10104.0553078287,9972.32320650372,-4967.11160325186,0.458790889594872,2.07270611892959,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10121.1283223972,9996.3247408804,-4980.11737636047,n/a,0.338019965777312,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10129.8458292157,10005.0422476989,-4984.47612976973,0.505734554510975,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,10593.8592075071,10441.344721714,-5198.60575561807,n/a,n/a,1.3525565319114,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.04,0.06,0.13,0.04,0.21,0.06,0.04,0.16,0.06,0.08,0.04,0.06
GTR,25,10606.4571595872,10433.16505615,-5191.49693418507,n/a,n/a,1.35782767747934,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.03,0.05,0.13,0.03,0.22,0.07,0.04,0.16,0.08,0.09,0.05,0.07
T92,19,10606.6662456459,10474.934144321,-5218.4170721605,n/a,n/a,1.34016437257849,0.203805774278215,0.203805774278215,0.296194225721785,0.296194225721785,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY,21,10621.2734090662,10475.6858553942,-5216.78212222197,n/a,n/a,1.34110933171168,0.197112860892388,0.210498687664042,0.288713910761155,0.303674540682415,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.11,0.04,0.06
K2,18,10635.991503649,10511.1879221322,-5237.54896698637,n/a,n/a,1.32088030050021,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,10815.1971626742,10697.3226297768,-5331.62106232331,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
