Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,5720.83833752065,5585.56458475196,-2771.68310817675,0.534224989321593,2.95589019465079,2.04241924245474,0.224679487179487,0.224679487179487,0.275320512820513,0.275320512820513,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
TN93+G+I,24,5723.77996989182,5569.2124758834,-2760.47734427897,0.517911736323749,2.22037689151284,2.22553817724683,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.03,0.04,0.12,0.04,0.28,0.04,0.04,0.2,0.04,0.1,0.03,0.04
T92+I,20,5724.27369763381,5595.43292605648,-2777.62631492779,0.553605018149845,n/a,1.81063533529564,0.224679487179487,0.224679487179487,0.275320512820513,0.275320512820513,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,5730.65092595748,5582.51381141457,-2768.13834900625,0.549419009104516,n/a,1.84233307919419,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.03,0.04,0.13,0.05,0.24,0.05,0.05,0.17,0.05,0.12,0.03,0.04
K2+G+I,20,5732.14183219802,5603.30106062068,-2781.56038220989,0.536661694943555,3.47118757362409,1.9613491744195,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,5733.10839316067,5610.7014689001,-2786.26918938567,0.553537417323253,n/a,1.7842200499983,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G+I,27,5739.85718052819,5566.0037605237,-2755.83936951379,0.52202386977114,2.53480273197407,2.13665215362034,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.01,0.05,0.12,0.02,0.27,0.03,0.05,0.2,0.07,0.11,0.02,0.06
TN93+G,23,5739.93354664901,5591.7964321061,-2772.77965935202,n/a,0.241009730397944,3.00587317629105,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.02,0.03,0.09,0.03,0.35,0.03,0.03,0.25,0.03,0.08,0.02,0.03
HKY+G+I,23,5740.43880373346,5592.30168919056,-2773.03228789425,0.535701539682601,2.95709709595496,2.18897789059996,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.03,0.04,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.18,0.03,0.04
HKY+I,22,5743.77358938925,5602.06772211256,-2778.9252074166,0.554164351911146,n/a,1.91971502228131,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.03,0.04,0.19,0.05,0.17,0.05,0.05,0.12,0.05,0.17,0.03,0.04
GTR+I,26,5744.53318593752,5577.10753863819,-2762.40289891291,0.549527826648251,n/a,1.84682659095417,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.02,0.05,0.13,0.03,0.24,0.03,0.05,0.17,0.07,0.12,0.02,0.07
T92+G,20,5746.62145630574,5617.78068472841,-2788.80019426375,n/a,0.260748029009782,2.2938202927994,0.224679487179487,0.224679487179487,0.275320512820513,0.275320512820513,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+G,26,5759.00453816633,5591.578890867,-2769.63857502731,n/a,0.249500985429683,2.78571954932982,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.01,0.04,0.09,0.01,0.34,0.02,0.04,0.25,0.06,0.08,0.01,0.05
K2+G,19,5760.19111140022,5637.78418713965,-2799.81054850545,n/a,0.26955458913175,2.15485534899204,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,5766.76952604345,5625.06365876676,-2790.4231757437,n/a,0.255297030877563,2.49093128138824,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.03,0.04,0.21,0.04,0.18,0.04,0.04,0.13,0.04,0.19,0.03,0.04
JC+I,18,5865.63699174291,5749.66478036705,-2856.75901537125,0.551084183196762,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5870.8505514596,5748.44362719904,-2855.14026853514,0.541381949629089,7.1053501408866,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,5905.07352623222,5789.10131485635,-2876.4772826159,n/a,0.299476061788907,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,6195.23151989427,6053.52565261757,-3004.6541726691,n/a,n/a,1.40253606605106,0.261965811965812,0.187393162393162,0.257905982905983,0.292735042735043,0.04,0.05,0.11,0.05,0.23,0.06,0.05,0.17,0.06,0.09,0.04,0.05
