Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8913.00957708397,8768.47352157173,-4363.17284268957,0.484110771050271,3.55996567734693,1.7779270140451,0.226689655172414,0.226689655172414,0.273310344827586,0.273310344827586,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+I,20,8915.2994164883,8777.64048017567,-4368.76214076566,0.510263843070406,n/a,1.66677728957228,0.226689655172414,0.226689655172414,0.273310344827586,0.273310344827586,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,8927.36443267785,8762.20036069488,-4357.01713536474,0.471363250885021,2.92548214366725,1.82251273381237,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.05,0.13,0.04,0.22,0.05,0.04,0.19,0.05,0.11,0.04,0.05
TN93+I,23,8932.69110939859,8774.40248581998,-4364.12485209903,0.506227922938678,n/a,1.67154078755548,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.05,0.14,0.04,0.21,0.05,0.04,0.17,0.05,0.11,0.04,0.05
GTR+G+I,27,8936.98460000425,8751.19752810035,-4348.49408390617,0.466305478713429,2.84183990739906,1.84733003223961,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.02,0.04,0.13,0.03,0.23,0.04,0.04,0.19,0.08,0.11,0.03,0.07
T92+G,20,8937.99200670806,8800.33307039544,-4380.10843587555,n/a,0.348952159180345,1.89576030473973,0.226689655172414,0.226689655172414,0.273310344827586,0.273310344827586,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,8938.19922356134,8800.54028724872,-4380.21204430218,0.482803269304189,3.89454136764237,1.69574308842345,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,8939.11304885899,8808.33178821556,-4385.11333532493,0.508292301622835,n/a,1.60786025315988,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G+I,23,8939.89743502204,8781.60881144344,-4367.72801491076,0.484210463522498,3.54390467197184,1.80545403120496,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.05
HKY+I,22,8942.3107940796,8790.89817606832,-4373.37907281346,0.510355848123811,n/a,1.68935053540458,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.05,0.18,0.04,0.16,0.05,0.04,0.13,0.05,0.15,0.04,0.05
GTR+I,26,8942.44204594441,8763.52874956721,-4355.66718525017,0.504750061161764,n/a,1.70770806942798,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.03,0.04,0.14,0.03,0.21,0.05,0.04,0.17,0.08,0.12,0.03,0.07
TN93+G,23,8947.63935527127,8789.35073169267,-4371.59897503537,n/a,0.348464633896778,2.00935257877162,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.04,0.12,0.04,0.25,0.05,0.04,0.21,0.05,0.1,0.04,0.04
GTR+G,26,8954.98319586728,8776.06989949008,-4361.9377602116,n/a,0.359740256113239,1.98994848773871,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.02,0.04,0.12,0.02,0.25,0.03,0.04,0.21,0.08,0.1,0.02,0.07
K2+G,19,8963.22963377373,8832.4483731303,-4397.1716277823,n/a,0.363658566857626,1.79649865936972,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,8964.96582861057,8813.5532105993,-4384.70659007895,n/a,0.348224980210574,1.92606459124155,0.238758620689655,0.214620689655172,0.25751724137931,0.289103448275862,0.04,0.04,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.16,0.04,0.04
JC+I,18,9129.8128362494,9005.90980751388,-4484.90760739406,0.5047356267745,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
