Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,16236.859435302,16057.2574441835,-8004.58314670246,0.398604220013714,1.21541968985512,2.4255050408166,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.04,0.1,0.04,0.32,0.04,0.04,0.21,0.04,0.09,0.03,0.04
TN93+G,23,16253.5217348062,16081.3996595018,-8017.65790357743,n/a,0.326376167618626,2.54615981955622,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.02,0.04,0.1,0.03,0.33,0.04,0.03,0.22,0.04,0.09,0.02,0.04
GTR+G+I,27,16257.1028149667,16055.0629064911,-8000.47401516623,0.397964418412599,1.22413461139013,2.40699152287126,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.02,0.03,0.1,0.03,0.32,0.04,0.03,0.21,0.05,0.09,0.02,0.05
GTR+G,26,16273.099519945,16078.5386121714,-8013.21597477827,n/a,0.329561045299336,2.50901989518611,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.02,0.03,0.1,0.03,0.33,0.04,0.03,0.22,0.05,0.09,0.02,0.05
T92+G+I,21,16303.8236487789,16146.6623197284,-8052.29607480951,0.364313528270385,0.979924386396462,2.08978668971143,0.220204700530705,0.220204700530705,0.279795299469295,0.279795299469295,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
T92+G,20,16306.3517878026,16156.6712890529,-8058.30375144419,n/a,0.339985586678424,2.12320059372051,0.220204700530705,0.220204700530705,0.279795299469295,0.279795299469295,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,16320.9541308698,16148.8320555654,-8051.37410160923,0.486026078886778,n/a,1.54705101162512,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.04,0.05,0.11,0.05,0.24,0.05,0.05,0.16,0.05,0.1,0.04,0.05
GTR+I,26,16326.3515433459,16131.7906355723,-8039.84198647872,0.485182747752207,n/a,1.90579982063425,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.04,0.11,0.04,0.28,0.05,0.04,0.18,0.06,0.1,0.03,0.06
HKY+G+I,23,16338.0170033288,16165.8949280243,-8059.9055378387,0.368482960018346,1.00142794462788,2.1397492776554,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.13,0.04,0.17,0.03,0.04
HKY+G,22,16340.4403644765,16175.7985098846,-8065.86082553544,n/a,0.338422444049094,2.1833668862658,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.13,0.04,0.18,0.03,0.04
K2+G+I,20,16359.0158189806,16209.3353202308,-8084.63576703317,0.362732738307514,1.01899231914668,1.99412123084277,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,16359.5813013183,16217.3819375594,-8089.66211532488,n/a,0.35023123717072,2.02283914954804,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,16388.8282008376,16239.1477020878,-8099.54195796168,0.490771829188845,n/a,1.7616151451305,0.220204700530705,0.220204700530705,0.279795299469295,0.279795299469295,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+I,22,16419.990391805,16255.3485372131,-8105.63583919968,0.490824618142484,n/a,1.7793214243299,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.05,0.18,0.05,0.18,0.05,0.05,0.12,0.05,0.16,0.03,0.05
K2+I,19,16440.9026713508,16298.7033075919,-8130.32280034113,0.489898148623969,n/a,1.71761034284108,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,16800.3178122983,16658.1184485395,-8310.03037081491,0.393644820291491,1.52905803548382,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,16804.2666835049,16669.5487593575,-8316.74841354104,n/a,0.394393224994288,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16853.2095728242,16718.4916486769,-8341.21985820071,0.486107717359438,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,17274.932790499,17110.2909359071,-8533.10703854669,n/a,n/a,1.47425655543522,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.04,0.06,0.11,0.05,0.23,0.06,0.05,0.15,0.06,0.1,0.04,0.06
GTR,25,17286.6686902182,17099.5870882535,-8524.7441670377,n/a,n/a,1.47600617298058,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.03,0.05,0.12,0.04,0.23,0.05,0.05,0.16,0.07,0.11,0.03,0.07
T92,19,17329.8111556178,17187.6117918589,-8574.77704247463,n/a,n/a,1.45520695248242,0.220204700530705,0.220204700530705,0.279795299469295,0.279795299469295,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
K2,18,17354.8908636637,17220.1729395164,-8592.06050362045,n/a,n/a,1.45009986312215,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,17366.1306681103,17208.9693390597,-8583.44958447519,n/a,n/a,1.4544096695002,0.255572403335861,0.18483699772555,0.279378316906748,0.280212282031842,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.11,0.06,0.15,0.04,0.06
JC,17,17717.6105055113,17590.3743255268,-8778.16393166712,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
