Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,6985.99365064016,6856.40877936424,-3409.14842502822,n/a,0.250657882384885,2.67241626494155,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,6986.53874430239,6850.13952588205,-3405.00789815976,0.503140947743425,1.18400197439758,2.68435983938899,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,6986.5802314752,6843.36725866242,-3400.61556804659,0.501459989267066,1.13784645151159,2.73815565727811,0.230543318649046,0.230543318649046,0.269456681350954,0.269456681350954,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+G,20,6987.37346954086,6850.97425112052,-3405.425260779,n/a,0.249630968828843,2.71616218489073,0.230543318649046,0.230543318649046,0.269456681350954,0.269456681350954,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G,23,6993.6318188431,6836.79311654963,-3395.3152143314,n/a,0.250776877600856,2.97573449271936,0.240234948604993,0.220851688693098,0.250807635829662,0.288105726872247,0.03,0.03,0.12,0.03,0.29,0.04,0.03,0.25,0.04,0.1,0.03,0.03
TN93+G+I,24,6994.35129838223,6830.70062152496,-3391.26188040139,0.42491315179653,0.731402212510538,2.92628125876313,0.240234948604993,0.220851688693098,0.250807635829662,0.288105726872247,0.03,0.03,0.12,0.03,0.28,0.04,0.03,0.25,0.04,0.1,0.03,0.03
K2+I,19,7002.24102351586,6872.65615223994,-3417.27211146607,0.593733391636083,n/a,2.34058218473149,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,7002.76037045265,6866.36115203231,-3413.11871123489,0.593982518409752,n/a,2.3629877968866,0.230543318649046,0.230543318649046,0.269456681350954,0.269456681350954,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G+I,23,7012.31800873102,6855.47930643754,-3404.65830927536,0.498635087663708,1.09138483797594,2.81794731220939,0.240234948604993,0.220851688693098,0.250807635829662,0.288105726872247,0.03,0.03,0.21,0.03,0.19,0.04,0.03,0.16,0.04,0.18,0.03,0.03
HKY+G,22,7013.10903479862,6863.08290060741,-3409.46689600873,n/a,0.247615305923453,2.78663398208548,0.240234948604993,0.220851688693098,0.250807635829662,0.288105726872247,0.03,0.03,0.21,0.03,0.18,0.04,0.03,0.16,0.04,0.18,0.03,0.03
