Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9220.43472887285,9055.03845053622,-4503.43697715296,0.393758772944343,1.22965049711504,1.99784479811738,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.04,0.1,0.03,0.3,0.05,0.03,0.21,0.05,0.07,0.03,0.04
TN93+G,23,9228.98215611399,9070.47106294349,-4512.15987357701,n/a,0.329457614958674,2.22123292812483,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.04,0.09,0.03,0.32,0.05,0.03,0.22,0.05,0.06,0.03,0.04
GTR+G+I,27,9237.62577840096,9051.57725753428,-4498.68495350658,0.39842584906097,1.32141594577882,1.94965234605987,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.04,0.1,0.03,0.3,0.03,0.03,0.21,0.07,0.07,0.02,0.06
T92+G+I,21,9238.92719381773,9094.18812610181,-4526.03075803583,0.421204963230456,1.50025688553658,1.74811321421926,0.202595628415301,0.202595628415301,0.297404371584699,0.297404371584699,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G,26,9246.99302045857,9067.82802804672,-4507.81775733887,n/a,0.340089049701549,2.12724212913145,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.02,0.04,0.1,0.03,0.32,0.03,0.03,0.22,0.07,0.06,0.02,0.06
T92+G,20,9248.65780147867,9110.80557359768,-4535.34524466978,n/a,0.340381744433356,1.84332122877294,0.202595628415301,0.202595628415301,0.297404371584699,0.297404371584699,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
TN93+I,23,9255.11631143769,9096.60521826718,-4525.22695123886,0.482158899841101,n/a,1.55274565095336,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.04,0.05,0.12,0.04,0.25,0.06,0.04,0.17,0.06,0.08,0.04,0.05
T92+I,20,9267.0198103758,9129.16758249481,-4544.52624911834,0.491269166741964,n/a,1.52840609559231,0.202595628415301,0.202595628415301,0.297404371584699,0.297404371584699,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,9269.39721225626,9090.2322198444,-4519.01985323771,0.482184551191667,n/a,1.57414463814607,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.05,0.12,0.03,0.26,0.04,0.04,0.18,0.08,0.08,0.03,0.07
HKY+G+I,23,9274.25126844842,9115.74017527792,-4534.79442974422,0.424564408355802,1.56322856816694,1.78260745450418,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.05,0.21,0.04,0.18,0.06,0.04,0.12,0.06,0.14,0.03,0.05
HKY+G,22,9284.64139702312,9133.0160408018,-4544.43867683505,n/a,0.342186697322328,1.88419762939212,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+I,22,9301.12189922797,9149.49654300665,-4552.67892793748,0.491256489518963,n/a,1.55335323607893,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
K2+G+I,20,9318.59316677513,9180.74093889414,-4570.31292731801,0.427347860493174,1.85768243971724,1.56102372979697,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,9329.60054698619,9198.63571004308,-4580.26580022702,n/a,0.374775916894336,1.61885816724322,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,9338.31480237276,9207.34996542964,-4584.6229279203,0.48921683598238,n/a,1.42755577803174,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,9485.09636372702,9354.13152678391,-4658.01370859743,0.43979819465968,2.63158235691833,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9495.71176069214,9371.63486556341,-4667.77058988347,0.486821811615399,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9499.63762946717,9375.56073433844,-4669.73352427099,n/a,0.410340639418257,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,9775.69930655271,9624.07395033139,-4789.96763159985,n/a,n/a,1.26500441997172,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.04,0.06,0.11,0.05,0.23,0.07,0.05,0.16,0.07,0.07,0.04,0.06
GTR,25,9776.05142260776,9603.77051111499,-4776.79614121694,n/a,n/a,1.27054288058514,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.03,0.05,0.11,0.03,0.24,0.05,0.04,0.16,0.1,0.07,0.03,0.08
T92,19,9816.86642634747,9685.90158940436,-4823.89873990766,n/a,n/a,1.24917316303248,0.202595628415301,0.202595628415301,0.297404371584699,0.297404371584699,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.11,0.06,0.11,0.04,0.06
K2,18,9851.05493038366,9726.97803525493,-4845.44217472923,n/a,n/a,1.23507596173917,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY,21,9851.16217599177,9706.42310827585,-4832.14824912285,n/a,n/a,1.2458167412487,0.214344262295082,0.190846994535519,0.277459016393443,0.317349726775956,0.04,0.06,0.18,0.05,0.16,0.07,0.05,0.11,0.07,0.12,0.04,0.06
JC,17,9990.36900114943,9873.18059848526,-4919.5483929156,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
