Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,20598.7543783722,20401.8662691092,-10174.8843608452,n/a,0.556004186562377,1.66821560849778,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.02,0.06,0.14,0.03,0.22,0.03,0.05,0.17,0.07,0.11,0.02,0.07
GTR+G+I,27,20599.9679279487,20395.5109582218,-10170.702949928,0.198630287637913,1.02612437940618,1.66469334773293,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.02,0.06,0.13,0.03,0.22,0.03,0.05,0.17,0.07,0.11,0.02,0.07
TN93+G+I,24,20613.2834030274,20431.5338514458,-10191.7252445836,0.227864229332469,1.13750318958188,1.68091342827439,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.04,0.05,0.13,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
T92+G,20,20615.0391062426,20463.5700154104,-10211.7558390129,n/a,0.540758617364219,1.65272255639444,0.222052704576976,0.222052704576976,0.277947295423024,0.277947295423024,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,20616.3340409627,20442.1541864823,-10198.0387492567,n/a,0.536118824295084,1.69920203579269,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
T92+G+I,21,20617.6490373222,20458.6094132746,-10208.2726188473,0.186851571921667,0.943951318624251,1.63409839075987,0.222052704576976,0.222052704576976,0.277947295423024,0.277947295423024,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,20633.3034100506,20466.6935314341,-10211.3116195061,n/a,0.539257305344932,1.66047938321495,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.13,0.05,0.15,0.04,0.05
HKY+G+I,23,20635.4306586427,20461.2508041622,-10207.5870580967,0.19176943850214,0.960524669181807,1.6405110243704,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.15,0.04,0.05
K2+G,19,20689.8968362184,20545.9985571903,-10253.9728897063,n/a,0.565358182914498,1.5835869544433,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,20692.8537039957,20541.3846131635,-10250.6631378895,0.18434911877498,0.984958684912963,1.56654459634812,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,20738.1324104509,20563.9525559704,-10258.9379340008,0.355136071079189,n/a,1.24387431590735,0.232871012482663,0.21123439667129,0.276699029126214,0.279195561719834,0.05,0.06,0.13,0.05,0.18,0.06,0.05,0.14,0.06,0.11,0.05,0.06
