Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3467.47848425172,3351.26088473244,-1656.5176827223,n/a,0.20535447413648,3.34324052768202,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
K2+G+I,20,3470.34476855164,3348.02239669018,-1653.88653227207,0.456851146879507,0.566194751357118,3.54951487340072,0.25,0.25,0.25,0.25,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.2,0.03,0.2,0.03,0.03
TN93+G,23,3472.73254107992,3332.10306721106,-1642.88754073565,n/a,0.198454090844607,4.23599401107557,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.02,0.08,0.02,0.32,0.03,0.02,0.35,0.03,0.07,0.02,0.02
T92+G,20,3475.12557930964,3352.80320744819,-1656.27693765107,n/a,0.204940585608393,3.35460820672117,0.249115044247788,0.249115044247788,0.250884955752212,0.250884955752212,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G+I,21,3477.9881799781,3349.56223756359,-1653.64394538512,0.456455209121251,0.563465743144032,3.5620155581558,0.249115044247788,0.249115044247788,0.250884955752212,0.250884955752212,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.19,0.03,0.19,0.03,0.03
TN93+G+I,24,3478.30515120889,3331.57571858415,-1641.60955319995,0.317500844149152,0.368399446037517,4.0725701016996,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.02,0.08,0.03,0.32,0.03,0.03,0.34,0.03,0.08,0.02,0.02
GTR+G+I,27,3480.52718482592,3315.50511671801,-1630.5276922079,0.252778744247725,0.333984403391435,4.00055364539606,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.01,0.01,0.08,0.02,0.32,0,0.01,0.34,0.08,0.08,0,0.06
GTR+G,26,3482.88926857861,3323.96353775781,-1635.77302668444,n/a,0.228077735163587,2.80206894557209,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.02,0.1,0.03,0.27,0,0.03,0.29,0.08,0.09,0,0.06
K2+I,19,3489.41633963107,3373.19874011179,-1667.48661041198,0.628639167577499,n/a,2.72103799496555,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+I,20,3497.12191580764,3374.79954394618,-1667.27510590007,0.628726128442444,n/a,2.7249728410004,0.249115044247788,0.249115044247788,0.250884955752212,0.250884955752212,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+G,22,3500.89719054577,3366.3688804381,-1661.03415806877,n/a,0.198688938065769,3.7557950049924,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.02,0.23,0.03,0.16,0.03,0.03,0.18,0.03,0.22,0.02,0.02
HKY+G+I,23,3502.81247075881,3362.18299688995,-1657.9275055751,0.447240434221491,0.504837817104266,4.03288259992851,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.02,0.23,0.03,0.17,0.03,0.03,0.18,0.03,0.22,0.02,0.02
TN93+I,23,3512.97242504086,3372.342951172,-1663.00748271612,0.616797610948164,n/a,2.66066118094852,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.03,0.03,0.14,0.04,0.23,0.04,0.04,0.24,0.04,0.13,0.03,0.03
GTR+I,26,3515.61271538791,3356.68698456711,-1652.13475008909,0.613222007936487,n/a,2.75005630689598,0.274926253687316,0.22330383480826,0.208849557522124,0.292920353982301,0.02,0.01,0.14,0.03,0.23,0.03,0.01,0.24,0.08,0.13,0.03,0.06
