Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12413.088549454,12233.8546637059,-6092.88105341101,0.519078848730635,1.01380281651486,3.00607399239211,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.03,0.1,0.03,0.32,0.03,0.03,0.25,0.03,0.09,0.03,0.03
TN93+G,23,12420.6662628134,12248.896901057,-6101.40587764556,n/a,0.217959542719087,3.01479800395443,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.03,0.1,0.03,0.32,0.03,0.03,0.25,0.03,0.09,0.03,0.03
GTR+G+I,27,12438.5041468719,12236.8785475763,-6091.38094945548,0.519225521342531,1.00119853760392,3.02088649154738,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.03,0.1,0.04,0.32,0.03,0.03,0.25,0.03,0.09,0.02,0.03
T92+G+I,21,12441.2845998705,12284.4452148809,-6121.18698128375,0.58314534834589,1.85147075358652,2.66998544449401,0.22752117013087,0.22752117013087,0.27247882986913,0.27247882986913,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+I,23,12445.9386623892,12274.1693006328,-6114.04207743345,0.62068150297463,n/a,2.37995731453367,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.04,0.13,0.04,0.26,0.04,0.04,0.21,0.04,0.11,0.03,0.04
GTR+G,26,12446.4956105373,12252.333605948,-6100.11264884302,n/a,0.216600431176275,3.0487040333257,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.03,0.1,0.04,0.32,0.03,0.03,0.25,0.03,0.09,0.02,0.03
T92+G,20,12448.5616820832,12299.1877497257,-6129.56148994496,n/a,0.209039396368315,2.6817571041507,0.22752117013087,0.22752117013087,0.27247882986913,0.27247882986913,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G+I,20,12453.9220124225,12304.5480800649,-6132.24165511459,0.577958550834905,1.80717883677925,2.58059055079469,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+I,20,12458.8016789146,12309.4277465571,-6134.68148836067,0.630363546604962,n/a,2.40546558993595,0.22752117013087,0.22752117013087,0.27247882986913,0.27247882986913,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G,19,12459.1075016978,12317.1993313759,-6139.57036730708,n/a,0.213470430630377,2.59610320139062,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
GTR+I,26,12470.7349566303,12276.572952041,-6112.2323218895,0.621007024024635,n/a,2.35422239819935,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.04,0.04,0.13,0.05,0.26,0.04,0.03,0.21,0.03,0.11,0.03,0.03
HKY+G+I,23,12472.0928053414,12300.323443585,-6127.11914890957,0.587802675758311,1.96059632030632,2.74653210807132,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.18,0.03,0.04
K2+I,19,12472.3670822431,12330.4589119212,-6146.20015757975,0.629042024847165,n/a,2.33579607338731,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G,22,12479.8254661475,12315.5209380011,-6135.72144686744,n/a,0.206389937354801,2.76517361177494,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.18,0.03,0.04
HKY+I,22,12487.9562346295,12323.6517064831,-6139.78683110845,0.631150992986566,n/a,2.47881729643532,0.245419553502694,0.209622786759045,0.266897613548884,0.278060046189376,0.03,0.04,0.2,0.04,0.19,0.04,0.04,0.15,0.04,0.18,0.03,0.04
JC+I,18,12910.0185313173,12775.5764323631,-6369.76184967165,0.623635691605983,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12916.6046543124,12782.1625553582,-6373.05491116921,n/a,0.236076775604534,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,12926.0770102863,12784.1688399645,-6373.05512160135,0.00001,0.236075981267791,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
