Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8617.62167767146,8477.7672654605,-4217.80381241235,0.350089994156988,2.47174895191492,1.36407011435735,0.213511187607573,0.213511187607573,0.286488812392427,0.286488812392427,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+I,20,8629.3317903928,8496.13017617702,-4227.99253669794,0.387795701842057,n/a,1.22809648819578,0.213511187607573,0.213511187607573,0.286488812392427,0.286488812392427,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,8634.64342425648,8501.44181004069,-4230.64835362978,n/a,0.45656645251063,1.49994915391971,0.213511187607573,0.213511187607573,0.286488812392427,0.286488812392427,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+G+I,27,8642.68555052963,8462.92898379445,-4204.3337412919,0.334745598232356,2.10322094016822,1.36426231010781,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.03,0.07,0.15,0.03,0.18,0.03,0.06,0.15,0.09,0.1,0.02,0.08
HKY+G+I,23,8643.91814708679,8490.76022793266,-4222.28471127017,0.349257221018725,2.51116723980578,1.36416198891552,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.04,0.05,0.18,0.04,0.15,0.07,0.04,0.12,0.07,0.12,0.04,0.05
TN93+G+I,24,8645.88737577035,8486.07874839047,-4218.93565768702,0.350813811361825,2.65547669955511,1.36360337957677,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.04,0.05,0.15,0.04,0.18,0.07,0.04,0.15,0.07,0.1,0.04,0.05
HKY+I,22,8655.24459866297,8508.73808468556,-4232.28160498318,0.386910149042153,n/a,1.22626771568881,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.05,0.06,0.18,0.05,0.14,0.07,0.05,0.12,0.07,0.12,0.05,0.06
TN93+I,23,8655.77410431622,8502.61618516209,-4228.21268988488,0.385904523915883,n/a,1.23210001195841,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.05,0.06,0.15,0.05,0.17,0.07,0.05,0.14,0.07,0.1,0.05,0.06
GTR+I,26,8658.72163111253,8485.61367958026,-4216.68544950827,0.383721581994234,n/a,1.23876787312605,0.214457831325301,0.212564543889845,0.257142857142857,0.315834767641997,0.03,0.07,0.15,0.03,0.17,0.04,0.06,0.14,0.09,0.1,0.03,0.08
K2+G+I,20,8660.72668719482,8527.52507297904,-4243.68998509895,0.35367664387253,2.92080733748914,1.28638305915063,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
