Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,4695.8080150966,4570.34128110607,-2265.06401450582,0.434313000775787,1.69791487625086,2.91259663077979,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G+I,21,4697.48085343359,4565.75150491588,-2261.75843402218,0.434171763282687,1.62863006611443,2.99253652644317,0.231186868686869,0.231186868686869,0.268813131313131,0.268813131313131,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.17,0.03,0.17,0.03,0.03
K2+G,19,4697.64625933698,4578.44316595728,-2270.12513627813,n/a,0.350761150673181,3.01326053130604,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,20,4699.36934556399,4573.90261157346,-2266.84467973951,n/a,0.343304721505669,3.10078000272634,0.231186868686869,0.231186868686869,0.268813131313131,0.268813131313131,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+I,19,4701.94980661446,4582.74671323475,-2272.27690991687,0.498124041194275,n/a,2.59787520408402,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+G+I,24,4704.23464500874,4553.7236172341,-2252.70933085339,0.450508126624659,2.2437782183762,3.16722574520709,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.02,0.03,0.12,0.03,0.29,0.03,0.03,0.24,0.03,0.11,0.02,0.03
T92+I,20,4704.5316831511,4579.06494916057,-2269.42584853306,0.498886737903339,n/a,2.64037926842941,0.231186868686869,0.231186868686869,0.268813131313131,0.268813131313131,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+I,23,4707.31507079419,4563.06357460135,-2258.39154339824,0.492888144119889,n/a,2.79980224197146,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.03,0.13,0.03,0.27,0.04,0.03,0.22,0.04,0.12,0.03,0.03
TN93+G,23,4710.84266541341,4566.59116922057,-2260.15534070785,n/a,0.348475039274573,3.2962642933383,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.02,0.03,0.13,0.03,0.29,0.03,0.03,0.24,0.03,0.12,0.02,0.03
HKY+G+I,23,4720.8059872528,4576.55449105996,-2265.13700162754,0.435415004261062,1.63686139053755,3.07196484279744,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.15,0.04,0.19,0.03,0.03
HKY+G,22,4722.63892642554,4584.64799024617,-2270.19547086604,n/a,0.341267926836832,3.20146885051721,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.02,0.03,0.22,0.03,0.19,0.03,0.03,0.15,0.03,0.2,0.02,0.03
GTR+G+I,27,4725.27599331335,4555.99254922987,-2250.80400604932,0.452437707913667,2.3024399454771,3.17987667639975,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.02,0.02,0.12,0.02,0.29,0.04,0.02,0.24,0.04,0.11,0.03,0.03
HKY+I,22,4727.62326699098,4589.63233081161,-2272.68764114875,0.499208297735299,n/a,2.67463969336566,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.03,0.21,0.04,0.18,0.04,0.04,0.15,0.04,0.19,0.03,0.03
GTR+I,26,4727.87740701825,4564.85040451282,-2256.24671255389,0.493155740909467,n/a,2.80751855148466,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.02,0.02,0.13,0.03,0.27,0.05,0.02,0.22,0.04,0.12,0.03,0.04
GTR+G,26,4732.27895425356,4569.25195174813,-2258.44748617155,n/a,0.347046001649692,3.32568420320402,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.01,0.02,0.13,0.02,0.29,0.04,0.02,0.24,0.04,0.12,0.03,0.03
JC+I,18,4894.92296406319,4781.98453659687,-2372.90548829336,0.488137102527645,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,4895.61765690516,4776.41456352545,-2369.11083506222,0.439387379934891,2.7386477770347,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,4898.51883150275,4785.58040403643,-2374.70342201314,n/a,0.422734937415436,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,4941.84110044168,4828.90267297536,-2396.36455648261,n/a,n/a,1.986322868554,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92,19,4949.40052156966,4830.19742818995,-2396.00226739447,n/a,n/a,1.99135629518086,0.231186868686869,0.231186868686869,0.268813131313131,0.268813131313131,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.15,0.04,0.04
TN93,22,4954.68689591566,4816.69595973629,-2386.21945561109,n/a,n/a,2.00356856851516,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.04,0.13,0.04,0.23,0.05,0.04,0.19,0.05,0.12,0.03,0.04
HKY,21,4974.30618476918,4842.57683625147,-2400.17109968998,n/a,n/a,1.98582489260932,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.04,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.17,0.03,0.04
GTR,25,4975.27629336075,4818.50676322022,-2384.08815537727,n/a,n/a,2.00591711585706,0.259090909090909,0.203282828282828,0.251767676767677,0.285858585858586,0.03,0.04,0.13,0.03,0.23,0.05,0.04,0.19,0.06,0.12,0.03,0.05
JC,17,5106.29317982985,4999.62044279917,-2482.73259582881,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
