Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,7046.7261307954,6895.39522702267,-3424.59435874142,n/a,0.445074246778078,2.08256197421096,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.03,0.04,0.09,0.05,0.28,0.04,0.05,0.21,0.04,0.1,0.03,0.04
TN93+G+I,24,7052.4620765841,6894.56058897084,-3423.16804004201,0.281696133954912,1.08332967717276,2.02592574707726,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.03,0.04,0.09,0.05,0.28,0.04,0.05,0.21,0.04,0.1,0.03,0.04
GTR+G,26,7053.41415116124,6882.3737620088,-3415.05549414308,n/a,0.463732817095909,2.07315948454599,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.01,0.04,0.09,0.01,0.28,0.04,0.05,0.22,0.06,0.1,0.03,0.06
GTR+G+I,27,7058.88652950839,6881.27782350571,-3413.49739172291,0.285084764411787,1.17442395933076,2.01260606344023,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.01,0.04,0.09,0.01,0.28,0.05,0.05,0.21,0.06,0.1,0.03,0.06
K2+G,19,7062.14808590704,6937.10706141925,-3449.48250267224,n/a,0.46321935119244,1.80733161854426,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,7062.78703563196,6931.17241058072,-3445.50768594095,n/a,0.452593673441854,1.84638217922438,0.24096834264432,0.24096834264432,0.25903165735568,0.25903165735568,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
K2+G+I,20,7070.01991646637,6938.40529141513,-3449.12412635816,0.236182179179148,0.897661019871383,1.78736043680943,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,7070.95051032163,6932.76303825318,-3445.29513169204,0.216501326598373,0.808976012164654,1.82916543655494,0.24096834264432,0.24096834264432,0.25903165735568,0.25903165735568,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+I,23,7078.07888362057,6926.74797984785,-3440.270735154,0.421394885943337,n/a,1.70691092571006,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.04,0.05,0.1,0.05,0.25,0.05,0.05,0.19,0.05,0.11,0.04,0.05
GTR+I,26,7081.04493829288,6910.00454914043,-3428.8708877089,0.416860088006711,n/a,1.72435879234716,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.01,0.04,0.1,0.02,0.25,0.06,0.05,0.19,0.07,0.11,0.04,0.07
HKY+G,22,7085.90786778967,6941.14830267302,-3448.4795188323,n/a,0.4435982753204,1.94868414799742,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.03,0.04,0.17,0.05,0.17,0.04,0.05,0.13,0.04,0.19,0.03,0.04
HKY+G+I,23,7093.65929518852,6942.32839141579,-3448.06094093797,0.24687601716321,0.888589850825363,1.92105962898653,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.03,0.04,0.17,0.05,0.17,0.04,0.05,0.13,0.04,0.19,0.03,0.04
K2+I,19,7097.16255547641,6972.12153098862,-3466.98973745693,0.429648252676266,n/a,1.59075715263611,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,7100.66214305907,6969.04751800783,-3464.44523965451,0.430799305650886,n/a,1.60793639433501,0.24096834264432,0.24096834264432,0.25903165735568,0.25903165735568,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,7121.7829401851,6977.02337506845,-3466.41705503002,0.432338083038604,n/a,1.66145222755831,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.04,0.05,0.16,0.05,0.16,0.05,0.05,0.12,0.05,0.18,0.04,0.05
JC+G,18,7225.9184585411,7107.45178774052,-3535.66198058302,n/a,0.52136307610786,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7232.28496782157,7107.24394333379,-3534.55094362951,0.292311756836747,1.37255156964723,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7249.44751702705,7130.98084622647,-3547.426509826,0.42533811833779,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,7348.06968179468,7183.59836558016,-3566.67755105355,n/a,n/a,1.42659675063047,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.01,0.05,0.1,0.02,0.22,0.05,0.06,0.17,0.08,0.11,0.04,0.08
TN93,22,7361.87856812173,7217.11900300508,-3586.46486899833,n/a,n/a,1.42148808724218,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.04,0.05,0.1,0.06,0.22,0.05,0.06,0.17,0.05,0.11,0.04,0.05
K2,18,7372.96105489418,7254.4943840936,-3609.18327875956,n/a,n/a,1.39630757080053,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,7381.46339445182,7256.42236996404,-3609.14015694463,n/a,n/a,1.39780567996777,0.24096834264432,0.24096834264432,0.25903165735568,0.25903165735568,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,7410.74648168975,7272.5590096213,-3615.1931173761,n/a,n/a,1.39763394500649,0.287337057728119,0.194599627560521,0.257355679702048,0.260707635009311,0.04,0.05,0.15,0.06,0.15,0.05,0.06,0.11,0.05,0.17,0.04,0.05
JC,17,7509.56834869246,7397.6767842807,-3681.78121725246,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
