Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,7578.98247895172,7439.7565240595,-3698.79602635869,0.366753385931674,1.13818269100696,1.89308816418365,0.22677304964539,0.22677304964539,0.27322695035461,0.27322695035461,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,7579.9371823303,7447.33388823277,-3703.59219772023,n/a,0.35059228709063,1.98895982608021,0.22677304964539,0.22677304964539,0.27322695035461,0.27322695035461,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,7595.27521478489,7462.67192068736,-3711.26121394752,0.374045971007516,1.27548081119573,1.79264910730872,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,7597.37291734055,7471.39300111193,-3716.6288848976,n/a,0.365891461270896,1.88017381415348,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G,23,7599.07522313882,7446.60609941209,-3700.20475910775,n/a,0.349334058069553,2.09998716422184,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.04,0.04,0.13,0.04,0.23,0.05,0.04,0.22,0.05,0.09,0.04,0.04
TN93+G+I,24,7600.30370886467,7441.21407786489,-3696.50018229843,0.326703511186507,0.909789377850626,1.97370875618535,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.04,0.04,0.13,0.04,0.22,0.05,0.04,0.21,0.05,0.1,0.04,0.04
GTR+G,26,7605.32115125944,7432.99266192103,-3690.37126415132,n/a,0.365739479917962,2.00881248549321,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.02,0.07,0.13,0.02,0.23,0.03,0.06,0.22,0.06,0.1,0.02,0.05
GTR+G+I,27,7606.47943192395,7427.53259228838,-3686.63158481133,0.318422484664902,0.92423412743474,1.91670751082666,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.02,0.07,0.14,0.02,0.22,0.03,0.06,0.21,0.07,0.1,0.02,0.05
HKY+G+I,23,7609.40140036027,7456.93227663353,-3705.36784771848,0.366816405146319,1.17243886786326,1.87790723046086,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.04,0.04,0.2,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.04,0.04
HKY+G,22,7610.6013471103,7464.75344888059,-3710.28664076574,n/a,0.35757490107505,1.97048992836758,0.220921985815603,0.232624113475177,0.24468085106383,0.30177304964539,0.04,0.04,0.2,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.04
