Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,6035.80477580038,5907.79927476147,-2934.83883738073,n/a,0.20775909655824,1.8693707083718,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,6043.28034323913,5908.54413207403,-2934.2048552833,0.434804627025401,0.575612493408008,1.92889754626776,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,6044.26475327387,5909.52854210877,-2934.69706030067,n/a,0.207793266160804,1.87019905172581,0.241307814992026,0.241307814992026,0.258692185007974,0.258692185007974,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
T92+G+I,21,6051.77481870251,5910.30854172029,-2934.08032719817,0.4315372223143,0.568305804190065,1.92928962158426,0.241307814992026,0.241307814992026,0.258692185007974,0.258692185007974,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,6055.85720200641,5907.66150382554,-2931.74975303331,n/a,0.208086944329503,1.9172280347024,0.235406698564593,0.247208931419458,0.21993620414673,0.297448165869219,0.04,0.04,0.2,0.04,0.14,0.05,0.04,0.16,0.05,0.15,0.04,0.04
TN93+G,23,6062.84872362326,5907.92424917183,-2930.87374802492,n/a,0.211120971454006,1.88751359793516,0.235406698564593,0.247208931419458,0.21993620414673,0.297448165869219,0.04,0.04,0.17,0.04,0.16,0.05,0.04,0.18,0.05,0.14,0.04,0.04
HKY+G+I,23,6062.86960554708,5907.94513109566,-2930.88418898683,0.428119442551344,0.556665879225435,1.97890122747284,0.235406698564593,0.247208931419458,0.21993620414673,0.297448165869219,0.04,0.04,0.2,0.04,0.15,0.05,0.04,0.16,0.05,0.16,0.04,0.04
K2+I,19,6067.03098552534,5939.02548448643,-2950.45194224321,0.637595316350709,n/a,1.70456857323787,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G+I,24,6069.06688071672,5907.41427523265,-2929.61106075484,0.436413831781695,0.583314610343083,1.94780971702671,0.235406698564593,0.247208931419458,0.21993620414673,0.297448165869219,0.04,0.04,0.17,0.04,0.17,0.05,0.04,0.19,0.05,0.13,0.04,0.04
T92+I,20,6075.90959486553,5941.17338370043,-2950.51948109649,0.637398295898988,n/a,1.70235214862518,0.241307814992026,0.241307814992026,0.258692185007974,0.258692185007974,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
