Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,15938.4996377246,15758.6071740779,-7855.25855889638,0.353550812630626,0.496489198585192,3.90128636489337,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.02,0.02,0.09,0.02,0.35,0.03,0.02,0.29,0.03,0.07,0.02,0.02
GTR+G+I,27,15975.4719814031,15773.1051429517,-7859.49582323984,0.393231662456501,0.651681815494746,3.0079469817822,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.03,0.03,0.11,0.03,0.31,0.03,0.03,0.26,0.04,0.08,0.02,0.04
TN93+G,23,15978.2245224093,15805.8241197063,-7879.87063707064,n/a,0.262780725912548,2.54902953815643,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.03,0.03,0.12,0.03,0.28,0.04,0.03,0.24,0.04,0.09,0.03,0.03
T92+G+I,21,15994.3788849697,15836.9635077604,-7897.44709001467,0.42193334211943,0.693547766734996,3.0016418987054,0.219850187265918,0.219850187265918,0.280149812734082,0.280149812734082,0.03,0.03,0.21,0.03,0.21,0.03,0.03,0.17,0.03,0.17,0.03,0.03
T92+G,20,16016.5721564558,15866.6497436609,-7913.29336158963,n/a,0.230781139517529,3.25968500051609,0.219850187265918,0.219850187265918,0.280149812734082,0.280149812734082,0.03,0.03,0.22,0.03,0.22,0.03,0.03,0.17,0.03,0.17,0.03,0.03
GTR+G,26,16016.917326421,15822.0416448323,-7884.96813158074,n/a,0.27134731563224,2.34449533138764,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.03,0.04,0.12,0.03,0.27,0.03,0.03,0.23,0.05,0.09,0.02,0.04
HKY+G+I,23,16040.9660500973,15868.5656473943,-7911.24140091462,0.418596432006519,0.669876955418751,3.13464653076365,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.03,0.03,0.23,0.03,0.19,0.04,0.03,0.16,0.04,0.17,0.03,0.03
HKY+G,22,16063.1605803961,15898.2525398615,-7927.08830189592,n/a,0.229300493638402,3.38226242772924,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.02,0.03,0.24,0.03,0.2,0.03,0.03,0.16,0.03,0.18,0.02,0.03
K2+G+I,20,16070.4839824822,15920.5615696873,-7940.2492746028,0.424473167934828,0.758362492512254,2.72803887460574,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,16093.23582989,15950.8066825309,-7956.37483413865,n/a,0.249584371311272,2.83399628835559,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+I,23,16095.3420458507,15922.9416431477,-7938.4293987913,0.54003903607153,n/a,2.15144273259703,0.227415730337079,0.212284644194757,0.252434456928839,0.307865168539326,0.03,0.04,0.14,0.04,0.25,0.05,0.04,0.21,0.05,0.1,0.03,0.04
