Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12879.9809298375,12729.9841514677,-6343.94275891061,0.369829202190458,1.87820193435846,1.53030902014131,0.211980830670927,0.211980830670927,0.288019169329073,0.288019169329073,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,12887.8723400968,12716.4628630431,-6334.16736318199,0.358592338867058,1.69973273863636,1.58366137089402,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.18,0.06,0.09,0.04,0.05
T92+G,20,12895.3150003895,12752.4566463262,-6356.18349447272,n/a,0.439772978303208,1.61430778827182,0.211980830670927,0.211980830670927,0.288019169329073,0.288019169329073,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G,23,12900.1155595591,12735.8432195567,-6344.86267319922,n/a,0.432723917334143,1.69147886077013,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.13,0.04,0.23,0.06,0.04,0.18,0.06,0.09,0.04,0.05
HKY+G+I,23,12904.9963849261,12740.7240449236,-6347.3030858827,0.365134646301859,1.78668217181441,1.54066780699749,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G+I,27,12908.4871867827,12715.6688752854,-6330.75368566661,0.351975358305969,1.61549059946078,1.58267250996974,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.14,0.04,0.22,0.04,0.04,0.18,0.07,0.09,0.03,0.06
T92+I,20,12914.1005627915,12771.2422087282,-6365.57627567374,0.434394076283611,n/a,1.38346331596614,0.211980830670927,0.211980830670927,0.288019169329073,0.288019169329073,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G,22,12918.8403399983,12761.7055662697,-6358.79876370493,n/a,0.439179511552159,1.62386822312626,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G,26,12919.0932696708,12733.410806732,-6340.63042739676,n/a,0.436368279814374,1.67684640450969,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.13,0.03,0.23,0.04,0.04,0.18,0.07,0.09,0.03,0.06
TN93+I,23,12927.2679073221,12762.9955673197,-6358.43884708073,0.431216336934503,n/a,1.39422895381769,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.14,0.04,0.2,0.06,0.04,0.16,0.06,0.09,0.04,0.05
HKY+I,22,12941.9874059835,12784.8526322549,-6370.37229669751,0.433802425347218,n/a,1.38288418982979,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.06,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.12,0.04,0.06
GTR+I,26,12948.7005740518,12763.018111113,-6355.43407958727,0.430921878257564,n/a,1.39920494439664,0.208093716719915,0.215867944621938,0.266347177848775,0.309691160809372,0.04,0.05,0.14,0.04,0.2,0.05,0.04,0.16,0.08,0.1,0.04,0.07
K2+G+I,20,12949.8502843122,12806.9919302489,-6383.45113643408,0.372966486226285,2.12553017935395,1.44463157610246,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,12966.3166846479,12830.5971837013,-6396.25803688801,n/a,0.465618909550285,1.51189343878072,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,12977.4606286116,12841.7411276651,-6401.83000886988,0.43311000187621,n/a,1.3341409110629,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,13163.2197402383,13027.5002392918,-6494.70956468324,0.383690463067569,2.89451369456191,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13179.1017408812,13050.5215217244,-6507.22426529076,0.430510899425986,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
