Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,20895.7245893815,20704.6198034633,-10328.2816597924,0.424441537343609,0.664518126550004,2.4241841972063,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.23,0.04,0.09,0.03,0.04
TN93+G,23,20911.5838834585,20728.4396292925,-10341.193833285,n/a,0.246269213141852,2.36161710707717,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.23,0.04,0.09,0.03,0.04
GTR+G+I,27,20913.830336213,20698.84508743,-10322.3869538459,0.441064689638883,0.729617752076651,2.37517471090666,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.03,0.12,0.04,0.28,0.06,0.03,0.22,0.03,0.09,0.04,0.03
GTR+G,26,20931.0222921565,20723.9970089033,-10335.9654582717,n/a,0.247932276005342,2.3306284379818,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.04,0.12,0.04,0.27,0.06,0.03,0.22,0.03,0.09,0.04,0.03
T92+G+I,21,20932.298662105,20765.0760374787,-10361.5162755165,0.505666072460597,0.996110804039665,2.29796977978906,0.222566995768688,0.222566995768688,0.277433004231312,0.277433004231312,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,20947.1755529833,20787.9140260915,-10373.9372474097,0.498372190294653,0.957709298033133,2.25937132123564,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,20947.9291300146,20788.6676031228,-10374.3140359254,n/a,0.23607482977447,2.24199002563812,0.222566995768688,0.222566995768688,0.277433004231312,0.277433004231312,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
K2+G,19,20960.7721348309,20809.4718942811,-10385.7180647876,n/a,0.237368019097386,2.20733894796525,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,20974.6339733663,20791.4897192003,-10372.7188782389,0.50569686646084,0.983964512338079,2.35909298336964,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.04,0.21,0.03,0.18,0.04,0.03,0.15,0.04,0.16,0.03,0.04
HKY+G,22,20990.5014423456,20815.317908619,-10385.6351391827,n/a,0.234591398981899,2.29807522670746,0.231969910672308,0.213164080865068,0.261495063469676,0.293370944992948,0.03,0.04,0.2,0.03,0.18,0.04,0.03,0.15,0.04,0.16,0.03,0.04
