Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,17374.8651825522,17188.1949985974,-8570.06353383024,0.480529442707609,0.941753862833675,2.29097214482706,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.03,0.04,0.11,0.03,0.29,0.04,0.03,0.22,0.04,0.08,0.03,0.04
TN93+G,23,17380.747689606,17201.8528224257,-8577.89516475071,n/a,0.241950402508446,2.30260522497041,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.03,0.04,0.11,0.03,0.29,0.04,0.03,0.22,0.04,0.08,0.03,0.04
GTR+G+I,27,17381.0365137518,17171.0417420176,-8558.47806724932,0.490266053860231,1.01669825132856,2.27443925820881,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.04,0.04,0.11,0.04,0.28,0.06,0.03,0.21,0.02,0.08,0.05,0.02
GTR+G,26,17388.2533268725,17186.0331906021,-8566.97685120323,n/a,0.242428518051054,2.30603793911767,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.04,0.04,0.11,0.04,0.29,0.06,0.03,0.22,0.02,0.08,0.05,0.02
T92+G+I,21,17406.8604509737,17243.5168983833,-8600.73230022176,0.561065824017452,1.92676329083841,2.09893958546412,0.212295081967213,0.212295081967213,0.287704918032787,0.287704918032787,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
T92+G,20,17417.9301047603,17262.362549908,-8611.1575045086,n/a,0.236758761112989,2.11698356384951,0.212295081967213,0.212295081967213,0.287704918032787,0.287704918032787,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.15,0.05,0.15,0.03,0.05
TN93+I,23,17429.5551348013,17250.6602676211,-8602.2988873484,0.606682310956883,n/a,1.88188065579894,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.04,0.05,0.14,0.04,0.24,0.05,0.04,0.18,0.05,0.1,0.04,0.05
T92+I,20,17432.93551377,17277.3679589178,-8618.66020901348,0.613924149414431,n/a,1.92638319231457,0.212295081967213,0.212295081967213,0.287704918032787,0.287704918032787,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,17434.1944529057,17231.9743166354,-8589.94741421985,0.605028158933188,n/a,1.87873204027082,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.04,0.04,0.14,0.05,0.24,0.07,0.03,0.18,0.03,0.1,0.05,0.03
HKY+G+I,23,17435.0830187954,17256.1881516151,-8605.06282934541,0.561579282510768,1.92755649416494,2.12093060254427,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.14,0.05,0.15,0.03,0.04
K2+G+I,20,17443.3126028098,17287.7450479576,-8623.84875353338,0.552218847307743,1.71255556440298,2.06586613918546,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,17446.4972841231,17275.3779607438,-8615.66033940287,n/a,0.236202367895464,2.13827933187821,0.215149802148106,0.20944036178632,0.278575466365178,0.296834369700396,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.14,0.05,0.15,0.03,0.04
