Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,9011.68728492362,8853.430619108,-4403.63881287994,n/a,0.453886619893257,2.18355946162559,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.03,0.04,0.1,0.04,0.26,0.04,0.04,0.23,0.04,0.11,0.03,0.04
TN93+G+I,24,9018.44042316693,8853.30970768414,-4402.57169375891,0.174433887806546,0.732240212320682,2.2118129353455,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.03,0.04,0.1,0.04,0.26,0.04,0.04,0.23,0.04,0.11,0.03,0.04
K2+G,19,9019.42966419766,8888.67477413334,-4425.28475548772,n/a,0.431498467068748,2.05641362300152,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,9024.54060586288,8845.66346579423,-4396.7344086215,n/a,0.460165470474567,2.21898115183386,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.02,0.05,0.1,0.02,0.26,0.03,0.06,0.23,0.05,0.11,0.02,0.05
T92+G,20,9027.74350438525,8890.11233428425,-4424.99798733883,n/a,0.430542083920815,2.05919261119546,0.24896408839779,0.24896408839779,0.25103591160221,0.25103591160221,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,9028.31734347013,8890.68617336913,-4425.28490688127,0.00001,0.431324594172415,2.05672999945787,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G+I,27,9032.11292772979,8846.3634132069,-4396.07688131227,0.137247032793267,0.654475135485593,2.24313342298094,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.02,0.05,0.1,0.02,0.27,0.03,0.06,0.23,0.05,0.11,0.02,0.05
T92+G+I,21,9036.63124799173,8892.12435509883,-4424.99817089937,0.00001,0.430339606790059,2.05955957000595,0.24896408839779,0.24896408839779,0.25103591160221,0.25103591160221,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,9050.28040968734,8898.89835147899,-4427.37906350449,n/a,0.427726188584106,2.11305540810097,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.15,0.04,0.19,0.04,0.04
HKY+G+I,23,9059.16796231556,8900.91129649994,-4427.37915157591,0.00001,0.427640066191864,2.11325729258897,0.27817679558011,0.21975138121547,0.251657458563536,0.250414364640884,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.15,0.04,0.19,0.04,0.04
