Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2004.88465144248,1886.27227905601,-924.036663088214,n/a,0.0541264218786147,2.37698162602437,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G+I,20,2011.96459619216,1887.11999614776,-923.450021640261,0.613927606090812,0.549381726834091,2.44660261203714,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,2013.7787658517,1888.93416580731,-924.357106470034,n/a,0.0532969846197646,2.39909350912809,0.229166666666667,0.229166666666667,0.270833333333333,0.270833333333333,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G+I,21,2020.81434743607,1889.73857840321,-923.748283439424,0.614462091532858,0.551782265851044,2.46336928777335,0.229166666666667,0.229166666666667,0.270833333333333,0.270833333333333,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G,23,2024.37338261483,1880.83845494255,-917.274573383223,n/a,0.113215237854278,2.47593821543012,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.03,0.04,0.07,0.03,0.31,0.04,0.03,0.27,0.04,0.06,0.03,0.04
K2+I,19,2028.56294137821,1909.95056899174,-935.875808056078,0.4375,n/a,2.18970207617413,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,2031.13835539836,1893.83247687856,-924.78367359778,n/a,0.0618861235408242,2.41544753145673,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,2031.93608935588,1882.17317369941,-916.929312930961,0.548965070573401,0.503884336604984,2.56216357366516,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.03,0.04,0.07,0.03,0.32,0.04,0.03,0.27,0.04,0.06,0.03,0.04
JC+G,18,2033.36471155406,1920.98562466376,-942.403306966793,n/a,0.0794052657839333,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G,26,2036.16043625265,1873.94473147224,-910.78825873376,n/a,0.0989685308429782,1.88558759921837,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.11,0.01,0.07,0.11,0.27,0.03,0.01,0.24,0.03,0.06,0.02,0.03
T92+I,20,2037.36695586635,1912.52235582195,-936.151201477355,0.4375,n/a,2.19591695031556,0.229166666666667,0.229166666666667,0.270833333333333,0.270833333333333,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G+I,23,2038.55254661257,1895.01761894029,-924.364155382094,0.615069243796917,0.550050153679515,2.48928465778762,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
JC+G+I,19,2039.50432009415,1920.89194770768,-941.346497414049,0.580672988613953,0.525274609481272,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,2041.69286027767,1929.31377338737,-946.567381328598,n/a,n/a,2.15178137779196,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G+I,27,2042.40877500636,1873.96827075824,-909.785814287828,0.517475842851946,0.434343951850539,2.02057046227964,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.11,0.01,0.07,0.11,0.28,0.03,0.01,0.24,0.03,0.06,0.02,0.02
TN93+I,23,2044.31534691061,1900.78041923833,-927.245555531115,0.4375,n/a,2.27079262590765,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.03,0.04,0.07,0.03,0.3,0.04,0.03,0.26,0.04,0.06,0.03,0.04
T92,19,2050.55383325188,1931.94146086541,-946.871253992913,n/a,n/a,2.15465590039507,0.229166666666667,0.229166666666667,0.270833333333333,0.270833333333333,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,2054.47661962585,1917.17074110605,-936.452805711526,0.4375,n/a,2.19895959383827,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.04,0.04,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+I,18,2054.71319181173,1942.33410492144,-953.077547095631,0.4375,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,2057.29658646146,1919.99070794166,-937.862789129333,n/a,n/a,2.18193169574108,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.04,0.04,0.08,0.04,0.29,0.04,0.04,0.25,0.04,0.06,0.04,0.04
GTR+I,26,2060.6911597463,1898.4754549659,-923.053620480589,0.4375,n/a,1.51878083610946,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.1,0.04,0.07,0.1,0.25,0.03,0.03,0.21,0.04,0.06,0.03,0.04
JC,17,2067.47450544816,1961.32976106196,-963.584817736633,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,2067.70707929631,1936.63131026345,-947.194649369546,n/a,n/a,2.15458482423079,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.04,0.04,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR,25,2074.03533958003,1918.04549794232,-933.852324220242,n/a,n/a,1.49846466332633,0.230729166666667,0.227604166666667,0.264322916666667,0.27734375,0.09,0.04,0.08,0.1,0.25,0.03,0.03,0.21,0.04,0.06,0.03,0.04
