Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,5347.35500046505,5210.62641285565,-2586.27474488936,n/a,0.05,2.17694044562023,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,5357.17450471347,5213.25373284009,-2586.58435199551,0.518049908550508,0.274789792930469,3.12798710540881,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,20,5357.83419775509,5213.91342588171,-2586.91419851632,n/a,0.05,2.17655974881375,0.243383838383838,0.243383838383838,0.256616161616162,0.256616161616162,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,5367.74458450522,5216.63203494931,-2587.26924687332,0.50934596043924,0.266439944884462,3.1257963335808,0.243383838383838,0.243383838383838,0.256616161616162,0.256616161616162,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
GTR+G,26,5370.79567205596,5183.73033713318,-2565.79406555838,n/a,0.0611815260924627,1.8522474351137,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.06,0.03,0.12,0.07,0.21,0.08,0.03,0.21,0.01,0.11,0.07,0.01
GTR+G+I,27,5371.24990577786,5176.99523525635,-2561.42103740127,0.56440212502397,0.379097939160251,1.98285039737537,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.06,0.02,0.11,0.07,0.23,0.08,0.02,0.22,0.01,0.1,0.07,0.01
TN93+G,23,5374.06144210403,5208.56655742144,-2581.2273856366,n/a,0.0580878406287292,2.15495771518212,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.12,0.04,0.23,0.04,0.04,0.23,0.04,0.11,0.04,0.04
TN93+G+I,24,5375.97769065922,5203.29224877962,-2577.58536489614,0.629302458493887,0.500545771363066,2.31213843086327,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.11,0.04,0.25,0.04,0.04,0.24,0.04,0.1,0.04,0.04
HKY+G,22,5377.34948221891,5219.04556168543,-2587.47155071211,n/a,0.05,2.2076402477211,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.19,0.04,0.17,0.04,0.04,0.16,0.04,0.17,0.04,0.04
HKY+G+I,23,5382.70032848667,5217.20544380408,-2585.54682882792,0.435608901904159,0.211935289472535,2.27853548463218,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.19,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
JC+G,18,5440.61189554066,5311.07589865323,-2637.50333744523,n/a,0.05,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5447.60556386603,5310.87697625662,-2636.40002658985,0.339673256306485,0.166407769005213,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,19,5465.12941269267,5328.40082508326,-2645.16195100317,0.432323232323232,n/a,1.98807290769676,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,5475.46328286158,5331.5425109882,-2645.72874106956,0.432323232323232,n/a,1.98833723924986,0.243383838383838,0.243383838383838,0.256616161616162,0.256616161616162,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,5481.66137994309,5316.16649526051,-2635.02735455613,0.432323232323232,n/a,2.01295678420978,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.11,0.04,0.24,0.04,0.04,0.23,0.04,0.1,0.04,0.04
GTR+I,26,5491.60343401699,5304.53809909421,-2626.1979465389,0.432323232323232,n/a,1.371176909815,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.07,0.03,0.11,0.07,0.19,0.08,0.03,0.18,0.04,0.1,0.07,0.03
HKY+I,22,5495.81031681013,5337.50639627664,-2646.70196800771,0.432323232323232,n/a,1.9933406741912,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.16,0.05,0.17,0.04,0.04
K2,18,5548.48031923358,5418.94432234615,-2691.43754929169,n/a,n/a,1.95096893695862,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
JC+I,18,5552.96163744575,5423.42564055832,-2693.67820839777,0.432323232323232,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,5558.78934815101,5422.0607605416,-2691.99191873234,n/a,n/a,1.95121143828976,0.243383838383838,0.243383838383838,0.256616161616162,0.256616161616162,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93,22,5564.2809235029,5405.97700296942,-2680.9372713541,n/a,n/a,1.95891726100787,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.11,0.04,0.23,0.05,0.04,0.22,0.05,0.1,0.04,0.04
GTR,25,5574.31330924148,5394.43771724058,-2672.15302916921,n/a,n/a,1.3471485794669,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.07,0.03,0.11,0.07,0.18,0.08,0.03,0.18,0.04,0.1,0.07,0.03
HKY,21,5579.33708514264,5428.22453558674,-2693.06549719203,n/a,n/a,1.9505649072127,0.248989898989899,0.237777777777778,0.243636363636364,0.26959595959596,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.04
JC,17,5635.15310634621,5512.81010651537,-2739.37408786606,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
