Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,9373.0663445952,9223.18906835712,-4591.56295285666,0.526441405994304,0.4798780427963,2.43456248829181,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,9377.75116584126,9235.3648917606,-4598.65387445173,n/a,0.143318866330073,2.30571531719677,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,9378.18961903703,9205.84114681384,-4579.87905716143,0.519452019485767,0.465928074165418,2.4230385161442,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.04,0.03,0.18,0.03,0.17,0.04,0.03,0.21,0.04,0.15,0.04,0.03
T92+G+I,21,9381.44968104006,9224.08170434703,-4591.00611010704,0.526715137494203,0.480289066274097,2.43455413173713,0.253115615615616,0.253115615615616,0.246884384384384,0.246884384384384,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G,22,9383.13518580045,9218.27681042302,-4587.10035151519,n/a,0.144250992399332,2.29416374758297,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.04,0.04,0.18,0.03,0.16,0.04,0.03,0.2,0.04,0.15,0.04,0.04
TN93+G+I,24,9384.89693010158,9205.05866293936,-4578.48420172166,0.512397666322232,0.456124907316648,2.43853056359778,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.04,0.03,0.16,0.03,0.19,0.04,0.03,0.23,0.04,0.13,0.04,0.03
T92+G,20,9386.24568573736,9236.36840949928,-4598.15262342774,n/a,0.143395388295998,2.30506398032729,0.253115615615616,0.253115615615616,0.246884384384384,0.246884384384384,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.18,0.04,0.18,0.04,0.04
TN93+G,23,9389.69801585046,9217.34954362727,-4585.63325556815,n/a,0.1454662875853,2.30682639313693,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.04,0.04,0.16,0.03,0.18,0.04,0.03,0.23,0.04,0.13,0.04,0.04
GTR+G+I,27,9399.62956633829,9197.32372648091,-4571.60498692387,0.520077718675079,0.46797168583796,2.41792251587981,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.07,0.04,0.16,0.05,0.19,0.02,0.03,0.23,0.03,0.13,0.03,0.03
GTR+G,26,9404.67035315016,9209.85340210269,-4578.87389130185,n/a,0.145477675850373,2.28358594865354,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.07,0.04,0.16,0.05,0.18,0.03,0.03,0.23,0.03,0.13,0.03,0.03
JC+G,18,9625.55285874451,9490.65788845572,-4727.30323187541,n/a,0.150155087250814,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9626.93085184267,9484.54457776202,-4723.24371745244,0.453737155856281,0.416734114561235,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,19,9681.61907042678,9539.23279634613,-4750.58782674449,0.388513513513513,n/a,1.95413968247449,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,9686.48557024924,9521.62719487181,-4738.77554373958,0.388513513513513,n/a,1.95597232332717,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.05,0.04,0.17,0.04,0.16,0.04,0.04,0.19,0.04,0.14,0.05,0.04
TN93+I,23,9689.15480621601,9516.80633399281,-4735.36165075092,0.388513513513513,n/a,1.97198967136684,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.05,0.04,0.14,0.04,0.18,0.04,0.04,0.22,0.04,0.12,0.05,0.04
T92+I,20,9690.04734249704,9540.17006625896,-4750.05345180758,0.388513513513513,n/a,1.95407975978437,0.253115615615616,0.253115615615616,0.246884384384384,0.246884384384384,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,9706.01951913241,9511.20256808494,-4729.54847429298,0.388513513513513,n/a,1.9606938645603,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.07,0.04,0.14,0.05,0.18,0.03,0.04,0.22,0.04,0.12,0.04,0.03
JC+I,18,9905.38946566449,9770.4944953757,-4867.2215353354,0.388513513513513,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,9951.31394633967,9816.41897605088,-4890.18377567299,n/a,n/a,1.87298027023568,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY,21,9956.66245641822,9799.29447972519,-4878.61249779612,n/a,n/a,1.87505688909228,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.05,0.04,0.17,0.04,0.15,0.04,0.04,0.19,0.04,0.14,0.05,0.04
TN93,22,9959.22282560925,9794.36445023181,-4875.14417141958,n/a,n/a,1.87629812072149,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.05,0.04,0.14,0.04,0.17,0.05,0.04,0.22,0.05,0.12,0.05,0.04
T92,19,9959.74014106028,9817.35386697963,-4889.64836206124,n/a,n/a,1.87296573815924,0.253115615615616,0.253115615615616,0.246884384384384,0.246884384384384,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR,25,9977.58384368731,9790.25608356095,-4870.07914754247,n/a,n/a,1.87469209343226,0.213063063063063,0.293168168168168,0.234309309309309,0.259459459459459,0.07,0.04,0.14,0.05,0.17,0.03,0.04,0.22,0.04,0.12,0.04,0.03
JC,17,10168.1632126335,10040.759847703,-5003.35691979195,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
