Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,19,1311.93578176366,1207.94745112199,-584.76024241493,0.619748482439613,n/a,2.56178871209439,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,1312.72080849207,1208.7324778504,-585.152755779135,n/a,0.315903736263426,2.60237287599056,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+I,20,1319.53275824254,1210.09409474428,-584.810959682426,0.6195051134007,n/a,2.56080608535202,0.248055555555556,0.248055555555556,0.251944444444444,0.251944444444444,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
K2+G+I,20,1319.60305735355,1210.1643938553,-584.846109237935,0,0.309705450169503,2.62689005638028,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G,20,1319.85214998734,1210.41348648908,-584.970655554825,n/a,0.315816637458473,2.60085826491058,0.248055555555556,0.248055555555556,0.251944444444444,0.251944444444444,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2,18,1326.66513876808,1228.12943768047,-595.872691889084,n/a,n/a,2.29109640955773,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,1327.23969870724,1212.35300292504,-584.916658942833,0,0.310471330381052,2.62490751704349,0.248055555555556,0.248055555555556,0.251944444444444,0.251944444444444,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92,19,1334.55597854824,1230.56764790658,-596.07034080722,n/a,n/a,2.29141922685943,0.248055555555556,0.248055555555556,0.251944444444444,0.251944444444444,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,1335.29314339386,1214.96071978429,-585.195610314205,0.623084016412905,n/a,2.62098506885979,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.19,0.04,0.17,0.04,0.04,0.17,0.04,0.18,0.03,0.03
TN93+G,23,1335.77661876446,1210.00077567674,-581.68957702756,n/a,0.376649440102218,2.62347968058194,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.1,0.03,0.26,0.04,0.03,0.27,0.04,0.1,0.03,0.03
HKY+G,22,1335.98578262923,1215.65335901965,-585.541929931887,n/a,0.309933143936795,2.66268590563411,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.2,0.03,0.17,0.04,0.03,0.18,0.04,0.18,0.03,0.03
TN93+I,23,1339.63028610329,1213.85444301558,-583.616410696978,0.372222222222222,n/a,2.45638648123176,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.1,0.04,0.26,0.04,0.04,0.27,0.04,0.09,0.03,0.03
JC+G,18,1342.43539853194,1243.89969744432,-603.757821771011,n/a,0.354715424581162,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G+I,24,1342.62713658324,1211.41018626804,-581.367064965007,0.00001,0.375552427926073,2.6223542559956,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.1,0.03,0.26,0.04,0.03,0.27,0.04,0.1,0.03,0.03
HKY+G+I,23,1342.91685972353,1217.14101663581,-585.259697507095,0,0.303332790851482,2.69117068909299,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.03,0.03,0.2,0.03,0.17,0.04,0.03,0.18,0.04,0.19,0.03,0.03
TN93,22,1346.15172094114,1225.81929733157,-590.624899087843,n/a,n/a,2.31406355738224,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.04,0.03,0.1,0.04,0.25,0.04,0.04,0.26,0.04,0.09,0.04,0.03
JC+I,18,1348.20173800041,1249.6660369128,-606.640991505248,0.372222222222222,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,1349.69562923135,1245.70729858968,-603.640166148773,0,0.354402402693418,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,1351.0850340891,1236.1983383069,-596.839326633764,n/a,n/a,2.29071897758494,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.04,0.04,0.19,0.04,0.16,0.04,0.04,0.17,0.04,0.18,0.04,0.04
GTR+G,26,1351.97357184885,1209.88135948045,-578.544740653932,n/a,0.404559430286743,2.29820475887583,0.254444444444444,0.241666666666667,0.235,0.268888888888889,0.06,0.03,0.1,0.06,0.25,0.06,0.03,0.25,0.01,0.1,0.05,0.01
JC,17,1354.84967192695,1261.76889322435,-613.71272944046,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
