Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,1891.14240541308,1766.93991487001,-863.356413233871,0.811031270606105,0.854895789875833,2.828582582975,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,1892.80197822769,1774.79928363502,-868.296939114806,n/a,0.05,2.4076832430301,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,1899.3099475909,1768.90875449006,-863.329444849143,0.811673165220743,0.865023825323063,2.82430714102066,0.251075268817204,0.251075268817204,0.248924731182796,0.248924731182796,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,20,1900.94730075084,1776.74481020777,-868.25886090275,n/a,0.05,2.4069627228638,0.251075268817204,0.251075268817204,0.248924731182796,0.248924731182796,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G+I,23,1914.05468812451,1771.25937363606,-862.48033616868,0.814717037589923,0.898888898718068,2.85707552996858,0.261021505376344,0.241129032258065,0.229838709677419,0.268010752688172,0.03,0.03,0.2,0.03,0.17,0.03,0.03,0.18,0.03,0.19,0.03,0.03
HKY+G,22,1915.88459562364,1779.28579424495,-867.506029391882,n/a,0.05,2.43854517952211,0.261021505376344,0.241129032258065,0.229838709677419,0.268010752688172,0.04,0.03,0.19,0.04,0.16,0.04,0.04,0.17,0.04,0.18,0.04,0.03
JC+G,18,1918.16385958828,1806.36205345236,-885.088619268734,n/a,0.05,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,1919.13837333261,1801.13567873994,-881.465136667268,0.503369387778216,0.142485058950239,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G+I,24,1922.27665342556,1773.28592188465,-862.480579345574,0.814066643182434,0.890348286723902,2.85622897540477,0.261021505376344,0.241129032258065,0.229838709677419,0.268010752688172,0.03,0.03,0.2,0.03,0.17,0.03,0.03,0.18,0.03,0.19,0.03,0.03
TN93+G,23,1924.10531302408,1781.30999853563,-867.505648618466,n/a,0.05,2.43868740508494,0.261021505376344,0.241129032258065,0.229838709677419,0.268010752688172,0.04,0.03,0.19,0.04,0.16,0.04,0.04,0.17,0.04,0.18,0.04,0.03
