Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1306.46436831773,1201.22283948231,-581.411419741156,n/a,0.363715276034181,2.52521969378855,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+I,19,1311.48335498644,1206.24182615103,-583.920913075514,0.388020833333333,n/a,2.38153737756798,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2,18,1313.75416724182,1214.03252949742,-588.836359435715,n/a,n/a,2.30358364114608,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,1313.88371072502,1203.12443949726,-581.341050712294,0.311487793739911,0.771140319399266,2.53752375704491,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,1314.1250366633,1203.36576543553,-581.461713681429,n/a,0.36172584244166,2.52927527690603,0.241145833333333,0.241145833333333,0.258854166666667,0.258854166666667,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+I,20,1319.16789502906,1208.40862380129,-583.983142864309,0.388020833333333,n/a,2.38315229449734,0.241145833333333,0.241145833333333,0.258854166666667,0.258854166666667,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92,19,1321.51076902697,1216.26924019155,-588.934620095777,n/a,n/a,2.30416376836885,0.241145833333333,0.241145833333333,0.258854166666667,0.258854166666667,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,1321.55769800044,1205.28283647523,-581.398004117489,0.302860500844699,0.746234472781065,2.5407875096564,0.241145833333333,0.241145833333333,0.258854166666667,0.258854166666667,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G,23,1328.64918996147,1201.34961774698,-577.383669632985,n/a,0.387285828222594,2.58599455519716,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.11,0.04,0.27,0.04,0.04,0.25,0.04,0.11,0.03,0.03
HKY+G,22,1329.60294527114,1207.81464894683,-581.640587520331,n/a,0.349117330318441,2.60200953518723,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.21,0.04,0.16,0.04,0.04,0.15,0.04,0.2,0.03,0.03
JC+G,18,1331.78111490173,1232.05947715733,-597.84983326567,n/a,0.417097744331183,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+I,23,1333.12506086902,1205.82548865453,-579.621605086759,0.388020833333333,n/a,2.42226964089208,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.11,0.04,0.26,0.04,0.04,0.24,0.04,0.11,0.03,0.03
HKY+I,22,1334.95502608929,1213.16672976498,-584.316627929405,0.388020833333333,n/a,2.40332509853335,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.2,0.04,0.16,0.04,0.04,0.15,0.04,0.19,0.03,0.03
TN93,22,1335.33408184677,1213.54578552246,-584.506155808144,n/a,n/a,2.3134542089298,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.12,0.04,0.25,0.04,0.04,0.23,0.04,0.11,0.03,0.03
JC+I,18,1335.84578109402,1236.12414334961,-599.882166361813,0.388020833333333,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G+I,24,1336.13347398062,1203.32478820268,-577.345771410049,0.241861024941462,0.671499837491016,2.59642187789851,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.11,0.04,0.27,0.04,0.04,0.25,0.04,0.11,0.03,0.03
HKY+G+I,23,1337.02152182234,1209.72194960785,-581.569835563418,0.305625647029369,0.721847914942059,2.61713944518866,0.274479166666667,0.2078125,0.224479166666667,0.293229166666667,0.03,0.03,0.21,0.04,0.16,0.04,0.04,0.15,0.04,0.2,0.03,0.03
