Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4046.22968105907,3916.14623892719,-1939.01860009487,n/a,0.05,1.90280445444476,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,4052.53458438569,3915.61040147365,-1937.74493384057,0.269116922246136,0.115167789381896,1.95101190216218,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,4056.28138857236,3919.35720566031,-1939.6183359339,n/a,0.05,1.89920783519702,0.244635193133047,0.244635193133047,0.255364806866953,0.255364806866953,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,4062.70012865779,3918.93578231777,-1938.401588059,0.259753907943471,0.111893701812028,1.94436352550591,0.244635193133047,0.244635193133047,0.255364806866953,0.255364806866953,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,4074.85251864109,3924.24858647391,-1940.05166513304,n/a,0.05,1.97532165324381,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.15,0.05,0.17,0.04,0.04
TN93+G,23,4077.36225276062,3919.91931261584,-1936.88041427519,n/a,0.05,1.83477885637451,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.04,0.04,0.12,0.05,0.21,0.05,0.05,0.2,0.05,0.12,0.04,0.04
HKY+G+I,23,4081.29280790593,3923.84986776115,-1938.84569184784,0.246518260764088,0.105473879644798,2.02183708323973,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.15,0.05,0.18,0.04,0.04
GTR+G,26,4083.78756952903,3905.83107503844,-1926.81471890655,n/a,0.05,1.50848779554775,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.06,0.03,0.13,0.07,0.18,0.08,0.04,0.17,0.03,0.13,0.07,0.02
GTR+G+I,27,4087.73965104038,3902.94646246079,-1924.36464174461,0.216905680898696,0.114260244771806,1.58728549909575,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.06,0.03,0.13,0.07,0.19,0.08,0.04,0.18,0.02,0.12,0.07,0.02
TN93+G+I,24,4091.31431012325,3927.03294009931,-1939.43032503889,0.636435622893142,0.455378136796424,2.99105196669278,0.262660944206009,0.226609442060086,0.239484978540773,0.271244635193133,0.03,0.03,0.1,0.03,0.29,0.03,0.03,0.28,0.03,0.09,0.03,0.03
