Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1480.59855116602,1368.13077877558,-664.928205272265,n/a,0.05,1.62576739364694,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,1484.03427943065,1365.66170054756,-662.679170967169,0.451025250387348,0.125650255158286,1.70626258957251,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G,18,1488.00496993381,1381.44346848234,-672.598313093569,n/a,0.05,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+G,20,1488.12899350234,1369.75641461925,-664.726528003014,n/a,0.05,1.62567366264766,0.252867383512545,0.252867383512545,0.247132616487455,0.247132616487455,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,21,1491.54248154103,1367.26656219881,-662.466373584955,0.456255915284997,0.128559043296271,1.70753724392171,0.252867383512545,0.252867383512545,0.247132616487455,0.247132616487455,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,1491.79014704234,1379.32237465189,-670.524003210422,0.45965043794768,0.135648881719624,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+G,22,1504.01021953042,1373.83242735206,-664.733344142241,n/a,0.05,1.63486954162046,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.16,0.05,0.05
HKY+G+I,23,1507.43834535783,1371.36014955811,-662.480508618536,0.45192691012159,0.126092296421039,1.71935331695692,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G,23,1508.91290731098,1372.83471151126,-663.217789595112,n/a,0.05,1.57988745505784,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.05,0.05,0.09,0.05,0.21,0.05,0.05,0.21,0.05,0.1,0.05,0.05
TN93+G+I,24,1513.67183490668,1371.69470629448,-661.630354955557,0.432084226504349,0.132087439475563,1.62363014881723,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.05,0.05,0.1,0.05,0.2,0.05,0.05,0.2,0.05,0.11,0.05,0.05
K2+I,19,1514.90006486503,1402.43229247459,-682.078962121771,0.446236559139785,n/a,1.52435151033106,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G,26,1520.48684038434,1366.71626496162,-657.10406081957,n/a,0.05,1.46680088009231,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.13,0.03,0.09,0.13,0.21,0.03,0.03,0.2,0.01,0.1,0.03,0.01
JC+I,18,1521.61746017978,1415.0559587283,-689.404558216549,0.446236559139785,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+I,20,1522.42221761945,1404.04963873636,-681.873140061573,0.446236559139785,n/a,1.5237894603131,0.252867383512545,0.252867383512545,0.247132616487455,0.247132616487455,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G+I,27,1525.50181074274,1365.83672452171,-655.644647561363,0.28608552112018,0.05,1.49800671296241,0.260215053763441,0.245519713261649,0.247670250896057,0.246594982078853,0.13,0.03,0.11,0.13,0.19,0.03,0.03,0.19,0.01,0.11,0.03,0.01
K2,18,1530.05242153364,1423.49092008217,-693.622038893482,n/a,n/a,1.50800354394795,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
