Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4802.32439618335,4669.14489483723,-2315.5261059552,n/a,0.106239931128353,2.62805241349463,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,4810.27930331711,4670.09524507458,-2314.99639677805,0.568181169616345,0.428734349820031,4.15701556306977,0.25,0.25,0.25,0.25,0.02,0.02,0.2,0.02,0.2,0.02,0.02,0.2,0.02,0.2,0.02,0.02
T92+G,20,4811.50791653867,4671.32385829615,-2315.61070338883,n/a,0.108274070016546,2.60510779708587,0.234184914841849,0.234184914841849,0.265815085158151,0.265815085158151,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G,23,4813.79344033963,4652.59865396806,-2303.23197705724,n/a,0.149958245969853,2.59176321051934,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.04,0.09,0.03,0.3,0.04,0.03,0.26,0.04,0.08,0.03,0.04
TN93+G+I,24,4814.34538575367,4646.14800479092,-2299.00078702023,0.510376987100272,0.447669224918043,2.72373444289928,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.03,0.09,0.03,0.31,0.04,0.03,0.26,0.04,0.08,0.03,0.03
GTR+G,26,4819.44487395875,4637.24377706952,-2292.53620563472,n/a,0.156021192660483,2.6430299060062,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.06,0.02,0.09,0.07,0.3,0.04,0.02,0.26,0.01,0.08,0.03,0.01
T92+G+I,21,4820.22525644195,4673.03713161007,-2315.46221059645,0.561349508225935,0.428002562586536,4.14037972430115,0.234184914841849,0.234184914841849,0.265815085158151,0.265815085158151,0.02,0.03,0.21,0.02,0.21,0.03,0.02,0.19,0.03,0.19,0.02,0.03
GTR+G+I,27,4820.92043050352,4631.71821263867,-2288.76682116308,0.497791612927866,0.449145251421709,2.77821743118786,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.06,0.02,0.09,0.07,0.31,0.04,0.02,0.26,0.01,0.08,0.03,0.01
HKY+G,22,4833.5872710367,4679.39557010196,-2317.6360551498,n/a,0.106269915923937,2.67393264284361,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.16,0.04,0.18,0.03,0.04
HKY+G+I,23,4841.58815541681,4680.39336904524,-2317.12933459583,0.562595908687882,0.424775325726446,4.15608870457897,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.02,0.02,0.22,0.02,0.21,0.03,0.02,0.18,0.03,0.2,0.02,0.02
TN93+I,23,4896.45510054307,4735.2603141715,-2344.56280715896,0.417274939172749,n/a,2.41087056440961,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.04,0.08,0.04,0.3,0.04,0.04,0.25,0.04,0.08,0.03,0.04
K2+I,19,4906.36529058263,4773.18578923651,-2367.54655315484,0.417274939172749,n/a,2.34424996036837,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
GTR+I,26,4908.49778300006,4726.29668611083,-2337.06266015538,0.417274939172749,n/a,1.96138818337339,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.07,0.03,0.09,0.07,0.27,0.04,0.03,0.23,0.03,0.08,0.03,0.03
T92+I,20,4913.63245667876,4773.44839843623,-2366.67297345888,0.417274939172749,n/a,2.34234671457532,0.234184914841849,0.234184914841849,0.265815085158151,0.265815085158151,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
JC+G,18,4919.31580094817,4793.14134662613,-2378.52897108163,n/a,0.114416098376852,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,4922.01716833634,4788.83766699022,-2375.37249203169,0.508160892384368,0.40502965599726,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+I,22,4937.1388246796,4782.94712374486,-2369.41183197125,0.417274939172749,n/a,2.35497301110424,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.04,0.19,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.03,0.04
TN93,22,4973.96882334868,4819.77712241394,-2387.82683130579,n/a,n/a,2.30258543771673,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.03,0.04,0.09,0.04,0.29,0.04,0.04,0.25,0.04,0.08,0.03,0.04
GTR,25,4985.60156520463,4810.40208067606,-2380.12171400168,n/a,n/a,1.87923911522961,0.247688564476886,0.220681265206813,0.257299270072993,0.274330900243309,0.07,0.03,0.09,0.07,0.26,0.04,0.03,0.23,0.03,0.08,0.04,0.03
K2,18,4987.13992450431,4860.96547018228,-2412.4410328597,n/a,n/a,2.28201446659823,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92,19,4993.96742189439,4860.78792054826,-2411.34761881072,n/a,n/a,2.28263536990416,0.234184914841849,0.234184914841849,0.265815085158151,0.265815085158151,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
