Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1611.80734420103,1497.18632815609,-729.470583432882,n/a,0.05,6.25168897453868,0.25,0.25,0.25,0.25,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.22,0.02,0.22,0.02,0.02
K2+G+I,20,1617.01713799951,1496.37642756253,-728.052686191722,0.657612359606548,0.449503845278492,6.86762364225443,0.25,0.25,0.25,0.25,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.22,0.02,0.22,0.02,0.02
T92+G,20,1619.9417741754,1499.30106373842,-729.515004279664,n/a,0.05,6.27712911967763,0.236217948717949,0.236217948717949,0.263782051282051,0.263782051282051,0.02,0.02,0.23,0.02,0.23,0.02,0.02,0.2,0.02,0.2,0.02,0.02
T92+G+I,21,1625.19461945935,1498.53552250244,-728.118632781239,0.649159862388164,0.426542794389881,6.90094999663001,0.236217948717949,0.236217948717949,0.263782051282051,0.263782051282051,0.01,0.02,0.23,0.01,0.23,0.02,0.01,0.21,0.02,0.21,0.01,0.02
TN93+G,23,1631.81550181374,1493.12356050255,-723.383485677629,n/a,0.100052389988808,6.43142322028833,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.02,0.02,0.08,0.02,0.39,0.02,0.02,0.33,0.02,0.07,0.02,0.02
HKY+G,22,1636.19833449814,1503.52216016031,-729.597696160231,n/a,0.05,6.31215575701346,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.02,0.02,0.22,0.02,0.23,0.02,0.02,0.2,0.02,0.21,0.02,0.02
TN93+G+I,24,1637.88336409996,1493.17696749315,-722.394622680338,0.5833271051719,0.427608662518003,7.30897270093972,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.01,0.02,0.07,0.01,0.4,0.02,0.01,0.34,0.02,0.07,0.01,0.02
K2+I,19,1639.04717906714,1524.4261630222,-743.090500865938,0.440705128205128,n/a,5.51100727881191,0.25,0.25,0.25,0.25,0.02,0.02,0.21,0.02,0.21,0.02,0.02,0.21,0.02,0.21,0.02,0.02
HKY+G+I,23,1641.42708463671,1502.73514332551,-728.189277089113,0.642172273998798,0.405993124549668,6.95902861370657,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.01,0.02,0.22,0.02,0.24,0.02,0.02,0.2,0.02,0.22,0.01,0.02
GTR+G,26,1646.67227698793,1489.94090991207,-718.743490843521,n/a,0.0963494942785594,5.87549190603984,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.04,0,0.08,0.04,0.38,0.03,0,0.32,0,0.07,0.03,0
T92+I,20,1647.2946978237,1526.65398738672,-743.191466103816,0.440705128205128,n/a,5.51530845278991,0.236217948717949,0.236217948717949,0.263782051282051,0.263782051282051,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.2,0.02,0.2,0.02,0.02
TN93+I,23,1651.67049712605,1512.97855581486,-733.310983333786,0.440705128205128,n/a,5.74913504497152,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.02,0.02,0.07,0.02,0.39,0.02,0.02,0.32,0.02,0.07,0.02,0.02
K2,18,1651.76935793012,1543.16934288404,-753.47438443783,n/a,n/a,5.36905813662262,0.25,0.25,0.25,0.25,0.02,0.02,0.21,0.02,0.21,0.02,0.02,0.21,0.02,0.21,0.02,0.02
GTR+G+I,27,1657.06023061047,1494.31835090976,-719.91467351439,0.467526765363874,0.295467234894693,5.25453294202943,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.04,0.01,0.08,0.04,0.37,0.03,0.01,0.31,0,0.08,0.03,0
T92,19,1660.04744330292,1545.42642725798,-753.590632983828,n/a,n/a,5.37006215312278,0.236217948717949,0.236217948717949,0.263782051282051,0.263782051282051,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.2,0.02,0.2,0.02,0.02
HKY+I,22,1663.75904792376,1531.08287358593,-743.378052873041,0.440705128205128,n/a,5.52031344093418,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.02,0.02,0.22,0.02,0.23,0.02,0.02,0.19,0.02,0.21,0.02,0.02
TN93,22,1663.82518449488,1531.14901015705,-743.411121158603,n/a,n/a,5.43913480535213,0.245833333333333,0.226602564102564,0.271474358974359,0.256089743589744,0.02,0.02,0.08,0.02,0.38,0.02,0.02,0.31,0.02,0.08,0.02,0.02
JC+G,18,1669.36673648038,1560.7667214343,-762.273073712959,n/a,0.05,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
