Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,8911.63197606673,8774.62162327164,-4367.25080306317,n/a,0.388627407057726,1.88578052892121,0.20477207977208,0.20477207977208,0.29522792022792,0.29522792022792,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
T92+G+I,21,8912.36934056387,8768.51448985152,-4363.19122606323,0.389624439960171,1.60400741129658,1.81968264420655,0.20477207977208,0.20477207977208,0.29522792022792,0.29522792022792,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,8919.21835714508,8754.83346432454,-4353.3309566083,0.382912712591083,1.56202234821639,1.90408053867661,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.03,0.05,0.13,0.03,0.25,0.05,0.03,0.19,0.05,0.09,0.03,0.05
TN93+G,23,8919.38100065161,8761.83887967985,-4357.84053761008,n/a,0.387117296458914,1.99772985563564,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.03,0.04,0.13,0.03,0.26,0.05,0.03,0.19,0.05,0.09,0.03,0.04
GTR+G,26,8925.11392612717,8747.04521740543,-4347.42222260233,n/a,0.399645130366346,1.9512765886347,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.01,0.06,0.14,0.01,0.26,0.04,0.04,0.19,0.07,0.09,0.02,0.06
GTR+G+I,27,8928.05359857545,8743.1438462955,-4344.46379957795,0.360608189243837,1.35981740684724,1.9114425944195,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.01,0.06,0.14,0.01,0.26,0.04,0.04,0.19,0.07,0.09,0.02,0.06
T92+I,20,8931.24789143643,8794.23753864134,-4377.05876074802,0.468255408563829,n/a,1.63392874011664,0.20477207977208,0.20477207977208,0.29522792022792,0.29522792022792,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G,22,8937.4538626738,8786.75508915368,-4371.30522786968,n/a,0.388932727684858,1.90027819106869,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.03,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+G+I,23,8938.6905290255,8781.14840805373,-4367.49530179702,0.386632199113191,1.56977933833135,1.83097387738616,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.04,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
TN93+I,23,8939.292988378,8781.75086740624,-4367.79653147327,0.463137197846856,n/a,1.65756160458225,0.207407407407407,0.202136752136752,0.274216524216524,0.316239316239316,0.04,0.05,0.14,0.04,0.23,0.06,0.04,0.17,0.06,0.09,0.04,0.05
