Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,42439.2014080793,42211.1770493598,-21078.5665555993,0.409440177684912,1.46452741165268,1.99583124483907,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.02,0.05,0.13,0.02,0.27,0.03,0.04,0.19,0.07,0.1,0.02,0.07
TN93+G+I,24,42456.6695688141,42253.9770623257,-21102.9710969045,0.411845588529066,1.42762194545374,2.01946488593782,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.03,0.05,0.13,0.03,0.27,0.05,0.03,0.19,0.05,0.09,0.03,0.05
GTR+G,26,42492.2528018355,42272.6722774489,-21110.3157394567,n/a,0.350185562044759,2.08779655440876,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.02,0.05,0.13,0.02,0.28,0.03,0.04,0.19,0.07,0.09,0.02,0.06
TN93+G,23,42517.0821631967,42322.8338402534,-21138.4008810751,n/a,0.338580217342029,2.16387335889363,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.03,0.04,0.13,0.03,0.28,0.05,0.03,0.2,0.05,0.09,0.03,0.04
T92+G+I,21,42519.0907828968,42341.731176185,-21149.8521648837,0.423394236094867,1.59443042536889,1.89590378207102,0.206939605110337,0.206939605110337,0.293060394889663,0.293060394889663,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,42561.0651317441,42366.8168088009,-21160.3923653488,0.423769506414406,1.59639430195324,1.90565385145706,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.13,0.05,0.14,0.03,0.05
T92+G,20,42583.4946512638,42414.579577218,-21187.2775860465,n/a,0.348732460723532,1.97692545918051,0.206939605110337,0.206939605110337,0.293060394889663,0.293060394889663,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+I,26,42595.8067960885,42376.2262717019,-21162.0927365832,0.488492214969748,n/a,1.72878892025623,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.03,0.05,0.14,0.03,0.24,0.04,0.04,0.16,0.07,0.1,0.03,0.07
TN93+I,23,42620.4901034364,42426.2417804931,-21190.1048511949,0.488898514672302,n/a,1.69759507387098,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.04,0.05,0.14,0.04,0.23,0.05,0.04,0.16,0.05,0.1,0.04,0.05
HKY+G,22,42625.9696362208,42440.1656132065,-21198.0681045665,n/a,0.348360819949434,1.98777336328592,0.213763066202091,0.200116144018583,0.287659698025552,0.298461091753775,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.13,0.05,0.14,0.03,0.05
