Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,13489.3250851659,13339.2834158011,-6648.59249614087,0.261560843231182,1.06270176206542,1.44111996837608,0.202125398512221,0.202125398512221,0.297874601487779,0.297874601487779,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,13489.4742459003,13346.5731476455,-6653.24184062435,n/a,0.465778688005102,1.48287442318762,0.202125398512221,0.202125398512221,0.297874601487779,0.297874601487779,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G+I,24,13490.0463320169,13318.5855180472,-6635.2288272175,0.254280886203707,0.995210469222172,1.54643383869365,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.05,0.12,0.04,0.24,0.06,0.04,0.17,0.06,0.08,0.04,0.05
TN93+G,23,13490.1484679031,13325.826940544,-6639.85465927688,n/a,0.452194127781431,1.59599865635158,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.05,0.12,0.04,0.25,0.06,0.04,0.18,0.06,0.08,0.04,0.05
GTR+G+I,27,13492.7467750304,13299.8706724182,-6622.85475637539,0.234587519182906,0.932860179312501,1.50929674954527,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.02,0.08,0.13,0.02,0.24,0.04,0.05,0.17,0.08,0.08,0.02,0.07
GTR+G,26,13508.3686283432,13322.6305266099,-6635.24044714807,n/a,0.477801022032525,1.3450115676034,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.05,0.07,0.14,0.05,0.21,0.03,0.05,0.15,0.08,0.09,0.02,0.07
HKY+G,22,13517.2632814712,13360.081469026,-6657.98683017724,n/a,0.466281328588561,1.48222275407435,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,13517.7801171978,13353.4585898387,-6653.67048392423,0.255545009873456,1.03194134544486,1.44121728466386,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+I,20,13569.0757756869,13426.1746774321,-6693.04260551765,0.392760802359136,n/a,1.24953671236004,0.202125398512221,0.202125398512221,0.297874601487779,0.297874601487779,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.11,0.06,0.11,0.04,0.06
TN93+I,23,13577.1467317737,13412.8252044146,-6683.3537912122,0.390044882379286,n/a,1.27374579308942,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.06,0.13,0.04,0.21,0.07,0.04,0.15,0.07,0.08,0.04,0.06
HKY+I,22,13599.9580881814,13442.7762757362,-6699.33423353232,0.392209575028314,n/a,1.24386828290357,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.04,0.06,0.18,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.04,0.06
GTR+I,26,13602.9204277368,13417.1823260035,-6682.51634684485,0.389609978110971,n/a,1.14100646834336,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.05,0.07,0.14,0.05,0.19,0.05,0.05,0.13,0.08,0.09,0.03,0.08
K2+G+I,20,13608.9428607144,13466.0417624596,-6712.97614803139,0.275330189726507,1.28160005221986,1.30063310436234,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,13611.3682438935,13475.6081446416,-6718.76360373722,n/a,0.509331715762703,1.33271598226449,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,13672.7678412439,13537.0077419921,-6749.46340241243,0.390784840021816,n/a,1.17763767892501,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,13778.709926284,13642.9498270322,-6802.4344449325,0.290128740411779,1.55239708697576,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13783.9759532486,13655.3572807559,-6809.64222253107,n/a,0.545754853370663,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13829.4892577575,13700.8705852648,-6832.39887478552,0.388768319127653,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,14166.0207332841,14030.2606340323,-6996.08984843257,n/a,n/a,1.0691643111316,0.202125398512221,0.202125398512221,0.297874601487779,0.297874601487779,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,14174.5318200958,13995.9321479557,-6972.89680714066,n/a,n/a,0.950531214828741,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.05,0.08,0.13,0.05,0.17,0.05,0.06,0.12,0.1,0.09,0.03,0.09
TN93,22,14175.6357323334,14018.4539198882,-6987.17305560834,n/a,n/a,1.07213956100429,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.05,0.07,0.13,0.05,0.18,0.07,0.05,0.13,0.07,0.08,0.05,0.07
HKY,21,14191.7627413153,14041.7210719505,-6999.81132421554,n/a,n/a,1.06851629073556,0.201275239107333,0.202975557917109,0.284272051009564,0.311477151965994,0.05,0.07,0.16,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
K2,18,14227.7810574321,14099.1623849394,-7031.54477462284,n/a,n/a,1.05109394489028,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,14366.6104290213,14245.1336109074,-7105.53422453374,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
