Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,9284.4568336612,9142.78914850278,-4550.32133392165,0.35167751598299,1.25697773296851,1.69681715285332,0.205055292259084,0.205055292259084,0.294944707740916,0.294944707740916,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,9291.18470765227,9156.25674047837,-4558.06179867475,n/a,0.350900875856865,1.87433126934375,0.205055292259084,0.205055292259084,0.294944707740916,0.294944707740916,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G+I,23,9307.89031834273,9152.74511285516,-4553.28502074728,0.352560020791384,1.28626015440372,1.68830952299944,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.12,0.06,0.14,0.04,0.05
GTR+G+I,27,9309.23287816534,9127.14030309031,-4536.4501896283,0.327163709717121,1.06042660917386,1.71616599851664,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.01,0.09,0.18,0.01,0.2,0.04,0.07,0.15,0.06,0.12,0.02,0.05
TN93+G+I,24,9311.75800051357,9149.87499328904,-4550.84233407513,0.353220189515418,1.29318783291818,1.69571666260642,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.04,0.05,0.17,0.04,0.2,0.06,0.04,0.15,0.06,0.11,0.04,0.05
HKY+G,22,9314.94341550669,9166.53665080913,-4561.18809708682,n/a,0.355597003859776,1.8640232472464,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.03,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
TN93+G,23,9319.28315445057,9164.137948963,-4558.9814388012,n/a,0.353362094844407,1.87932882479147,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.03,0.05,0.18,0.04,0.21,0.05,0.04,0.15,0.05,0.12,0.03,0.05
GTR+G,26,9324.84561061865,9149.48891829598,-4548.63308361253,n/a,0.357167221223879,1.68155952211675,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.04,0.09,0.19,0.04,0.18,0.02,0.07,0.13,0.05,0.13,0.01,0.05
T92+I,20,9333.02005853617,9198.09209136226,-4578.9794741167,0.42627500607793,n/a,1.38472154643086,0.205055292259084,0.205055292259084,0.294944707740916,0.294944707740916,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,9355.74835647083,9207.34159177327,-4581.59056756889,0.425850537354704,n/a,1.37924076229678,0.213112164296998,0.196998420221169,0.269826224328594,0.320063191153239,0.04,0.06,0.19,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.06
