Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,14005.5400403054,13859.1903501498,-6908.53653074891,0.192240393456302,1.39994783085929,1.24924975760948,0.211139240506329,0.211139240506329,0.288860759493671,0.288860759493671,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,14009.3429875846,13869.9572393298,-6914.92531340777,n/a,0.606430091641318,1.31651079064841,0.211139240506329,0.211139240506329,0.288860759493671,0.288860759493671,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,14036.5574227239,13848.4348088564,-6897.12136784282,0.17864744911314,1.30227652160837,1.24727453732445,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.09,0.15,0.04,0.17,0.04,0.07,0.14,0.07,0.1,0.03,0.06
HKY+G+I,23,14036.59489878,13876.3188565721,-6915.08934194779,0.191683473430851,1.41342774270476,1.24377028144415,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.12,0.07,0.11,0.05,0.06
GTR+G,26,14038.3537706451,13857.19203265,-6902.50685082265,n/a,0.616125694093251,1.29934448164838,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.09,0.15,0.04,0.17,0.03,0.07,0.15,0.07,0.1,0.02,0.06
TN93+G+I,24,14038.6216084939,13871.3831565234,-6911.61538778551,0.187830637189108,1.37184178622405,1.25420206121611,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.15,0.04,0.17,0.07,0.04,0.15,0.07,0.1,0.05,0.06
HKY+G,22,14040.4133930059,13887.1002714677,-6921.48589807993,n/a,0.611062900004041,1.31232427941503,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.13,0.07,0.12,0.05,0.06
TN93+G,23,14041.9532262872,13881.6771840792,-6917.76850570138,n/a,0.612071798867308,1.31958352131286,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.15,0.04,0.18,0.07,0.04,0.15,0.07,0.1,0.05,0.06
T92+I,20,14081.1977736727,13941.8120254179,-6950.8527064518,0.26973261931372,n/a,1.05205907998462,0.211139240506329,0.211139240506329,0.288860759493671,0.288860759493671,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
K2+G+I,20,14086.5341652256,13947.1484169708,-6953.52090222824,0.199460046154391,1.63051613614914,1.15103536924419,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+G,19,14093.028712091,13960.6074160608,-6961.25548468015,n/a,0.649617278606598,1.21677123300627,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY+I,22,14111.2256633141,13957.9125417759,-6956.89203323404,0.268889911942899,n/a,1.04873297076658,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.16,0.05,0.13,0.08,0.05,0.11,0.08,0.1,0.05,0.06
TN93+I,23,14115.9277808287,13955.6517386208,-6954.75578297213,0.268375843446164,n/a,1.04947559537042,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.06,0.15,0.05,0.15,0.08,0.05,0.13,0.08,0.1,0.05,0.06
GTR+I,26,14118.6862358153,13937.5244978201,-6942.67308340772,0.266084921965437,n/a,1.05279282903894,0.202405063291139,0.219873417721519,0.260253164556962,0.31746835443038,0.05,0.09,0.15,0.04,0.15,0.05,0.07,0.13,0.08,0.09,0.04,0.07
K2+I,19,14147.3323936243,14014.9110975941,-6988.40732544681,0.268900125480151,n/a,1.00783338740039,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,14201.6431279501,14069.2218319199,-7015.56269260972,0.209510376438553,2.01620754138703,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
