Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,7641.00007682582,7482.39429435576,-3718.12179910253,n/a,0.286585094416138,2.37359454743594,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.03,0.03,0.1,0.03,0.26,0.04,0.03,0.27,0.04,0.08,0.03,0.03
TN93+G+I,24,7645.83939044165,7480.34427875428,-3716.09022811434,0.35957053138588,0.697259231346317,2.34026393794555,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.03,0.03,0.1,0.03,0.26,0.04,0.03,0.26,0.04,0.08,0.03,0.03
K2+G,19,7647.04080296718,7515.99783020774,-3738.94707335762,n/a,0.283397849928153,2.14164452373785,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,7650.61054994967,7512.67605128605,-3736.28071905277,0.449220974188583,1.04637963058179,2.13745753825037,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,7654.12024166586,7516.18574300223,-3738.03556491086,n/a,0.28310469045009,2.14519447810194,0.236734693877551,0.236734693877551,0.263265306122449,0.263265306122449,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,7657.76771481913,7512.94223908584,-3735.40807369139,0.451633287830592,1.06466217060398,2.1387496169062,0.236734693877551,0.236734693877551,0.263265306122449,0.263265306122449,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G,26,7661.60474737289,7482.3326266785,-3715.07045098776,n/a,0.285166220063993,2.38781587522764,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.03,0.05,0.1,0.03,0.26,0.03,0.05,0.27,0.05,0.08,0.02,0.03
GTR+G+I,27,7666.81653909076,7480.65673905719,-3713.22511905059,0.341178825475061,0.644352037137849,2.36078533288754,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.03,0.05,0.1,0.03,0.26,0.03,0.05,0.27,0.05,0.08,0.02,0.04
K2+I,19,7671.29005368637,7540.24708092694,-3751.07169871722,0.571739496868722,n/a,1.90552268466298,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,7677.87732474316,7539.94282607954,-3749.91410644951,0.571584315668686,n/a,1.90632297167234,0.236734693877551,0.236734693877551,0.263265306122449,0.263265306122449,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+I,23,7678.17492330334,7519.56914083328,-3736.70922234129,0.5582843223132,n/a,1.90516826620931,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.12,0.04,0.22,0.05,0.04,0.22,0.05,0.1,0.04,0.04
HKY+G,22,7683.37632142774,7531.66041768403,-3743.7611491996,n/a,0.281286074227857,2.21830408817253,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.21,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.04
HKY+G+I,23,7687.26807480678,7528.66229233672,-3741.25579809301,0.447458291953507,1.02548703993805,2.21560285166495,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.21,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.04
GTR+I,26,7701.50622875456,7522.23410806017,-3735.02119167859,0.557079293270672,n/a,1.91080013072104,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.12,0.05,0.22,0.04,0.05,0.22,0.05,0.1,0.03,0.04
HKY+I,22,7708.54164542968,7556.82574168597,-3756.34381120057,0.571218307155962,n/a,1.95011700424961,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.2,0.04,0.15,0.05,0.04,0.15,0.05,0.16,0.04,0.04
JC+G,18,7861.5542578821,7737.40335963678,-3850.65502861119,n/a,0.315934759398258,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7864.22780256681,7733.18482980737,-3847.54057315744,0.482738879165833,1.68251976357844,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7873.68134444653,7749.53044620121,-3856.7185718934,0.566341017519536,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,8067.53190947355,7915.81600572984,-3935.8389432225,n/a,n/a,1.61250899644881,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.04,0.04,0.11,0.05,0.21,0.06,0.05,0.22,0.06,0.09,0.04,0.04
GTR,25,8089.24528982811,7916.86139865756,-3933.34195001147,n/a,n/a,1.61348276994421,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.05,0.05,0.11,0.05,0.21,0.04,0.05,0.22,0.06,0.09,0.03,0.04
K2,18,8093.63892873433,7969.48803048901,-3966.6973640373,n/a,n/a,1.59195709236169,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,8100.3659341849,7969.32296142547,-3965.60963896648,n/a,n/a,1.59152762638674,0.236734693877551,0.236734693877551,0.263265306122449,0.263265306122449,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,8130.88841468414,7986.06293895085,-3971.9684236239,n/a,n/a,1.58737621602023,0.239183673469388,0.234285714285714,0.227482993197279,0.299047619047619,0.05,0.04,0.18,0.05,0.14,0.06,0.05,0.14,0.06,0.15,0.05,0.04
JC,17,8270.85592910245,8153.5976537567,-4059.75709201746,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
