Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1293.47869313386,1190.48767293543,-576.01898439671,n/a,0.179453506742819,2.24182619257743,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,1300.89051830865,1192.50288102031,-576.002772659357,0.642334850036598,2.19286473599514,2.26777885509089,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,1301.06252015953,1192.6748828712,-576.088773584799,n/a,0.180636313880306,2.23184933639448,0.241812865497076,0.241812865497076,0.258187134502924,0.258187134502924,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,1308.47984737514,1194.69801910064,-576.075312867855,0.630105541237647,1.82596156341589,2.26468058893953,0.241812865497076,0.241812865497076,0.258187134502924,0.258187134502924,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,1311.6561226534,1192.48253381082,-573.941326182235,n/a,0.180699556050399,2.22247698948862,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.03,0.05,0.15,0.04,0.2,0.03,0.04,0.16,0.03,0.18,0.03,0.05
JC+G,18,1313.71666093781,1216.12467962889,-589.860092623433,n/a,0.188274824635223,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G,23,1314.24197380494,1189.67905913698,-571.51212743326,n/a,0.211709417614998,2.19436084860054,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.04,0.05,0.08,0.04,0.29,0.03,0.04,0.22,0.03,0.09,0.04,0.05
K2+I,19,1314.48445668567,1211.49343648725,-586.521866172617,0.374269005847953,n/a,1.82974004217403,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,1314.94561055772,1190.38269588976,-571.863945809649,0.66356876607327,n/a,2.04943303944141,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.04,0.05,0.08,0.04,0.28,0.04,0.04,0.21,0.04,0.09,0.04,0.05
HKY+G+I,23,1319.03408136562,1194.47116669766,-573.908181213598,0.499712172421402,0.600546704713201,2.37947696040502,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.03,0.04,0.16,0.04,0.21,0.03,0.04,0.16,0.03,0.18,0.03,0.04
JC+G+I,19,1321.16089381954,1218.16987362111,-589.860084739549,0.00001,0.188235799296691,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G+I,24,1321.24534322281,1191.295541807,-571.291687817445,0.51414743365957,0.850400986792839,2.28768125629231,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.03,0.04,0.08,0.04,0.3,0.03,0.04,0.23,0.03,0.09,0.03,0.04
T92+I,20,1321.92711068869,1213.53947340035,-586.521068849376,0.374269005847953,n/a,1.82643077857253,0.241812865497076,0.241812865497076,0.258187134502924,0.258187134502924,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
K2,18,1331.63421781883,1234.04223650991,-598.818871063943,n/a,n/a,1.73427416191761,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+G,26,1332.30477255676,1191.58853226878,-569.377153834924,n/a,0.208231406770065,2.29332554058639,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.05,0.03,0.08,0.05,0.29,0.07,0.02,0.22,0.01,0.09,0.07,0.02
HKY+I,22,1332.40088894376,1213.22730010118,-584.313709327414,0.374269005847953,n/a,1.82151377078552,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.04,0.05,0.14,0.05,0.19,0.04,0.05,0.15,0.04,0.17,0.04,0.05
JC+I,18,1332.42922256972,1234.8372412608,-599.216373439389,0.374269005847953,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,26,1334.70750518241,1193.99126489442,-570.578520147745,0.662351618269084,n/a,1.82661630551701,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.05,0.03,0.08,0.05,0.26,0.06,0.03,0.2,0.03,0.1,0.06,0.04
T92,19,1339.0141616622,1236.02314146378,-598.786718660882,n/a,n/a,1.73286188396596,0.241812865497076,0.241812865497076,0.258187134502924,0.258187134502924,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G+I,27,1339.26062622824,1193.16484253725,-569.132956345912,0.468996098630827,0.627373754715514,2.43299304738397,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.04,0.02,0.08,0.05,0.3,0.07,0.02,0.23,0.01,0.09,0.07,0.02
TN93,22,1347.15225445861,1227.97866561604,-591.689392084843,n/a,n/a,1.77938874713273,0.25906432748538,0.224561403508772,0.294152046783626,0.222222222222222,0.04,0.05,0.07,0.05,0.27,0.04,0.05,0.21,0.04,0.09,0.04,0.05
JC,17,1348.78729723152,1256.59677231773,-611.117535095036,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
