Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,16586.9049170764,16404.4801923313,-8178.1995693166,0.420304376137102,0.687664095182385,2.50259829805523,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.03,0.04,0.11,0.03,0.28,0.04,0.03,0.24,0.04,0.08,0.03,0.04
TN93+G,23,16602.6446128751,16427.8178062329,-8190.87162093355,n/a,0.233387578486389,2.70991558011713,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.03,0.03,0.11,0.03,0.3,0.04,0.03,0.25,0.04,0.08,0.03,0.03
GTR+G+I,27,16606.0533322283,16400.8364798381,-8173.36716573989,0.417671547552611,0.685851880525089,2.49196302893476,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.02,0.05,0.11,0.02,0.28,0.03,0.04,0.24,0.05,0.08,0.02,0.05
T92+G+I,21,16620.3590260798,16460.7288686454,-8209.333234971,0.457963219779608,0.861010502291137,2.22256802173765,0.220330411328388,0.220330411328388,0.279669588671612,0.279669588671612,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G,26,16622.2633285258,16424.6435808518,-8186.2743676062,n/a,0.236559983114586,2.66667603289727,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.02,0.04,0.11,0.02,0.3,0.03,0.04,0.25,0.05,0.08,0.02,0.04
T92+G,20,16639.1916897163,16487.1602632771,-8223.55177050682,n/a,0.247999487909815,2.20290836345405,0.220330411328388,0.220330411328388,0.279669588671612,0.279669588671612,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,16646.8663840092,16472.039577367,-8212.98250650059,0.452789264748828,0.825515044204873,2.26252739265382,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.03,0.04,0.21,0.03,0.18,0.05,0.03,0.15,0.05,0.15,0.03,0.04
HKY+G,22,16665.2212728079,16497.9926552875,-8226.96215461748,n/a,0.246922004840115,2.23760984701391,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.03,0.04,0.21,0.03,0.18,0.05,0.03,0.15,0.05,0.15,0.03,0.04
K2+G+I,20,16682.7026995735,16530.6712731344,-8245.30727543545,0.470655509369377,1.01151048526596,2.05794580028065,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,16699.7845802149,16555.3521556254,-8258.65041947372,n/a,0.257419266666445,2.04503871721725,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,16708.628036558,16533.8012299158,-8243.86333277499,0.564860407798813,n/a,1.80627327985078,0.218678354686446,0.22198246797033,0.26062036412677,0.298718813216453,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.19,0.05,0.1,0.04,0.05
