Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,29674.5264128192,29455.124658522,-14700.5321037692,0.384766253739992,1.07442025177181,2.40819086141492,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.02,0.04,0.11,0.02,0.27,0.03,0.03,0.24,0.07,0.09,0.02,0.06
GTR+G,26,29700.3393848526,29489.061540209,-14718.5027046985,n/a,0.332807423610524,2.47872976109181,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.02,0.04,0.11,0.02,0.28,0.03,0.03,0.24,0.07,0.09,0.02,0.06
TN93+G+I,24,29703.8129804556,29508.7834358677,-14730.3677323252,0.390693123304269,1.06539393514454,2.41831416999704,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.03,0.04,0.11,0.03,0.27,0.04,0.03,0.24,0.04,0.09,0.03,0.04
TN93+G,23,29733.1255782792,29546.2204240549,-14750.0881461496,n/a,0.322312064476753,2.52137007697075,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.03,0.04,0.11,0.03,0.28,0.04,0.03,0.24,0.04,0.09,0.03,0.04
T92+G+I,21,29806.9186930617,29636.2628001401,-14797.1129333661,0.409129307588956,1.1881559781479,2.21798671936286,0.227535942492013,0.227535942492013,0.272464057507987,0.272464057507987,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,29819.3236100792,29608.0457654356,-14777.9948173118,0.497565769837746,n/a,1.9797114177191,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.03,0.04,0.12,0.03,0.24,0.04,0.03,0.21,0.07,0.1,0.03,0.07
HKY+G+I,23,29823.4303504305,29636.5251962063,-14795.2405322253,0.407153762481394,1.17264350082055,2.2165793520228,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.04,0.04,0.19,0.03,0.18,0.04,0.03,0.16,0.04,0.15,0.04,0.04
T92+G,20,29834.6029770732,29672.0719550523,-14816.0191902844,n/a,0.326932256694623,2.27421989877121,0.227535942492013,0.227535942492013,0.272464057507987,0.272464057507987,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,29848.8194769598,29661.9143227356,-14807.9350954899,0.499349461095304,n/a,1.93813725116739,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.21,0.05,0.1,0.04,0.05
HKY+G,22,29850.3550917186,29671.5744880562,-14813.767017782,n/a,0.327114603192131,2.27186010884426,0.222444089456869,0.232627795527157,0.266932907348243,0.277995207667732,0.04,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.15,0.04,0.04
K2+G+I,20,29908.9684735684,29746.4374515476,-14853.2019385321,0.409040422992321,1.27214620704039,2.10399417443026,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
