Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,11993.6042252045,11848.6926955377,-5903.28355896752,0.278090895519183,1.69276340763508,1.25684638887626,0.218224932249322,0.218224932249322,0.281775067750678,0.281775067750678,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,12005.4881592498,11867.4717268417,-5913.67879044897,n/a,0.506186998827526,1.34064944805641,0.218224932249322,0.218224932249322,0.281775067750678,0.281775067750678,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+G+I,27,12009.2377483162,11822.9671258654,-5884.38073377057,0.24098092825092,1.24282103093706,1.3055378114985,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.02,0.1,0.14,0.02,0.18,0.04,0.08,0.16,0.07,0.09,0.03,0.06
GTR+G,26,12012.6273937062,11833.2485843212,-5890.52882092439,n/a,0.502717664726686,1.34548090981231,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.02,0.1,0.14,0.02,0.18,0.04,0.09,0.16,0.07,0.1,0.03,0.05
TN93+G+I,24,12021.4245191856,11855.8309794801,-5903.83391258166,0.276030540364459,1.67897145453402,1.27597694299121,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.05,0.14,0.05,0.18,0.07,0.05,0.16,0.07,0.09,0.05,0.05
HKY+G+I,23,12025.5529333732,11866.8528498346,-5910.35138413424,0.272290139551302,1.62754674440014,1.24947054196049,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.06,0.17,0.05,0.14,0.07,0.05,0.13,0.07,0.12,0.05,0.06
TN93+G,23,12034.0545888124,11875.3545052738,-5914.60221185388,n/a,0.511136690860628,1.3530537067089,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.05,0.14,0.04,0.18,0.07,0.04,0.16,0.07,0.1,0.05,0.05
HKY+G,22,12035.8235401636,11884.0174600455,-5919.93995198824,n/a,0.512189375444464,1.33100716869346,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.05,0.18,0.05,0.14,0.07,0.05,0.13,0.07,0.12,0.05,0.05
K2+G+I,20,12037.9580544571,11899.941622049,-5929.91373805262,0.277034025100038,1.80334206094671,1.18424722721887,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,12040.5938782649,11902.5774458567,-5931.23164995649,0.337733732964396,n/a,1.09149878319922,0.218224932249322,0.218224932249322,0.281775067750678,0.281775067750678,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
K2+G,19,12050.0900818231,11918.9692932584,-5940.4330161944,n/a,0.532718101258016,1.25836956506753,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+I,23,12070.9605013237,11912.2604177851,-5933.05516810949,0.33595213774708,n/a,1.09616981661059,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.06,0.13,0.05,0.16,0.07,0.05,0.14,0.07,0.09,0.05,0.06
HKY+I,22,12075.6628448451,11923.8567647271,-5939.85960432901,0.336538753306868,n/a,1.07807521350655,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.05,0.06,0.16,0.05,0.13,0.07,0.05,0.12,0.07,0.11,0.05,0.06
GTR+I,26,12077.9130232998,11898.5342139148,-5923.17163572116,0.333861085324381,n/a,1.1130263405338,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.03,0.09,0.14,0.03,0.16,0.06,0.07,0.14,0.07,0.09,0.05,0.06
K2+I,19,12080.6458417881,11949.5250532233,-5955.71089617689,0.33646574836757,n/a,1.04898915150274,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,12149.0042308843,12017.8834423196,-5989.890090725,0.286194137345336,2.36017585112339,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12167.3482962318,12043.1236978724,-6003.51538785754,n/a,0.589152695588582,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12177.5253007256,12053.3007023662,-6008.60389010445,0.334591217988569,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,12553.9837818225,12422.8629932578,-6192.37986619411,n/a,n/a,0.931836649966666,0.218224932249322,0.218224932249322,0.281775067750678,0.281775067750678,0.06,0.07,0.14,0.06,0.14,0.07,0.06,0.11,0.07,0.11,0.06,0.07
GTR,25,12555.1679955515,12382.6815471561,-6166.25238630582,n/a,n/a,0.935193246154426,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.03,0.1,0.13,0.03,0.14,0.06,0.08,0.13,0.09,0.09,0.04,0.07
K2,18,12570.9056955635,12446.6810972041,-6205.29408752339,n/a,n/a,0.923974696963574,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
HKY,21,12578.2982666654,12433.3867369986,-6195.63057969797,n/a,n/a,0.934176183397794,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.06,0.06,0.15,0.05,0.12,0.08,0.05,0.11,0.08,0.1,0.06,0.06
TN93,22,12579.4058772016,12427.5997970835,-6191.73112050724,n/a,n/a,0.935572119000383,0.212737127371274,0.223712737127371,0.250948509485095,0.31260162601626,0.06,0.06,0.13,0.05,0.14,0.08,0.05,0.12,0.08,0.09,0.06,0.06
JC,17,12651.0556340933,12533.7277720786,-6249.82232124711,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
