Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,19010.9074755662,18808.621999236,-9377.25408047933,0.276371826051951,1.2606545517174,1.73916208510433,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.02,0.08,0.18,0.01,0.16,0.03,0.05,0.19,0.08,0.1,0.03,0.07
GTR+G,26,19042.7328690489,18847.9355243665,-9397.91491267637,n/a,0.492605151119895,1.6302972209556,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.05,0.07,0.16,0.03,0.17,0.02,0.05,0.2,0.08,0.09,0.02,0.07
HKY+G+I,23,19060.058427301,18887.7272913263,-9420.82209816954,0.314152816808788,1.52867633579318,1.68360114440733,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.06,0.05,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.1,0.06,0.05
TN93+G+I,24,19069.4419615281,18889.6217870917,-9420.76572982738,0.31417938221602,1.53163812081993,1.67969717127085,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.06,0.05,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.1,0.06,0.05
HKY+G,22,19080.3825100904,18915.540714712,-9435.73227501989,n/a,0.466436333744446,1.78351750830949,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.05,0.05,0.18,0.03,0.16,0.05,0.03,0.2,0.05,0.1,0.05,0.05
TN93+G,23,19089.7957052827,18917.464569308,-9435.69073716038,n/a,0.467066025855281,1.77899211034999,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.05,0.05,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.1,0.05,0.05
GTR+I,26,19105.0374755574,18910.2401308751,-9429.06721593064,0.383023593285238,n/a,1.51391624539515,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.03,0.07,0.17,0.02,0.15,0.04,0.05,0.18,0.08,0.1,0.04,0.07
T92+G+I,21,19122.4132042349,18965.0610515196,-9461.49575754787,0.327357963929505,1.65072805067319,1.68321557850417,0.232344102178813,0.232344102178813,0.267655897821187,0.267655897821187,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,19136.6195676031,18971.7777722247,-9463.85080377625,0.392256613851479,n/a,1.46472511782226,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.06,0.05,0.17,0.03,0.15,0.06,0.03,0.18,0.06,0.1,0.06,0.05
TN93+I,23,19145.9060121535,18973.5748761788,-9463.74589059579,0.392217985989759,n/a,1.4630730039193,0.159804658151766,0.30488354620586,0.256273478587528,0.279038317054846,0.06,0.05,0.17,0.03,0.15,0.06,0.03,0.18,0.06,0.1,0.06,0.05
T92+G,20,19147.5833229873,18997.7211149333,-9478.82895237975,n/a,0.459381980007852,1.78655455348069,0.232344102178813,0.232344102178813,0.267655897821187,0.267655897821187,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
